sample_name	run	barcode	pct_of_sample_reads	path	size_gb
M145_1_1	20251215_1528_MN34111_FBF04840_c6cb4347	barcode09	100.0	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode09	7.74
M145_1_2	20251215_1528_MN34111_FBF04840_c6cb4347	barcode10	100.0	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode10	7.25
M145_1_3	20251215_1528_MN34111_FBF04840_c6cb4347	barcode11	100.0	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode11	11.08
M145_2_1	20251215_1528_MN34111_FBF04840_c6cb4347	barcode12	51.9	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode12	5.08
M145_2_1	20251216_1857_MN34111_FBF04840_11eb6215	barcode18	48.1	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251216_takeda/no_sample_id/20251216_1857_MN34111_FBF04840_11eb6215/pod5_pass/barcode18	4.07
M145_2_3	20251216_1857_MN34111_FBF04840_11eb6215	barcode19	52.3	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251216_takeda/no_sample_id/20251216_1857_MN34111_FBF04840_11eb6215/pod5_pass/barcode19	4.51
M145_2_3	20251215_1528_MN34111_FBF04840_c6cb4347	barcode13	47.7	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode13	3.99
M145_2_4	20251216_1857_MN34111_FBF04840_11eb6215	barcode20	51.4	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251216_takeda/no_sample_id/20251216_1857_MN34111_FBF04840_11eb6215/pod5_pass/barcode20	4.09
M145_2_4	20251215_1528_MN34111_FBF04840_c6cb4347	barcode14	48.6	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode14	3.93
M145_3_2	20260217_1504_MN43566_FBF47968_0fedb356	barcode52	58.9	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/260217_takeda/no_sample_id/20260217_1504_MN43566_FBF47968_0fedb356/pod5_pass/barcode52	2.81
M145_3_2	20251216_1857_MN34111_FBF04840_11eb6215	barcode21	21.0	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251216_takeda/no_sample_id/20251216_1857_MN34111_FBF04840_11eb6215/pod5_pass/barcode21	1.73
M145_3_2	20251215_1528_MN34111_FBF04840_c6cb4347	barcode15	16.1	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode15	1.62
M145_3_2	20260216_1609_MN43566_FBF56864_57bb8830	barcode52	3.9	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/260216_takeda/no_sample_id/20260216_1609_MN43566_FBF56864_57bb8830/pod5_pass/barcode52	0.18
M145_3_3	20251216_1857_MN34111_FBF04840_11eb6215	barcode22	53.0	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251216_takeda/no_sample_id/20251216_1857_MN34111_FBF04840_11eb6215/pod5_pass/barcode22	3.92
M145_3_3	20251215_1528_MN34111_FBF04840_c6cb4347	barcode16	47.0	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode16	3.56
M145_3_4	20251215_1528_MN34111_FBF04840_c6cb4347	barcode17	83.3	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/251215_takeda/no_sample_id/20251215_1528_MN34111_FBF04840_c6cb4347/pod5_pass/barcode17	5.8
M145_3_4	20260216_1609_MN43566_FBF56864_57bb8830	barcode53	16.7	/Users/okaban/Library/CloudStorage/Dropbox-SFC-CNS/Takeda Tomoki/nanopore/260216_takeda/no_sample_id/20260216_1609_MN43566_FBF56864_57bb8830/pod5_pass/barcode53	1.06
