sample_name	archive	member	size_bytes	md5
M145_1_1	M145_1_1_pod5.tar	M145_1_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode09/FBF04840_pass_barcode09_c6cb4347_af3697b9_5.pod5	355797440	47feac9e1f736c1e6ccb4f4fc2cbffca
M145_1_1	M145_1_1_pod5.tar	M145_1_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode09/FBF04840_pass_barcode09_c6cb4347_af3697b9_6.pod5	300475184	2e8011543ccaa9dba651513b10e515c6
M145_1_1	M145_1_1_pod5.tar	M145_1_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode09/FBF04840_pass_barcode09_c6cb4347_af3697b9_7.pod5	322339888	c281999f1c9f42aefcc7b966ea91fdcb
M145_1_1	M145_1_1_pod5.tar	M145_1_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode09/FBF04840_pass_barcode09_c6cb4347_af3697b9_8.pod5	316345016	41adcdf43ae3e350067891a29048731d
M145_1_1	M145_1_1_pod5.tar	M145_1_1/20251215_1528_MN34111_FBF04840_c6cb4347/barcode09/FBF04840_pass_barcode09_c6cb4347_af3697b9_9.pod5	299624032	8d02eaac7eec78121633d144088a0517
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_0.pod5	211840464	d2f0a2542542e5724ddcfda5df7282d6
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_1.pod5	229853272	84e8b853d2d698b0c6bb837f5b055f90
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_10.pod5	336239240	002b7889e215331b74bc3538f5aef78b
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_11.pod5	271270728	d5da9254cdd65e150f8387c221dd535d
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_12.pod5	307330248	bf5cd37e4e0bb40ee0aae8bde433e6b5
