sample_name	sample_title	organism	strain	isolate	collection_date	geo_loc_name	isolation_source	host	lat_lon	culture_collection	description
M145_1_1	S. coelicolor M145, 12 h, biological replicate 1	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T1 (12 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_1_2	S. coelicolor M145, 12 h, biological replicate 2	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T1 (12 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_1_3	S. coelicolor M145, 12 h, biological replicate 3	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T1 (12 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_2_1	S. coelicolor M145, 24 h, biological replicate 1	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T2 (24 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_2_3	S. coelicolor M145, 24 h, biological replicate 3	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T2 (24 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_2_4	S. coelicolor M145, 24 h, biological replicate 4	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T2 (24 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_3_2	S. coelicolor M145, 50 h, biological replicate 2	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T3 (50 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_3_3	S. coelicolor M145, 50 h, biological replicate 3	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T3 (50 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
M145_3_4	S. coelicolor M145, 50 h, biological replicate 4	Streptomyces coelicolor A3(2)	M145	not applicable	2025-12	Japan	R5 liquid culture	not applicable	not applicable	not applicable	Time point T3 (50 h after inoculation). Genomic DNA and total RNA were extracted from the same harvested culture, so the nanopore methylome and the Illumina transcriptome for this sample derive from one biological specimen.
