sample_name	filename	path	size_gb	md5
1-1	1-1_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/1-1_mapped.bam	0.67	3838045ea15944650d82cc07d087792e
1-2	1-2_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/1-2_mapped.bam	0.629	d8e8538f69556bbf7d6f0b8a13c6223f
1-3	1-3_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/1-3_mapped.bam	0.955	c799fe6b79890d988ec560e22b39e0ff
2-1	2-1_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/2-1_mapped.bam	0.777	57bbb746dc091ffcaf9e498feb0151b3
2-3	2-3_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/2-3_mapped.bam	0.716	b85ab4445b190064155a989c53503319
2-4	2-4_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/2-4_mapped.bam	0.682	03d6991c9dd89203b6821239a98e2a1b
3-2	3-2_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/3-2_mapped.bam	0.514	65f7a630100dfbe168f5383cfcef3371
3-3	3-3_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/3-3_mapped.bam	0.642	59441447d606c0ab411c06225646430a
3-4	3-4_mapped.bam	/Users/okaban/bioinfo/methyl/260102_M145/analysis/3-4_mapped.bam	0.59	31555140c91b5af7b34ccf4d1e92b486
