accession	organism_name	strain
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893	MA-4680
GCF_000092385.1	Streptomyces bingchenggensis BCW-1	BCW-1
GCF_000158915.1	Streptomyces himastatinicus ATCC 53653	ATCC 53653
GCF_000261345.2	Streptomyces globisporus C-1027	C-1027
GCF_000342345.1	Streptomyces gancidicus BKS 13-15	BKS 13-15
GCF_000349325.1	Streptomyces davaonensis JCM 4913	JCM 4913
GCF_000376565.1	Streptomyces hokutonensis	R1-NS-10
GCF_000383595.1	Streptomyces bottropensis ATCC 25435	ATCC 25435
GCF_000429085.1	Streptomyces flavidovirens DSM 40150	DSM 40150
GCF_000715845.1	Streptomyces monomycini	NRRL B-24309
GCF_000716025.1	Streptomyces baarnensis	NRRL B-2842
GCF_000716525.1	Streptomyces graminis	NRRL B-1570
GCF_000716625.1	Streptomyces bikiniensis	NRRL ISP-5580
GCF_000716675.1	Streptomyces alboflavus	NRRL B-2373
GCF_000716845.1	Streptomyces capuensis	NRRL B-12337
GCF_000716935.1	Streptomyces alboviridis	NRRL B-1579
GCF_000717595.1	Streptomyces flavochromogenes	NRRL B-2684
GCF_000718015.1	Streptomyces catenulae	NRRL B-2342
GCF_000718165.1	Streptomyces fulvoviolaceus	NRRL B-2870
GCF_000718625.1	Streptomyces lavenduligriseus	NRRL ISP-5487
GCF_000718985.1	Streptomyces megasporus	NRRL B-16372
GCF_000719135.1	Streptomyces avicenniae	NRRL B-24776
GCF_000719285.1	Streptomyces bicolor	NRRL B-5348
GCF_000720475.1	Streptomyces aureocirculatus	NRRL ISP-5386
GCF_000720995.1	Streptomyces celluloflavus	NRRL B-2493
GCF_000721185.1	Streptomyces griseolus	NRRL B-2925
GCF_000721685.1	Streptomyces mediolani	NRRL WC-3934
GCF_000725475.1	Streptomyces durhamensis	NRRL B-3309
GCF_000725545.1	Streptomyces exfoliatus	NRRL B-2924
GCF_000725785.1	Streptomyces flavovariabilis	NRRL B-16367
GCF_000739105.1	Streptomyces lividans TK24	TK24
GCF_000829715.2	Streptomyces lydicamycinicus	TP-A0598
GCF_000931445.1	Streptomyces cyaneogriseus subsp. noncyanogenus	NMWT 1
GCF_000966975.1	Streptomyces katrae	NRRL ISP-5550
GCF_000968685.2	Streptomyces antioxidans	MUSC 164
GCF_000974985.2	Streptomyces mangrovisoli	MUSC 149
GCF_000980885.2	Streptomyces malaysiense	MUSC 136
GCF_001005085.2	Streptomyces humi	MUSC 119
GCF_001013905.1	Streptomyces leeuwenhoekii	type strain (C34 = DSM 42122 = NRRL B-24963)
GCF_001027185.1	Streptomyces incarnatus	NRRL 8089
GCF_001184025.1	Streptomyces maremycinicus	NBRC 110468
GCF_001187435.1	Streptomyces caatingaensis	CMAA 1322
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877	ATCC 23877
GCF_001270025.1	Streptomyces azureus	ATCC 14921
GCF_001294335.1	Streptomyces chattanoogensis	NRRL ISP-5002
GCF_001418325.1	Streptomyces atriruber	NRRL B-24165
GCF_001418565.1	Streptomyces graminilatus	NRRL B-59124
GCF_001418625.1	Streptomyces luridiscabiei	NRRL B-24455
GCF_001434355.1	Streptomyces anulatus	ATCC 11523
GCF_001513965.1	Streptomyces cellostaticus	DSM 40189
GCF_001513975.1	Streptomyces curacoi	DSM 40107
GCF_001514055.1	Streptomyces corchorusii	DSM 40340
GCF_001514125.1	Streptomyces longwoodensis	DSM 41677
GCF_001514205.1	Streptomyces griseoruber	DSM 40281
GCF_001514215.1	Streptomyces bungoensis	DSM 41781
GCF_001514235.1	Streptomyces caeruleatus	NRRL B-24802
GCF_001514305.1	Streptomyces dysideae	RV15
GCF_001542625.1	Streptomyces griseochromogenes	ATCC 14511
GCF_001642695.1	Streptomyces chilikensis	RC 1830
GCF_001642995.1	Streptomyces jeddahensis	G25
GCF_001685355.1	Streptomyces lincolnensis	NRRL 2936
GCF_001700515.1	Streptomyces lushanensis	NRRL B-24994
GCF_001735805.1	Streptomyces fodineus	TW1S1
GCF_001746455.1	Streptomyces agglomeratus	9-3-15
GCF_001748305.1	Streptomyces luteocolor	NBRC 13826
GCF_001751365.1	Streptomyces abyssalis	SCSIO 10390
GCF_001866645.1	Streptomyces colonosanans	MUSC 93
GCF_001866665.1	Streptomyces monashensis	MUSC 1
GCF_001906585.1	Streptomyces kebangsaanensis	SUK12
GCF_001953875.1	Streptomyces amritsarensis	MTCC 11845
GCF_001984445.1	Streptomyces lydicus	GS93
GCF_002082195.1	Streptomyces gilvosporeus	F607
GCF_002150845.1	Streptomyces alboverticillatus	NRRL B-24281
GCF_002154375.1	Streptomyces glaucescens	NRRL B-2706
GCF_002154385.1	Streptomyces albovinaceus	NRRL B-2566
GCF_002154505.1	Streptomyces carpinensis	NRRL B-16921
GCF_002214185.1	Streptomyces capitiformicae	1H-SSA4
GCF_002217755.1	Streptomyces hyaluromycini	NBRC 110483
GCF_002242805.1	Streptomyces diastatochromogenes	DSM 40608
GCF_002261115.1	Streptomyces kasugaensis	BCRC 12349
GCF_002794255.1	Streptomyces carminius	TRM SA0054
GCF_002803845.1	Streptomyces lavendulae subsp. lavendulae	CCM 3239
GCF_002843305.1	Streptomyces barkulensis	RC 1831
GCF_002891295.1	Streptomyces eurocidicus	ATCC 27428
GCF_002891435.1	Streptomyces cahuitamycinicus	13K301
GCF_002939475.1	Streptomyces cinnamoneus	DSM 41675
GCF_002946835.1	Streptomyces dengpaensis	XZHG99
GCF_002954775.1	Streptomyces geranii	A301
GCF_003024195.1	Streptomyces dioscori	A217
GCF_003054555.1	Streptomyces lunaelactis	MM109
GCF_003112515.1	Streptomyces fragilis	NBRC 12862
GCF_003112575.1	Streptomyces ardesiacus	NBRC 15402
GCF_003261055.1	Streptomyces cadmiisoli	ZFG47
GCF_003323715.1	Streptomyces diacarni	LHW51701
GCF_003330865.1	Streptomyces atratus	SCSIO_ZH16
GCF_003346515.1	Streptomyces corynorhini	AC230
GCF_003355155.1	Streptomyces armeniacus	ATCC 15676
GCF_003428925.1	Streptomyces koyangensis	VK-A60T
GCF_003595235.1	Streptomyces griseorubiginosus	3E-1
GCF_003626535.1	Streptomyces hoynatensis	KCTC 29097
GCF_003626645.1	Streptomyces klenkii	KCTC 29202
GCF_003665435.1	Streptomyces fungicidicus	TXX3120
