mod,comp_key,comp_label,kw_stat,kw_p,mw_u,mw_p,mw_r,concordance_rate,n_gained_up,n_lost_down,n,n_gained,n_lost,n_stable,med_gained,med_lost,med_stable,spearman_stable_r,spearman_stable_p,spearman_stable_n,mw_fdr,sig,kw_fdr
6mA,T2_vs_T1,T2 vs T1,6.381546729331376,0.04114004237799182,7308.0,0.0267548463559366,0.15806451612903227,0.4318181818181818,63,51,621,140,124,357,-0.0808019437941233,0.26486363425628906,-0.0905374482372984,0.06784496685915484,0.20094241605082447,357,0.07254779338218478,False,0.04936805085359018
6mA,T3_vs_T1,T3 vs T1,8.070265155589368,0.017683335540135146,9411.0,0.038494489869390025,0.14058718779964385,0.44370860927152317,96,38,662,181,121,360,0.209067109677318,1.1579778208044496,0.11433277096207459,-0.13906286269919213,0.008236796078048052,360,0.07254779338218478,False,0.02652500331020272
6mA,T3_vs_T2,T3 vs T2,8.34496684190799,0.015413933267887916,9392.0,0.07037678676965999,0.12306255835667601,0.4831081081081081,86,57,667,170,126,371,0.0316879434517666,0.24226344253917284,-0.1494495890461005,-0.10588773923367663,0.041510619592618654,371,0.08445214412359198,False,0.02652500331020272
4mC,T2_vs_T1,T2 vs T1,19.27220278216032,6.53272443101156e-05,4562.0,0.00011203927111564731,-0.3767919118756602,0.648936170212766,92,30,626,141,47,438,0.5693470346146431,-0.4165770079748991,-0.09808961942238875,-0.020930841415601326,0.6622229409574932,438,0.0006722356266938839,True,0.0003919634658606936
4mC,T3_vs_T1,T3 vs T1,9.471208901778027,0.008777141876815225,5887.0,0.04836519558812319,-0.17341040462427748,0.5541125541125541,38,90,542,58,173,311,0.7494695322816981,-0.1485740488998913,-0.2075263470030481,-0.0351425033699988,0.5369445484761416,311,0.07254779338218478,False,0.026331425630445677
4mC,T3_vs_T2,T3 vs T2,0.7917422227346833,0.6730934444405235,2391.0,0.648516212857538,0.059031877213695405,0.5098814229249012,9,120,600,22,231,347,-0.2213308880230259,-0.0752426675117136,-0.2718928663600362,0.012582326583065878,0.8153372219763801,347,0.648516212857538,False,0.6730934444405235
