SCO_ID	cistron_id	regulator_flag	source
SCO0870	cistron595	1	CastroMelchor_2010
SCO0871	cistron595	1	CastroMelchor_2010
SCO0872	cistron595	1	CastroMelchor_2010
SCO0877	cistron599	1	CastroMelchor_2010
SCO0886	cistron607	1	CastroMelchor_2010
SCO0887	cistron607	1	CastroMelchor_2010
SCO0889	cistron609	1	CastroMelchor_2010
SCO0891	cistron611	1	CastroMelchor_2010
SCO0895	cistron614	1	CastroMelchor_2010
SCO0898	cistron617	1	CastroMelchor_2010
SCO0925	cistron635	1	CastroMelchor_2010
SCO0927	cistron637	1	CastroMelchor_2010
SCO0946	cistron654	1	CastroMelchor_2010
SCO0953	cistron658	1	CastroMelchor_2010
SCO0971	cistron672	1	CastroMelchor_2010
SCO1026	cistron717	1	CastroMelchor_2010
SCO1034	cistron723	1	CastroMelchor_2010
SCO1035	cistron723	1	CastroMelchor_2010
SCO1036	cistron723	1	CastroMelchor_2010
SCO1066	cistron747	1	CastroMelchor_2010
SCO1069	cistron750	1	CastroMelchor_2010
SCO1070	cistron751	1	CastroMelchor_2010
SCO1071	cistron751	1	CastroMelchor_2010
SCO1078	cistron758	1	CastroMelchor_2010
SCO1094	cistron771	1	CastroMelchor_2010
SCO1098	cistron774	1	CastroMelchor_2010
SCO1099	cistron774	1	CastroMelchor_2010
SCO1104	cistron779	1	CastroMelchor_2010
SCO1108	cistron783	1	CastroMelchor_2010
SCO1119	cistron793	1	CastroMelchor_2010
SCO1120	cistron793	1	CastroMelchor_2010
SCO1135	cistron802	1	CastroMelchor_2010
SCO1145	cistron809	1	CastroMelchor_2010
SCO1171	cistron828	1	CastroMelchor_2010
SCO1173	cistron830	1	CastroMelchor_2010
SCO1177	cistron834	1	CastroMelchor_2010
SCO1186	cistron840	1	CastroMelchor_2010
SCO1191	cistron845	1	CastroMelchor_2010
SCO1200	cistron852	1	CastroMelchor_2010
SCO1210	cistron859	1	CastroMelchor_2010
SCO1217	cistron864	1	CastroMelchor_2010
SCO1218	cistron864	1	CastroMelchor_2010
SCO1219	cistron865	1	CastroMelchor_2010
SCO1220	cistron865	1	CastroMelchor_2010
SCO1227	cistron871	1	CastroMelchor_2010
SCO1242	cistron879	1	CastroMelchor_2010
SCO1259	cistron891	1	CastroMelchor_2010
SCO1260	cistron891	1	CastroMelchor_2010
SCO1261	cistron892	1	CastroMelchor_2010
SCO1262	cistron893	1	CastroMelchor_2010
SCO1263	cistron894	1	CastroMelchor_2010
SCO1276	cistron901	1	CastroMelchor_2010
SCO1299	cistron916	1	CastroMelchor_2010
SCO1312	cistron927	1	CastroMelchor_2010
SCO1331	cistron945	1	CastroMelchor_2010
SCO1351	cistron962	1	CastroMelchor_2010
SCO1353	cistron964	1	CastroMelchor_2010
SCO1358	cistron967	1	CastroMelchor_2010
SCO1360	cistron969	1	CastroMelchor_2010
SCO1369	cistron975	1	CastroMelchor_2010
SCO1370	cistron975	1	CastroMelchor_2010
SCO1376	cistron981	1	CastroMelchor_2010
SCO1410	cistron1006	1	CastroMelchor_2010
SCO1425	cistron1019	1	CastroMelchor_2010
SCO1430	cistron1024	1	CastroMelchor_2010
SCO1458	cistron1045	1	CastroMelchor_2010
SCO1459	cistron1045	1	CastroMelchor_2010
SCO1463	cistron1049	1	CastroMelchor_2010
SCO1468	cistron1052	1	CastroMelchor_2010
SCO1489	cistron1063	1	CastroMelchor_2010
SCO1504	cistron1070	1	CastroMelchor_2010
SCO1564	cistron1109	1	CastroMelchor_2010
SCO1565	cistron1109	1	CastroMelchor_2010
SCO1567	cistron1111	1	CastroMelchor_2010
SCO1568	cistron1111	1	CastroMelchor_2010
SCO1576	cistron1115	1	CastroMelchor_2010
SCO1577	cistron1115	1	CastroMelchor_2010
SCO1578	cistron1115	1	CastroMelchor_2010
SCO1579	cistron1115	1	CastroMelchor_2010
SCO1580	cistron1115	1	CastroMelchor_2010
SCO1587	cistron1122	1	CastroMelchor_2010
SCO1593	cistron1128	1	CastroMelchor_2010
SCO1596	cistron1130	1	CastroMelchor_2010
SCO1618	cistron1146	1	CastroMelchor_2010
SCO1619	cistron1146	1	CastroMelchor_2010
SCO1642	cistron1157	1	CastroMelchor_2010
SCO1658	cistron1168	1	CastroMelchor_2010
SCO1678	cistron1184	1	CastroMelchor_2010
SCO1691	cistron1193	1	CastroMelchor_2010
SCO1692	cistron1193	1	CastroMelchor_2010
SCO1699	cistron1199	1	CastroMelchor_2010
SCO1700	cistron1199	1	CastroMelchor_2010
SCO1702	cistron1201	1	CastroMelchor_2010
SCO1703	cistron1201	1	CastroMelchor_2010
SCO1712	cistron1208	1	CastroMelchor_2010
SCO1713	cistron1208	1	CastroMelchor_2010
SCO1714	cistron1208	1	CastroMelchor_2010
SCO1716	cistron1210	1	CastroMelchor_2010
SCO1717	cistron1210	1	CastroMelchor_2010
SCO1718	cistron1211	1	CastroMelchor_2010
SCO1736	cistron1225	1	CastroMelchor_2010
SCO1742	cistron1230	1	CastroMelchor_2010
SCO1743	cistron1230	1	CastroMelchor_2010
SCO1744	cistron1230	1	CastroMelchor_2010
SCO1745	cistron1230	1	CastroMelchor_2010
SCO1801	cistron1272	1	CastroMelchor_2010
SCO1802	cistron1272	1	CastroMelchor_2010
SCO1813	cistron1280	1	CastroMelchor_2010
SCO1839	cistron1298	1	CastroMelchor_2010
SCO1872	cistron1318	1	CastroMelchor_2010
SCO1873	cistron1318	1	CastroMelchor_2010
SCO1876	cistron1321	1	CastroMelchor_2010
SCO1877	cistron1321	1	CastroMelchor_2010
SCO1888	cistron1328	1	CastroMelchor_2010
SCO1889	cistron1328	1	CastroMelchor_2010
SCO1890	cistron1328	1	CastroMelchor_2010
SCO1897	cistron1334	1	CastroMelchor_2010
SCO1904	cistron1337	1	CastroMelchor_2010
SCO1905	cistron1337	1	CastroMelchor_2010
SCO1919	cistron1348	1	CastroMelchor_2010
SCO1920	cistron1348	1	CastroMelchor_2010
SCO1921	cistron1348	1	CastroMelchor_2010
SCO1922	cistron1348	1	CastroMelchor_2010
SCO1923	cistron1348	1	CastroMelchor_2010
SCO1924	cistron1348	1	CastroMelchor_2010
SCO1925	cistron1348	1	CastroMelchor_2010
SCO1926	cistron1348	1	CastroMelchor_2010
SCO2013	cistron1406	1	CastroMelchor_2010
SCO2047	cistron1426	1	CastroMelchor_2010
SCO2056	cistron1429	1	CastroMelchor_2010
SCO2057	cistron1429	1	CastroMelchor_2010
SCO2058	cistron1429	1	CastroMelchor_2010
SCO2074	cistron1443	1	CastroMelchor_2010
SCO2075	cistron1443	1	CastroMelchor_2010
SCO2094	cistron1448	1	CastroMelchor_2010
SCO2095	cistron1448	1	CastroMelchor_2010
SCO2096	cistron1448	1	CastroMelchor_2010
SCO2100	cistron1452	1	CastroMelchor_2010
SCO2105	cistron1456	1	CastroMelchor_2010
SCO2120	cistron1468	1	CastroMelchor_2010
SCO2121	cistron1469	1	CastroMelchor_2010
SCO2122	cistron1469	1	CastroMelchor_2010
SCO2126	cistron1472	1	CastroMelchor_2010
SCO2139	cistron1485	1	CastroMelchor_2010
SCO2140	cistron1485	1	CastroMelchor_2010
SCO2142	cistron1487	1	CastroMelchor_2010
SCO2143	cistron1487	1	CastroMelchor_2010
SCO2152	cistron1492	1	CastroMelchor_2010
SCO2158	cistron1496	1	CastroMelchor_2010
SCO2165	cistron1502	1	CastroMelchor_2010
SCO2166	cistron1502	1	CastroMelchor_2010
SCO2182	cistron1515	1	CastroMelchor_2010
SCO2184	cistron1517	1	CastroMelchor_2010
SCO2185	cistron1517	1	CastroMelchor_2010
