SCO_ID	regulator_flag	source
SCO0037	1	CastroMelchor_2010
SCO0038	1	CastroMelchor_2010
SCO0047	1	CastroMelchor_2010
SCO0062	1	CastroMelchor_2010
SCO0063	1	CastroMelchor_2010
SCO0064	1	CastroMelchor_2010
SCO0089	1	CastroMelchor_2010
SCO0110	1	CastroMelchor_2010
SCO0116	1	CastroMelchor_2010
SCO0132	1	CastroMelchor_2010
SCO0147	1	CastroMelchor_2010
SCO0148	1	CastroMelchor_2010
SCO0155	1	CastroMelchor_2010
SCO0157	1	CastroMelchor_2010
SCO0158	1	CastroMelchor_2010
SCO0159	1	CastroMelchor_2010
SCO0160	1	CastroMelchor_2010
SCO0161	1	CastroMelchor_2010
SCO0166	1	CastroMelchor_2010
SCO0168	1	CastroMelchor_2010
SCO0169	1	CastroMelchor_2010
SCO0173	1	CastroMelchor_2010
SCO0174	1	CastroMelchor_2010
SCO0193	1	CastroMelchor_2010
SCO0194	1	CastroMelchor_2010
SCO0203	1	CastroMelchor_2010
SCO0204	1	CastroMelchor_2010
SCO0229	1	CastroMelchor_2010
SCO0230	1	CastroMelchor_2010
SCO0233	1	CastroMelchor_2010
SCO0236	1	CastroMelchor_2010
SCO0241	1	CastroMelchor_2010
SCO0250	1	CastroMelchor_2010
SCO0253	1	CastroMelchor_2010
SCO0255	1	CastroMelchor_2010
SCO0262	1	CastroMelchor_2010
SCO0266	1	CastroMelchor_2010
SCO0275	1	CastroMelchor_2010
SCO0276	1	CastroMelchor_2010
SCO0282	1	CastroMelchor_2010
SCO0288	1	CastroMelchor_2010
SCO0289	1	CastroMelchor_2010
SCO0298	1	CastroMelchor_2010
SCO0307	1	CastroMelchor_2010
SCO0332	1	CastroMelchor_2010
SCO0337	1	CastroMelchor_2010
SCO0345	1	CastroMelchor_2010
SCO0357	1	CastroMelchor_2010
SCO0360	1	CastroMelchor_2010
SCO0370	1	CastroMelchor_2010
SCO0406	1	CastroMelchor_2010
SCO0407	1	CastroMelchor_2010
SCO0408	1	CastroMelchor_2010
SCO0414	1	CastroMelchor_2010
SCO0418	1	CastroMelchor_2010
SCO0421	1	CastroMelchor_2010
SCO0422	1	CastroMelchor_2010
SCO0430	1	CastroMelchor_2010
SCO0433	1	CastroMelchor_2010
SCO0453	1	CastroMelchor_2010
SCO0454	1	CastroMelchor_2010
SCO0455	1	CastroMelchor_2010
SCO0456	1	CastroMelchor_2010
SCO0466	1	CastroMelchor_2010
SCO0467	1	CastroMelchor_2010
SCO0469	1	CastroMelchor_2010
SCO0470	1	CastroMelchor_2010
SCO0471	1	CastroMelchor_2010
SCO0485	1	CastroMelchor_2010
SCO0487	1	CastroMelchor_2010
SCO0488	1	CastroMelchor_2010
SCO0512	1	CastroMelchor_2010
SCO0520	1	CastroMelchor_2010
SCO0521	1	CastroMelchor_2010
SCO0523	1	CastroMelchor_2010
SCO0542	1	CastroMelchor_2010
SCO0560	1	CastroMelchor_2010
SCO0561	1	CastroMelchor_2010
SCO0582	1	CastroMelchor_2010
SCO0584	1	CastroMelchor_2010
SCO0585	1	CastroMelchor_2010
SCO0586	1	CastroMelchor_2010
SCO0587	1	CastroMelchor_2010
SCO0588	1	CastroMelchor_2010
SCO0589	1	CastroMelchor_2010
SCO0596	1	CastroMelchor_2010
SCO0598	1	CastroMelchor_2010
SCO0599	1	CastroMelchor_2010
SCO0600	1	CastroMelchor_2010
SCO0605	1	CastroMelchor_2010
SCO0607	1	CastroMelchor_2010
SCO0608	1	CastroMelchor_2010
SCO0622	1	CastroMelchor_2010
SCO0623	1	CastroMelchor_2010
SCO0629	1	CastroMelchor_2010
SCO0632	1	CastroMelchor_2010
SCO0633	1	CastroMelchor_2010
SCO0659	1	CastroMelchor_2010
SCO0669	1	CastroMelchor_2010
SCO0670	1	CastroMelchor_2010
SCO0672	1	CastroMelchor_2010
SCO0697	1	CastroMelchor_2010
SCO0701	1	CastroMelchor_2010
SCO0702	1	CastroMelchor_2010
SCO0703	1	CastroMelchor_2010
SCO0704	1	CastroMelchor_2010
SCO0712	1	CastroMelchor_2010
SCO0724	1	CastroMelchor_2010
SCO0734	1	CastroMelchor_2010
SCO0745	1	CastroMelchor_2010
SCO0746	1	CastroMelchor_2010
SCO0751	1	CastroMelchor_2010
SCO0772	1	CastroMelchor_2010
SCO0781	1	CastroMelchor_2010
SCO0800	1	CastroMelchor_2010
SCO0803	1	CastroMelchor_2010
SCO0806	1	CastroMelchor_2010
SCO0821	1	CastroMelchor_2010
SCO0822	1	CastroMelchor_2010
SCO0823	1	CastroMelchor_2010
SCO0824	1	CastroMelchor_2010
SCO0825	1	CastroMelchor_2010
SCO0826	1	CastroMelchor_2010
SCO0843	1	CastroMelchor_2010
SCO0844	1	CastroMelchor_2010
SCO0845	1	CastroMelchor_2010
SCO0857	1	CastroMelchor_2010
SCO0864	1	CastroMelchor_2010
SCO0865	1	CastroMelchor_2010
SCO0866	1	CastroMelchor_2010
SCO0868	1	CastroMelchor_2010
SCO0869	1	CastroMelchor_2010
SCO0870	1	CastroMelchor_2010
SCO0871	1	CastroMelchor_2010
SCO0872	1	CastroMelchor_2010
SCO0877	1	CastroMelchor_2010
SCO0886	1	CastroMelchor_2010
SCO0887	1	CastroMelchor_2010
SCO0889	1	CastroMelchor_2010
SCO0891	1	CastroMelchor_2010
SCO0895	1	CastroMelchor_2010
SCO0898	1	CastroMelchor_2010
SCO0925	1	CastroMelchor_2010
SCO0927	1	CastroMelchor_2010
SCO0946	1	CastroMelchor_2010
SCO0953	1	CastroMelchor_2010
SCO0971	1	CastroMelchor_2010
SCO1026	1	CastroMelchor_2010
SCO1034	1	CastroMelchor_2010
SCO1035	1	CastroMelchor_2010
SCO1036	1	CastroMelchor_2010
SCO1066	1	CastroMelchor_2010
SCO1069	1	CastroMelchor_2010
SCO1070	1	CastroMelchor_2010
SCO1071	1	CastroMelchor_2010
SCO1078	1	CastroMelchor_2010
SCO1094	1	CastroMelchor_2010
SCO1098	1	CastroMelchor_2010
SCO1099	1	CastroMelchor_2010
SCO1104	1	CastroMelchor_2010
SCO1108	1	CastroMelchor_2010
SCO1119	1	CastroMelchor_2010
SCO1120	1	CastroMelchor_2010
SCO1135	1	CastroMelchor_2010
SCO1145	1	CastroMelchor_2010
SCO1171	1	CastroMelchor_2010
SCO1173	1	CastroMelchor_2010
SCO1177	1	CastroMelchor_2010
SCO1186	1	CastroMelchor_2010
SCO1191	1	CastroMelchor_2010
SCO1200	1	CastroMelchor_2010
SCO1210	1	CastroMelchor_2010
SCO1217	1	CastroMelchor_2010
SCO1218	1	CastroMelchor_2010
SCO1219	1	CastroMelchor_2010
SCO1220	1	CastroMelchor_2010
SCO1227	1	CastroMelchor_2010
SCO1242	1	CastroMelchor_2010
SCO1259	1	CastroMelchor_2010
SCO1260	1	CastroMelchor_2010
SCO1261	1	CastroMelchor_2010
SCO1262	1	CastroMelchor_2010
SCO1263	1	CastroMelchor_2010
SCO1276	1	CastroMelchor_2010
SCO1299	1	CastroMelchor_2010
SCO1312	1	CastroMelchor_2010
SCO1331	1	CastroMelchor_2010
SCO1351	1	CastroMelchor_2010
SCO1353	1	CastroMelchor_2010
SCO1358	1	CastroMelchor_2010
SCO1360	1	CastroMelchor_2010
SCO1369	1	CastroMelchor_2010
SCO1370	1	CastroMelchor_2010
SCO1376	1	CastroMelchor_2010
SCO1410	1	CastroMelchor_2010
SCO1425	1	CastroMelchor_2010
SCO1430	1	CastroMelchor_2010
SCO1458	1	CastroMelchor_2010
SCO1459	1	CastroMelchor_2010
SCO1463	1	CastroMelchor_2010
SCO1468	1	CastroMelchor_2010
SCO1489	1	CastroMelchor_2010
SCO1504	1	CastroMelchor_2010
SCO1564	1	CastroMelchor_2010
SCO1565	1	CastroMelchor_2010
SCO1567	1	CastroMelchor_2010
SCO1568	1	CastroMelchor_2010
SCO1576	1	CastroMelchor_2010
SCO1577	1	CastroMelchor_2010
SCO1578	1	CastroMelchor_2010
SCO1579	1	CastroMelchor_2010
SCO1580	1	CastroMelchor_2010
SCO1587	1	CastroMelchor_2010
SCO1593	1	CastroMelchor_2010
SCO1596	1	CastroMelchor_2010
SCO1618	1	CastroMelchor_2010
SCO1619	1	CastroMelchor_2010
SCO1642	1	CastroMelchor_2010
SCO1658	1	CastroMelchor_2010
SCO1678	1	CastroMelchor_2010
SCO1691	1	CastroMelchor_2010
SCO1692	1	CastroMelchor_2010
SCO1699	1	CastroMelchor_2010
SCO1700	1	CastroMelchor_2010
SCO1702	1	CastroMelchor_2010
SCO1703	1	CastroMelchor_2010
SCO1712	1	CastroMelchor_2010
SCO1713	1	CastroMelchor_2010
SCO1714	1	CastroMelchor_2010
SCO1716	1	CastroMelchor_2010
SCO1717	1	CastroMelchor_2010
SCO1718	1	CastroMelchor_2010
SCO1736	1	CastroMelchor_2010
SCO1742	1	CastroMelchor_2010
SCO1743	1	CastroMelchor_2010
SCO1744	1	CastroMelchor_2010
SCO1745	1	CastroMelchor_2010
SCO1801	1	CastroMelchor_2010
SCO1802	1	CastroMelchor_2010
SCO1813	1	CastroMelchor_2010
SCO1839	1	CastroMelchor_2010
SCO1872	1	CastroMelchor_2010
SCO1873	1	CastroMelchor_2010
SCO1876	1	CastroMelchor_2010
SCO1877	1	CastroMelchor_2010
SCO1888	1	CastroMelchor_2010
SCO1889	1	CastroMelchor_2010
SCO1890	1	CastroMelchor_2010
SCO1897	1	CastroMelchor_2010
SCO1904	1	CastroMelchor_2010
SCO1905	1	CastroMelchor_2010
SCO1919	1	CastroMelchor_2010
SCO1920	1	CastroMelchor_2010
SCO1921	1	CastroMelchor_2010
SCO1922	1	CastroMelchor_2010
SCO1923	1	CastroMelchor_2010
SCO1924	1	CastroMelchor_2010
SCO1925	1	CastroMelchor_2010
SCO1926	1	CastroMelchor_2010
SCO2013	1	CastroMelchor_2010
SCO2047	1	CastroMelchor_2010
SCO2056	1	CastroMelchor_2010
SCO2057	1	CastroMelchor_2010
SCO2058	1	CastroMelchor_2010
SCO2074	1	CastroMelchor_2010
SCO2075	1	CastroMelchor_2010
SCO2094	1	CastroMelchor_2010
SCO2095	1	CastroMelchor_2010
SCO2096	1	CastroMelchor_2010
SCO2100	1	CastroMelchor_2010
SCO2105	1	CastroMelchor_2010
SCO2120	1	CastroMelchor_2010
SCO2121	1	CastroMelchor_2010
SCO2122	1	CastroMelchor_2010
SCO2126	1	CastroMelchor_2010
SCO2139	1	CastroMelchor_2010
SCO2140	1	CastroMelchor_2010
SCO2142	1	CastroMelchor_2010
SCO2143	1	CastroMelchor_2010
SCO2152	1	CastroMelchor_2010
SCO2158	1	CastroMelchor_2010
SCO2165	1	CastroMelchor_2010
SCO2166	1	CastroMelchor_2010
SCO2182	1	CastroMelchor_2010
SCO2184	1	CastroMelchor_2010
SCO2185	1	CastroMelchor_2010
SCO2186	1	CastroMelchor_2010
SCO2192	1	CastroMelchor_2010
SCO2209	1	CastroMelchor_2010
SCO2213	1	CastroMelchor_2010
SCO2214	1	CastroMelchor_2010
SCO2215	1	CastroMelchor_2010
SCO2216	1	CastroMelchor_2010
SCO2223	1	CastroMelchor_2010
SCO2224	1	CastroMelchor_2010
SCO2232	1	CastroMelchor_2010
SCO2244	1	CastroMelchor_2010
SCO2245	1	CastroMelchor_2010
SCO2259	1	CastroMelchor_2010
SCO2293	1	CastroMelchor_2010
SCO2294	1	CastroMelchor_2010
SCO2308	1	CastroMelchor_2010
SCO2319	1	CastroMelchor_2010
SCO2358	1	CastroMelchor_2010
SCO2359	1	CastroMelchor_2010
SCO2377	1	CastroMelchor_2010
SCO2378	1	CastroMelchor_2010
SCO2398	1	CastroMelchor_2010
SCO2426	1	CastroMelchor_2010
SCO2442	1	CastroMelchor_2010
SCO2449	1	CastroMelchor_2010
SCO2450	1	CastroMelchor_2010
SCO2452	1	CastroMelchor_2010
SCO2453	1	CastroMelchor_2010
SCO2465	1	CastroMelchor_2010
SCO2475	1	CastroMelchor_2010
SCO2486	1	CastroMelchor_2010
SCO2487	1	CastroMelchor_2010
SCO2488	1	CastroMelchor_2010
SCO2489	1	CastroMelchor_2010
SCO2501	1	CastroMelchor_2010
SCO2508	1	CastroMelchor_2010
SCO2517	1	CastroMelchor_2010
SCO2518	1	CastroMelchor_2010
SCO2519	1	CastroMelchor_2010
SCO2520	1	CastroMelchor_2010
SCO2521	1	CastroMelchor_2010
SCO2522	1	CastroMelchor_2010
SCO2523	1	CastroMelchor_2010
SCO2524	1	CastroMelchor_2010
SCO2525	1	CastroMelchor_2010
SCO2537	1	CastroMelchor_2010
SCO2538	1	CastroMelchor_2010
SCO2552	1	CastroMelchor_2010
SCO2553	1	CastroMelchor_2010
SCO2554	1	CastroMelchor_2010
SCO2555	1	CastroMelchor_2010
SCO2564	1	CastroMelchor_2010
SCO2565	1	CastroMelchor_2010
SCO2567	1	CastroMelchor_2010
SCO2568	1	CastroMelchor_2010
SCO2638	1	CastroMelchor_2010
SCO2639	1	CastroMelchor_2010
SCO2644	1	CastroMelchor_2010
SCO2729	1	CastroMelchor_2010
SCO2730	1	CastroMelchor_2010
SCO2734	1	CastroMelchor_2010
SCO2742	1	CastroMelchor_2010
SCO2745	1	CastroMelchor_2010
SCO2746	1	CastroMelchor_2010
SCO2747	1	CastroMelchor_2010
SCO2757	1	CastroMelchor_2010
SCO2792	1	CastroMelchor_2010
SCO2794	1	CastroMelchor_2010
SCO2800	1	CastroMelchor_2010
SCO2801	1	CastroMelchor_2010
SCO2815	1	CastroMelchor_2010
SCO2832	1	CastroMelchor_2010
SCO2844	1	CastroMelchor_2010
SCO2845	1	CastroMelchor_2010
SCO2846	1	CastroMelchor_2010
SCO2865	1	CastroMelchor_2010
SCO2924	1	CastroMelchor_2010
SCO2928	1	CastroMelchor_2010
SCO2935	1	CastroMelchor_2010
SCO2950	1	CastroMelchor_2010
SCO2953	1	CastroMelchor_2010
SCO2954	1	CastroMelchor_2010
SCO2958	1	CastroMelchor_2010
SCO2964	1	CastroMelchor_2010
SCO2973	1	CastroMelchor_2010
SCO2974	1	CastroMelchor_2010
SCO2987	1	CastroMelchor_2010
SCO3008	1	CastroMelchor_2010
SCO3011	1	CastroMelchor_2010
SCO3012	1	CastroMelchor_2010
SCO3013	1	CastroMelchor_2010
SCO3014	1	CastroMelchor_2010
SCO3017	1	CastroMelchor_2010
SCO3018	1	CastroMelchor_2010
SCO3019	1	CastroMelchor_2010
SCO3032	1	CastroMelchor_2010
SCO3033	1	CastroMelchor_2010
SCO3034	1	CastroMelchor_2010
SCO3063	1	CastroMelchor_2010
SCO3066	1	CastroMelchor_2010
SCO3067	1	CastroMelchor_2010
SCO3068	1	CastroMelchor_2010
SCO3075	1	CastroMelchor_2010
SCO3102	1	CastroMelchor_2010
SCO3103	1	CastroMelchor_2010
SCO3119	1	CastroMelchor_2010
SCO3128	1	CastroMelchor_2010
SCO3129	1	CastroMelchor_2010
SCO3133	1	CastroMelchor_2010
SCO3134	1	CastroMelchor_2010
SCO3144	1	CastroMelchor_2010
SCO3167	1	CastroMelchor_2010
SCO3173	1	CastroMelchor_2010
SCO3196	1	CastroMelchor_2010
SCO3197	1	CastroMelchor_2010
SCO3198	1	CastroMelchor_2010
SCO3200	1	CastroMelchor_2010
SCO3201	1	CastroMelchor_2010
SCO3202	1	CastroMelchor_2010
SCO3205	1	CastroMelchor_2010
SCO3209	1	CastroMelchor_2010
SCO3217	1	CastroMelchor_2010
SCO3225	1	CastroMelchor_2010
SCO3226	1	CastroMelchor_2010
SCO3263	1	CastroMelchor_2010
SCO3264	1	CastroMelchor_2010
SCO3265	1	CastroMelchor_2010
SCO3266	1	CastroMelchor_2010
SCO3269	1	CastroMelchor_2010
SCO3272	1	CastroMelchor_2010
SCO3275	1	CastroMelchor_2010
SCO3291	1	CastroMelchor_2010
SCO3308	1	CastroMelchor_2010
SCO3315	1	CastroMelchor_2010
SCO3323	1	CastroMelchor_2010
SCO3324	1	CastroMelchor_2010
SCO3335	1	CastroMelchor_2010
SCO3344	1	CastroMelchor_2010
SCO3346	1	CastroMelchor_2010
