SCO_ID	gene_id	gene_name	regulator_type	ZorroAranda_regulator_type	is_global_regulator	source
SCO6029	SC_RS32380	whiI	TCS_response_regulator	TCS	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6256	SC_RS33530		TF	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6265	SC_RS33575	scbR	global_regulator	global	True	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6266	SC_RS33580	scbA	regulator	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6280	SC_RS33650	kasO	TF	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6286	SC_RS33680	scbR2	global_regulator;TF	global	True	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6294	SC_RS33720	hypR	TF_GNTR_family	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6459	SC_RS34490	nmtR	TF	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6685	SC_RS35610	ramR	TCS_response_regulator	TCS	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6974	SC_RS37085		TF_GNTR_family	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO7168	SC_RS38065	agl3R	TF_GNTR_family	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO7173	SC_RS38085		global_regulator;TF	global	True	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO7427	SC_RS39340	nsrR	TF	TF	False	Zorro-Aranda_et_al_2022_SciRep_12_2704
