idx	TF_name	TF_SCO	TF_description	TG_name	TG_SCO	experiment	evidence	regulatory_function	evidence_classification	PubMed ID	Reference DOI	Year	Notes	TF_gene_id	TG_gene_id	source
	redD	SCO5877	Transcriptional regulator RedD	redJ	SCO5894	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31715	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redI	SCO5895	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31720	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redH	SCO5896	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31725	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redG	SCO5897	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31730	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redF	SCO5898	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31735	ZorroAranda2022_Curated
	hrdD	SCO3202	RNA polymerase principal sigma factor HrdD	actII-orf4	SCO5085	IVT	IVTA	activation	Strong	8655533	10.1128/jb.178.11.3402-3405.1996	1996		SC_RS18125	SC_RS27585	ZorroAranda2022_Curated
	hrdD	SCO3202	RNA polymerase principal sigma factor HrdD	redD	SCO5877	IVT	IVTA	activation	Strong	8655533	10.1128/jb.178.11.3402-3405.1996	1996		SC_RS18125	SC_RS31630	ZorroAranda2022_Curated
	afsR, afsB	SCO4426	Regulatory protein AfsR	actII-orf4	SCO5085	S1	GEA	activation	Weak	8858592	10.1046/j.1365-2958.1996.6491364.x	1996		SC_RS24295	SC_RS27585	ZorroAranda2022_Curated
	afsR, afsB	SCO4426	Regulatory protein AfsR	redD	SCO5877	S1	GEA	activation	Weak	8858592	10.1046/j.1365-2958.1996.6491364.x	1996		SC_RS24295	SC_RS31630	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	sigF	SCO4035	S1	GEA	activation	Weak	8866481	10.1111/j.1365-2958.1996.tb02567.x	1996		SC_RS11780	SC_RS22295	ZorroAranda2022_Curated
