timepoint	comparison	n1	n2	mean1	mean2	median1	median2	MannWhitney_U	MannWhitney_p	KS_stat	KS_p
T1	CCGG_4mC vs non_CCGG_4mC	5833	49	81.45034459111949	71.35551020408164	85.0	71.43	184876.0	0.00038218016669416393	0.29129128078455796	0.00038050480480251715
T1	CCGG_4mC vs 6mA	5833	9738	81.45034459111949	52.39653214212365	85.0	51.85	51624287.5	0.0	0.687883159382719	0.0
T2	CCGG_4mC vs non_CCGG_4mC	6071	51	79.86437160270137	70.6686274509804	83.33	71.43	204614.0	7.327362203161869e-05	0.3092425901343901	8.584130821622176e-05
T2	CCGG_4mC vs 6mA	6071	9740	79.86437160270137	53.243659137577	83.33	52.78	52971394.0	0.0	0.6681991877769461	0.0
T3	CCGG_4mC vs non_CCGG_4mC	5810	47	79.19770567986231	67.53085106382979	83.33	70.0	180377.5	0.00014086716661631423	0.261438459003186	0.0026662849997402638
T3	CCGG_4mC vs 6mA	5810	9735	79.19770567986231	54.153860297894205	83.33	53.85	49102345.0	0.0	0.6231648142205627	0.0
