timepoint	comparison	n1	n2	mean1	mean2	MannWhitney_U	MannWhitney_p	KS_stat	KS_p
T1	CCGG vs non_CCGG (weighted_freq)	1516	10	82.71790897097625	76.648	9906.0	0.0940668276066968	0.3897097625329815	0.07203714416397447
T1	CCGG_4mC vs 6mA (weighted_freq)	1516	1934	82.71790897097625	59.21475180972079	2722490.0	0.0	0.7142612546487928	0.0
T2	CCGG vs non_CCGG (weighted_freq)	486	7	77.46421810699589	65.80999999999999	2602.0	0.016116206077643667	0.4929453262786596	0.04553949440068213
T2	CCGG_4mC vs 6mA (weighted_freq)	486	2120	77.46421810699589	58.57846226415094	922089.5	6.674815179666995e-163	0.6642615886326578	3.583645039909899e-168
T3	CCGG_4mC vs 6mA (weighted_freq)	30	2295	67.65133333333333	58.585132897603486	49172.0	5.4215765724081264e-05	0.40784313725490196	5.8031555352696576e-05
