pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	19	26	0.007145543437382475	2.1912083779327105	3.902898147845934e-5	0.0036897525442171454
sco02010	ABC transporters - Streptomyces coelicolor	90	193	0.03384731101918014	1.3982622318959756	7.30644068161811e-5	0.0036897525442171454
sco01057	Biosynthesis of type II polyketide products - Streptomyces coelicolor	10	11	0.00376081233546446	2.72590515915074	1.291353323310358e-4	0.004347556188478205
sco02024	Quorum sensing - Streptomyces coelicolor	51	101	0.01918014291086875	1.5140918755282826	2.5329516307153664e-4	0.0063957028675563
sco00500	Starch and sucrose metabolism - Streptomyces coelicolor	30	53	0.011282437006393382	1.697261702867442	4.060256585528552e-4	0.008201718302767676
sco02020	Two-component system - Streptomyces coelicolor	57	122	0.021436630312147424	1.400936503924192	0.0013762903921633188	0.022709539968140197
sco01310	Nitrogen cycle - Streptomyces coelicolor	10	13	0.00376081233546446	2.3065351346660106	0.0016414198223264045	0.022709539968140197
sco00053	Ascorbate and aldarate metabolism - Streptomyces coelicolor	11	15	0.004136893569010906	2.198896828381597	0.0017987754430210058	0.022709539968140197
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	7	8	0.0026325686348251222	2.623683715682587	0.0025878528359873894	0.02904145960385848
sco00946	Degradation of flavonoids - Streptomyces coelicolor	8	10	0.003008649868371568	2.398796540052651	0.0033978285644160077	0.03431806850060168
sco00600	Sphingolipid metabolism - Streptomyces coelicolor	9	12	0.003384731101918014	2.2488717562993603	0.0038461999941061297	0.03531510903679264
sco00511	Other glycan degradation - Streptomyces coelicolor	9	13	0.003384731101918014	2.0758816211994096	0.008806955380610496	0.07412520778680501
