pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj
sco01100	Metabolic pathways - Streptomyces coelicolor	301	1066	0.25125208681135225	1.8792053359727126	1.9475594195224958e-33	1.6164743182036715e-31
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor	155	515	0.1293823038397329	2.003039045658622	1.4989301533954226e-19	6.220560136591004e-18
sco01120	Microbial metabolism in diverse environments - Streptomyces coelicolor	106	356	0.08848080133555926	1.9816219917090279	3.0726780488167697e-13	8.501075935059729e-12
sco01200	Carbon metabolism - Streptomyces coelicolor	56	148	0.04674457429048414	2.518206019040744	5.70354151553582e-12	1.1834848644736825e-10
sco01230	Biosynthesis of amino acids - Streptomyces coelicolor	55	148	0.045909849749582635	2.473238054415016	2.0305048709372254e-11	2.846490635372989e-10
sco00260	Glycine, serine and threonine metabolism - Streptomyces coelicolor	26	44	0.021702838063439065	3.9326529063590834	2.0577040737636065e-11	2.846490635372989e-10
sco01240	Biosynthesis of cofactors - Streptomyces coelicolor	58	164	0.048414023372287146	2.353689075288082	5.885999660745703e-11	6.97911388345562e-10
sco00860	Porphyrin metabolism - Streptomyces coelicolor	21	42	0.017529215358931552	3.3276293823038396	9.863601309279475e-8	1.0214810431307989e-6
sco00230	Purine metabolism - Streptomyces coelicolor	29	71	0.024207011686143573	2.7183451292059533	1.1076300467683363e-7	1.0214810431307989e-6
sco01210	2-Oxocarboxylic acid metabolism - Streptomyces coelicolor	22	52	0.018363939899833055	2.815686400410941	1.8657950102058264e-6	1.548609858470836e-5
sco00670	One carbon pool by folate - Streptomyces coelicolor	13	23	0.010851419031719533	3.7616679973869496	4.8912232516370505e-6	3.3843579566544206e-5
sco00785	Lipoic acid metabolism - Streptomyces coelicolor	12	20	0.01001669449081803	3.9931552587646073	4.893047648175065e-6	3.3843579566544206e-5
sco00270	Cysteine and methionine metabolism - Streptomyces coelicolor	17	37	0.014190317195325543	3.0578215945494747	7.236603249671409e-6	4.6202928440209766e-5
sco00010	Glycolysis / Gluconeogenesis - Streptomyces coelicolor	22	58	0.018363939899833055	2.524408496920154	1.5660551997834488e-5	9.284470113001876e-5
sco00920	Sulfur metabolism - Streptomyces coelicolor	11	19	0.009181969949916527	3.853044547930762	1.9863816545039188e-5	1.099131182158835e-4
sco00480	Glutathione metabolism - Streptomyces coelicolor	11	20	0.009181969949916527	3.6603923205342235	3.8161422974539924e-5	1.9796238168042586e-4
sco01232	Nucleotide metabolism - Streptomyces coelicolor	19	49	0.015859766277128547	2.5806105413784874	4.128978275178928e-5	2.0159129225873592e-4
sco00970	Aminoacyl-tRNA biosynthesis - Streptomyces coelicolor	14	95	0.011686143572621035	0.9807749758369212	5.941251988727041e-5	2.7395773059130243e-4
sco00030	Pentose phosphate pathway - Streptomyces coelicolor	16	40	0.01335559265442404	2.6621035058430715	1.0739588667174512e-4	4.691504523028866e-4
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor	14	33	0.011686143572621035	2.8234431122578036	1.3660043651234725e-4	5.668918115262411e-4
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	15	37	0.012520868113522538	2.6980778775436542	1.46979090324401e-4	5.809173569964421e-4
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	22	67	0.018363939899833055	2.1853088480801337	1.9483793360190044e-4	7.350703858617153e-4
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	6	8	0.005008347245409015	4.991444073455759	2.423924197553682e-4	8.747204712911113e-4
sco00680	Methane metabolism - Streptomyces coelicolor	13	31	0.010851419031719533	2.7909149658032204	2.7203134539698656e-4	9.407750694979119e-4
sco00290	Valine, leucine and isoleucine biosynthesis - Streptomyces coelicolor	9	17	0.007512520868113523	3.5233722871452424	2.935878330780062e-4	9.747116058189806e-4
sco00909	Sesquiterpenoid and triterpenoid biosynthesis - Streptomyces coelicolor	4	4	0.00333889816360601	6.655258764607679	5.075628984285146e-4	0.001620296944983335
sco00020	Citrate cycle (TCA cycle) - Streptomyces coelicolor	14	37	0.011686143572621035	2.518206019040744	5.65889919071751e-4	0.0017395875289983455
sco00450	Selenocompound metabolism - Streptomyces coelicolor	8	15	0.00667779632721202	3.5494713411240957	6.081844399484201e-4	0.00180283244698996
sco00720	Other carbon fixation pathways - Streptomyces coelicolor	15	42	0.012520868113522538	2.3768781302170283	7.40808133300416e-4	0.0021202439677218804
sco00620	Pyruvate metabolism - Streptomyces coelicolor	18	56	0.015025041736227046	2.1391903171953257	9.664805383385515e-4	0.002673929489403326
sco00360	Phenylalanine metabolism - Streptomyces coelicolor	13	35	0.010851419031719533	2.4719532554257095	0.0010856666365614731	0.002906784865632331
sco00660	C5-Branched dibasic acid metabolism - Streptomyces coelicolor	7	13	0.005843071786310518	3.583600873250289	0.0012672125628913277	0.0032868325849993814
sco00300	Lysine biosynthesis - Streptomyces coelicolor	9	20	0.007512520868113523	2.994866444073456	0.0013246172057017082	0.0033316129719164174
sco00564	Glycerophospholipid metabolism - Streptomyces coelicolor	10	25	0.008347245409015025	2.662103505843072	0.002132272750330985	0.005205254066984463
sco01320	Sulfur cycle - Streptomyces coelicolor	5	8	0.004173622704507512	4.159536727879799	0.0028601505586223304	0.0067826427533043835
sco04122	Sulfur relay system - Streptomyces coelicolor	7	15	0.005843071786310518	3.1057874234835836	0.0036073118848634384	0.008316857956768483
sco03070	Bacterial secretion system - Streptomyces coelicolor	7	16	0.005843071786310518	2.9116757095158596	0.00559085978827551	0.012541658443969388
sco00640	Propanoate metabolism - Streptomyces coelicolor	11	33	0.009181969949916527	2.21841958820256	0.006752315400572565	0.014748478374934811
sco00900	Terpenoid backbone biosynthesis - Streptomyces coelicolor	8	23	0.00667779632721202	2.3148726137765845	0.015218592164159635	0.03238828588782692
sco00750	Vitamin B6 metabolism - Streptomyces coelicolor	5	11	0.004173622704507512	3.0251176202762178	0.015932727541174932	0.03306040964793799
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor	9	28	0.007512520868113523	2.1391903171953257	0.017717422886382186	0.03586697803828589
sco00790	Folate biosynthesis - Streptomyces coelicolor	7	21	0.005843071786310518	2.21841958820256	0.02880670975673918	0.05692754547165124
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor	7	22	0.005843071786310518	2.1175823341933526	0.03693318172573	0.06966941098262705
sco03060	Protein export - Streptomyces coelicolor	7	23	0.005843071786310518	2.025513537054511	0.03693318172573	0.06966941098262705
sco00562	Inositol phosphate metabolism - Streptomyces coelicolor	6	18	0.005008347245409015	2.2184195882025595	0.04202093344065085	0.07750527723497824
sco00261	Monobactam biosynthesis - Streptomyces coelicolor	5	14	0.004173622704507512	2.3768781302170283	0.046891344577913864	0.08280811914823087
sco03018	RNA degradation - Streptomyces coelicolor	5	15	0.004173622704507512	2.21841958820256	0.046891344577913864	0.08280811914823087
