pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj
sco03010	Ribosome - Streptomyces coelicolor	55	78	0.028690662493479395	2.9327006674424516	3.888533305274319e-27	3.4996799747468872e-25
sco01100	Metabolic pathways - Streptomyces coelicolor	382	1066	0.1992696922274387	1.4904101839862747	7.920344049490885e-21	3.5641548222708984e-19
sco01240	Biosynthesis of cofactors - Streptomyces coelicolor	85	164	0.04434011476264997	2.1556325305037087	7.8925181715897435e-15	2.367755451476923e-13
sco01232	Nucleotide metabolism - Streptomyces coelicolor	35	49	0.018257694314032343	2.9707876890975484	2.949256000266283e-12	6.635826000599137e-11
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	28	37	0.014606155451225874	3.147429119260105	4.777719870305894e-11	8.599895766550608e-10
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor	186	515	0.09702660406885759	1.5021225519242747	1.4187540814038022e-10	1.8468194202767516e-9
sco01230	Biosynthesis of amino acids - Streptomyces coelicolor	71	148	0.037037037037037035	1.9952452452452454	1.4364151046596957e-10	1.8468194202767516e-9
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor	24	33	0.012519561815336464	3.024802010717504	4.673904598762317e-9	4.9817722334516036e-8
sco00970	Aminoacyl-tRNA biosynthesis - Streptomyces coelicolor	23	95	0.011997913406364111	1.0069406693572742	5.215620531096622e-9	4.9817722334516036e-8
sco00860	Porphyrin metabolism - Streptomyces coelicolor	28	42	0.014606155451225874	2.7727351764910453	5.5353024816128926e-9	4.9817722334516036e-8
sco00230	Purine metabolism - Streptomyces coelicolor	38	71	0.0198226395409494	2.225998662816754	7.530136561480682e-8	6.161020823029649e-7
sco00260	Glycine, serine and threonine metabolism - Streptomyces coelicolor	27	44	0.014084507042253521	2.552176696542894	1.3949828423463286e-7	1.0462371317597464e-6
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	35	67	0.018257694314032343	2.172665623369849	5.344932771769745e-7	3.7003380727636697e-6
sco03030	DNA replication - Streptomyces coelicolor	15	20	0.00782472613458529	3.1193270735524257	2.1765207319488046e-6	1.3991918991099458e-5
sco03440	Homologous recombination - Streptomyces coelicolor	16	23	0.008346374543557642	2.8932888798167427	4.930566106305726e-6	2.9583396637834357e-5
sco01200	Carbon metabolism - Streptomyces coelicolor	58	148	0.03025560772039645	1.6299186510454116	2.592341388931221e-5	1.4581920312738117e-4
sco00670	One carbon pool by folate - Streptomyces coelicolor	15	23	0.00782472613458529	2.7124583248281966	3.23418737419163e-5	1.7122168451602748e-4
sco03410	Base excision repair - Streptomyces coelicolor	14	21	0.007303077725612937	2.7727351764910453	4.162578967162334e-5	2.081289483581167e-4
sco03430	Mismatch repair - Streptomyces coelicolor	13	19	0.006781429316640584	2.8457018916618617	5.262188673709633e-5	2.492615687546668e-4
sco00010	Glycolysis / Gluconeogenesis - Streptomyces coelicolor	26	58	0.013562858633281168	1.8644253772957025	4.012222298249068e-4	0.0018055000342120805
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor	13	22	0.006781429316640584	2.4576516337079717	4.5822538506604094e-4	0.0018745583934519855
sco03060	Protein export - Streptomyces coelicolor	13	23	0.006781429316640584	2.350797214851103	4.5822538506604094e-4	0.0018745583934519855
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor	15	28	0.00782472613458529	2.2280907668231613	7.066857401723308e-4	0.002678469111936265
sco00730	Thiamine metabolism - Streptomyces coelicolor	9	13	0.004694835680751174	2.879378837125316	7.197302966905799e-4	0.002678469111936265
sco01250	Biosynthesis of nucleotide sugars - Streptomyces coelicolor	21	45	0.010954616588419406	1.9409146235437313	7.440191977600736e-4	0.002678469111936265
sco03420	Nucleotide excision repair - Streptomyces coelicolor	8	11	0.004173187271778821	3.0248020107175035	8.906033023001969e-4	0.0030828575848852974
sco00030	Pentose phosphate pathway - Streptomyces coelicolor	19	40	0.0099113197704747	1.9755738132498695	0.0010075504467081022	0.0033585014890270075
sco03070	Bacterial secretion system - Streptomyces coelicolor	10	16	0.005216484089723527	2.599439227960355	0.0011754012858558624	0.003778075561679558
sco03018	RNA degradation - Streptomyces coelicolor	9	15	0.004694835680751174	2.4954616588419407	0.001585648107354949	0.004920976884894669
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Streptomyces coelicolor	8	12	0.004173187271778821	2.772735176491045	0.0021084367827461765	0.006325310348238529
sco03020	RNA polymerase - Streptomyces coelicolor	4	4	0.0020865936358894104	4.159102764736567	0.0033340195700048677	0.009679411654852843
sco00520	Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor	23	56	0.011997913406364111	1.7082029212310903	0.00348727463477132	0.009807959910294338
sco00250	Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor	16	36	0.008346374543557642	1.8484901176606965	0.005660952515152734	0.015438961404962
sco00340	Histidine metabolism - Streptomyces coelicolor	11	22	0.005738132498695879	2.0795513823682836	0.007251426565131496	0.019194952672406902
sco00220	Arginine biosynthesis - Streptomyces coelicolor	14	31	0.007303077725612937	1.8783044743971595	0.007964388930148067	0.019910972325370167
sco00680	Methane metabolism - Streptomyces coelicolor	14	31	0.007303077725612937	1.8783044743971595	0.007964388930148067	0.019910972325370167
sco01120	Microbial metabolism in diverse environments - Streptomyces coelicolor	103	356	0.05372978612415232	1.2033359122692877	0.01731791457799225	0.042124657081602776
sco00564	Glycerophospholipid metabolism - Streptomyces coelicolor	11	25	0.005738132498695879	1.8300052164840899	0.022303135845724426	0.05282321647671574
sco01210	2-Oxocarboxylic acid metabolism - Streptomyces coelicolor	19	52	0.0099113197704747	1.5196721640383613	0.02926837303371737	0.06754239930857854
sco00785	Lipoic acid metabolism - Streptomyces coelicolor	9	20	0.004694835680751174	1.8715962441314553	0.03218211143178515	0.07182974294086972
sco00401	Novobiocin biosynthesis - Streptomyces coelicolor	4	6	0.0020865936358894104	2.772735176491045	0.03272243845084065	0.07182974294086972
