GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj	comparison	direction
GO:0015078	6	7	0.005084745762711864	0.0014447884416924665	3.519370460048426	0.0011460247663209943	0.014734604138412785	T2vsT1	Down
GO:0001522	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0009451	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0009982	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0043022	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0033308	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0051470	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0033286	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0033288	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893	T2vsT1	Down
GO:0006189	6	8	0.005084745762711864	0.001651186790505676	3.079449152542373	0.003635870227615181	0.028454636563944893	T2vsT1	Down
GO:0005524	164	570	0.13898305084745763	0.11764705882352941	1.18135593220339	0.005716432451231335	0.04287324338423501	T2vsT1	Down
GO:0003678	9	16	0.007627118644067797	0.003302373581011352	2.30958686440678	0.00613169953719502	0.044148236667804146	T2vsT1	Down
