pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	18	26	0.009018036072144289	2.76541544627717	2.5828541096885575e-6	2.4795399453010153e-4
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor	171	515	0.08567134268537074	1.3263254664669144	1.0455896799034768e-5	5.018830463536689e-4
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	7	8	0.0035070140280561123	3.4951778557114226	3.8227337291684224e-4	0.009276776742175188
sco00620	Pyruvate metabolism - Streptomyces coelicolor	26	56	0.013026052104208416	1.8545841683366733	4.0033179732319057e-4	0.009276776742175188
sco00920	Sulfur metabolism - Streptomyces coelicolor	12	19	0.006012024048096192	2.522835143972155	4.831654553216244e-4	0.009276776742175188
sco01057	Biosynthesis of type II polyketide products - Streptomyces coelicolor	8	11	0.004008016032064128	2.905082893058845	0.0011904073305618213	0.01904651728898914
sco01100	Metabolic pathways - Streptomyces coelicolor	305	1066	0.15280561122244488	1.1428884974451716	0.002343050423920375	0.032133262956622284
sco00290	Valine, leucine and isoleucine biosynthesis - Streptomyces coelicolor	10	17	0.00501002004008016	2.349699398797595	0.003103864886355956	0.03700119101317743
sco00909	Sesquiterpenoid and triterpenoid biosynthesis - Streptomyces coelicolor	4	4	0.002004008016032064	3.994488977955911	0.003919003984242514	0.03700119101317743
sco00450	Selenocompound metabolism - Streptomyces coelicolor	9	15	0.0045090180360721445	2.3966933867735474	0.004200674727196912	0.03700119101317743
sco01320	Sulfur cycle - Streptomyces coelicolor	6	8	0.003006012024048096	2.9958667334669333	0.004239719803593247	0.03700119101317743
sco00650	Butanoate metabolism - Streptomyces coelicolor	20	49	0.01002004008016032	1.6304036644718005	0.010809184715985472	0.08647347772788377
