pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj	comparison	direction
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	19	26	0.007145543437382475	2.1912083779327105	3.902898147845934e-5	0.0036897525442171454	T3vsT1	Up
sco02010	ABC transporters - Streptomyces coelicolor	90	193	0.03384731101918014	1.3982622318959756	7.30644068161811e-5	0.0036897525442171454	T3vsT1	Up
sco01057	Biosynthesis of type II polyketide products - Streptomyces coelicolor	10	11	0.00376081233546446	2.72590515915074	1.291353323310358e-4	0.004347556188478205	T3vsT1	Up
sco02024	Quorum sensing - Streptomyces coelicolor	51	101	0.01918014291086875	1.5140918755282826	2.5329516307153664e-4	0.0063957028675563	T3vsT1	Up
sco00500	Starch and sucrose metabolism - Streptomyces coelicolor	30	53	0.011282437006393382	1.697261702867442	4.060256585528552e-4	0.008201718302767676	T3vsT1	Up
sco02020	Two-component system - Streptomyces coelicolor	57	122	0.021436630312147424	1.400936503924192	0.0013762903921633188	0.022709539968140197	T3vsT1	Up
sco01310	Nitrogen cycle - Streptomyces coelicolor	10	13	0.00376081233546446	2.3065351346660106	0.0016414198223264045	0.022709539968140197	T3vsT1	Up
sco00053	Ascorbate and aldarate metabolism - Streptomyces coelicolor	11	15	0.004136893569010906	2.198896828381597	0.0017987754430210058	0.022709539968140197	T3vsT1	Up
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	7	8	0.0026325686348251222	2.623683715682587	0.0025878528359873894	0.02904145960385848	T3vsT1	Up
sco00946	Degradation of flavonoids - Streptomyces coelicolor	8	10	0.003008649868371568	2.398796540052651	0.0033978285644160077	0.03431806850060168	T3vsT1	Up
sco00600	Sphingolipid metabolism - Streptomyces coelicolor	9	12	0.003384731101918014	2.2488717562993603	0.0038461999941061297	0.03531510903679264	T3vsT1	Up
sco00511	Other glycan degradation - Streptomyces coelicolor	9	13	0.003384731101918014	2.0758816211994096	0.008806955380610496	0.07412520778680501	T3vsT1	Up
sco03010	Ribosome - Streptomyces coelicolor	55	78	0.028690662493479395	2.9327006674424516	3.888533305274319e-27	3.4996799747468872e-25	T3vsT1	Down
sco01100	Metabolic pathways - Streptomyces coelicolor	382	1066	0.1992696922274387	1.4904101839862747	7.920344049490885e-21	3.5641548222708984e-19	T3vsT1	Down
sco01240	Biosynthesis of cofactors - Streptomyces coelicolor	85	164	0.04434011476264997	2.1556325305037087	7.8925181715897435e-15	2.367755451476923e-13	T3vsT1	Down
sco01232	Nucleotide metabolism - Streptomyces coelicolor	35	49	0.018257694314032343	2.9707876890975484	2.949256000266283e-12	6.635826000599137e-11	T3vsT1	Down
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	28	37	0.014606155451225874	3.147429119260105	4.777719870305894e-11	8.599895766550608e-10	T3vsT1	Down
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor	186	515	0.09702660406885759	1.5021225519242747	1.4187540814038022e-10	1.8468194202767516e-9	T3vsT1	Down
sco01230	Biosynthesis of amino acids - Streptomyces coelicolor	71	148	0.037037037037037035	1.9952452452452454	1.4364151046596957e-10	1.8468194202767516e-9	T3vsT1	Down
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor	24	33	0.012519561815336464	3.024802010717504	4.673904598762317e-9	4.9817722334516036e-8	T3vsT1	Down
sco00970	Aminoacyl-tRNA biosynthesis - Streptomyces coelicolor	23	95	0.011997913406364111	1.0069406693572742	5.215620531096622e-9	4.9817722334516036e-8	T3vsT1	Down
sco00860	Porphyrin metabolism - Streptomyces coelicolor	28	42	0.014606155451225874	2.7727351764910453	5.5353024816128926e-9	4.9817722334516036e-8	T3vsT1	Down
sco00230	Purine metabolism - Streptomyces coelicolor	38	71	0.0198226395409494	2.225998662816754	7.530136561480682e-8	6.161020823029649e-7	T3vsT1	Down
sco00260	Glycine, serine and threonine metabolism - Streptomyces coelicolor	27	44	0.014084507042253521	2.552176696542894	1.3949828423463286e-7	1.0462371317597464e-6	T3vsT1	Down
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	35	67	0.018257694314032343	2.172665623369849	5.344932771769745e-7	3.7003380727636697e-6	T3vsT1	Down
sco03030	DNA replication - Streptomyces coelicolor	15	20	0.00782472613458529	3.1193270735524257	2.1765207319488046e-6	1.3991918991099458e-5	T3vsT1	Down
sco03440	Homologous recombination - Streptomyces coelicolor	16	23	0.008346374543557642	2.8932888798167427	4.930566106305726e-6	2.9583396637834357e-5	T3vsT1	Down
sco01200	Carbon metabolism - Streptomyces coelicolor	58	148	0.03025560772039645	1.6299186510454116	2.592341388931221e-5	1.4581920312738117e-4	T3vsT1	Down
sco00670	One carbon pool by folate - Streptomyces coelicolor	15	23	0.00782472613458529	2.7124583248281966	3.23418737419163e-5	1.7122168451602748e-4	T3vsT1	Down
sco03410	Base excision repair - Streptomyces coelicolor	14	21	0.007303077725612937	2.7727351764910453	4.162578967162334e-5	2.081289483581167e-4	T3vsT1	Down
sco03430	Mismatch repair - Streptomyces coelicolor	13	19	0.006781429316640584	2.8457018916618617	5.262188673709633e-5	2.492615687546668e-4	T3vsT1	Down
sco00010	Glycolysis / Gluconeogenesis - Streptomyces coelicolor	26	58	0.013562858633281168	1.8644253772957025	4.012222298249068e-4	0.0018055000342120805	T3vsT1	Down
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor	13	22	0.006781429316640584	2.4576516337079717	4.5822538506604094e-4	0.0018745583934519855	T3vsT1	Down
sco03060	Protein export - Streptomyces coelicolor	13	23	0.006781429316640584	2.350797214851103	4.5822538506604094e-4	0.0018745583934519855	T3vsT1	Down
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor	15	28	0.00782472613458529	2.2280907668231613	7.066857401723308e-4	0.002678469111936265	T3vsT1	Down
sco00730	Thiamine metabolism - Streptomyces coelicolor	9	13	0.004694835680751174	2.879378837125316	7.197302966905799e-4	0.002678469111936265	T3vsT1	Down
sco01250	Biosynthesis of nucleotide sugars - Streptomyces coelicolor	21	45	0.010954616588419406	1.9409146235437313	7.440191977600736e-4	0.002678469111936265	T3vsT1	Down
sco03420	Nucleotide excision repair - Streptomyces coelicolor	8	11	0.004173187271778821	3.0248020107175035	8.906033023001969e-4	0.0030828575848852974	T3vsT1	Down
sco00030	Pentose phosphate pathway - Streptomyces coelicolor	19	40	0.0099113197704747	1.9755738132498695	0.0010075504467081022	0.0033585014890270075	T3vsT1	Down
sco03070	Bacterial secretion system - Streptomyces coelicolor	10	16	0.005216484089723527	2.599439227960355	0.0011754012858558624	0.003778075561679558	T3vsT1	Down
sco03018	RNA degradation - Streptomyces coelicolor	9	15	0.004694835680751174	2.4954616588419407	0.001585648107354949	0.004920976884894669	T3vsT1	Down
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Streptomyces coelicolor	8	12	0.004173187271778821	2.772735176491045	0.0021084367827461765	0.006325310348238529	T3vsT1	Down
sco03020	RNA polymerase - Streptomyces coelicolor	4	4	0.0020865936358894104	4.159102764736567	0.0033340195700048677	0.009679411654852843	T3vsT1	Down
sco00520	Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor	23	56	0.011997913406364111	1.7082029212310903	0.00348727463477132	0.009807959910294338	T3vsT1	Down
sco00250	Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor	16	36	0.008346374543557642	1.8484901176606965	0.005660952515152734	0.015438961404962	T3vsT1	Down
sco00340	Histidine metabolism - Streptomyces coelicolor	11	22	0.005738132498695879	2.0795513823682836	0.007251426565131496	0.019194952672406902	T3vsT1	Down
sco00220	Arginine biosynthesis - Streptomyces coelicolor	14	31	0.007303077725612937	1.8783044743971595	0.007964388930148067	0.019910972325370167	T3vsT1	Down
