comparison	group	n_genes	n_KEGG_sig	n_GO_sig	n_COG_sig
T2vsT1	all	339	0	0	1
T2vsT1	positive	114	0	0	0
T2vsT1	negative	98	0	0	1
T2vsT1	gained	162	0	3	1
T2vsT1	lost	104	0	0	0
T3vsT1	all	273	0	0	0
T3vsT1	positive	196	0	0	0
T3vsT1	negative	78	0	0	0
T3vsT1	gained	113	0	1	0
T3vsT1	lost	161	0	0	0
T3vsT2	all	181	0	0	0
T3vsT2	positive	134	0	0	0
T3vsT2	negative	48	0	0	0
T3vsT2	gained	57	0	3	0
T3vsT2	lost	125	0	0	0
