comparison	mod_type	COG	COG_name	n_genes	spearman_r	pvalue
T2vsT1	4mC	C	Energy production	52	0.0806	0.5700466647929044
T2vsT1	4mC	D	Cell division	1		
T2vsT1	4mC	E	Amino acid metabolism	27	-0.2961	0.13371767020697678
T2vsT1	4mC	F	Nucleotide metabolism	2		
T2vsT1	4mC	G	Carbohydrate metabolism	12	-0.3357	0.28612290291498743
T2vsT1	4mC	H	Coenzyme metabolism	13	-0.1983	0.5159519942392412
T2vsT1	4mC	I	Lipid metabolism	6		
T2vsT1	4mC	J	Translation	12	0.1049	0.7456094809807079
T2vsT1	4mC	K	Transcription	56	0.2237	0.09742294230927553
T2vsT1	4mC	L	Replication/Repair	5		
T2vsT1	4mC	M	Cell wall	4		
T2vsT1	4mC	N	Motility	0		
T2vsT1	4mC	O	Chaperones/PTM	19	0.4018	0.08819020424423064
T2vsT1	4mC	P	Inorganic ion transport	41	0.1094	0.4959128672041329
T2vsT1	4mC	Q	Secondary metabolism	0		
T2vsT1	4mC	R	General function	222	0.0393	0.5607402871487324
T2vsT1	4mC	T	Signal transduction	26	0.1453	0.47880994695826673
T2vsT1	4mC	U	Secretion	16	0.4029	0.12174576295254301
T2vsT1	4mC	V	Defense	18	0.221	0.3782541097905343
T2vsT1	6mA	C	Energy production	41	-0.0794	0.6214811399087123
T2vsT1	6mA	D	Cell division	3		
T2vsT1	6mA	E	Amino acid metabolism	25	-0.1077	0.6083790310806794
T2vsT1	6mA	F	Nucleotide metabolism	3		
T2vsT1	6mA	G	Carbohydrate metabolism	19	-0.1018	0.6785046196387319
T2vsT1	6mA	H	Coenzyme metabolism	9		
T2vsT1	6mA	I	Lipid metabolism	5		
T2vsT1	6mA	J	Translation	19	0.1553	0.5254413553637164
T2vsT1	6mA	K	Transcription	64	0.2806	0.024694309510442474
T2vsT1	6mA	L	Replication/Repair	8		
T2vsT1	6mA	M	Cell wall	10	-0.4182	0.22911284098281895
T2vsT1	6mA	N	Motility	0		
T2vsT1	6mA	O	Chaperones/PTM	19	0.1316	0.5913047122717008
T2vsT1	6mA	P	Inorganic ion transport	31	-0.0585	0.754718024894828
T2vsT1	6mA	Q	Secondary metabolism	0		
T2vsT1	6mA	R	General function	214	-0.1449	0.034133005861016336
T2vsT1	6mA	T	Signal transduction	26	-0.1453	0.47880994695826673
T2vsT1	6mA	U	Secretion	14	0.3626	0.20256454381724168
T2vsT1	6mA	V	Defense	12	0.3217	0.30790987618065263
T2vsT1	4mC	ALL	All genes	626	0.1248	0.0017495202304170108
T2vsT1	6mA	ALL	All genes	621	-0.0378	0.34762728303947416
T3vsT1	4mC	C	Energy production	44	0.238	0.11978748098553683
T3vsT1	4mC	D	Cell division	0		
T3vsT1	4mC	E	Amino acid metabolism	26	-0.1884	0.3567470170788154
T3vsT1	4mC	F	Nucleotide metabolism	1		
T3vsT1	4mC	G	Carbohydrate metabolism	12	-0.1049	0.7456094809807079
T3vsT1	4mC	H	Coenzyme metabolism	10	-0.231	0.5207915330258043
T3vsT1	4mC	I	Lipid metabolism	5		
T3vsT1	4mC	J	Translation	12	-0.1469	0.6487957097846665
T3vsT1	4mC	K	Transcription	50	0.0974	0.5008709929602793
T3vsT1	4mC	L	Replication/Repair	4		
T3vsT1	4mC	M	Cell wall	4		
T3vsT1	4mC	N	Motility	0		
T3vsT1	4mC	O	Chaperones/PTM	16	-0.15	0.5792486306642535
T3vsT1	4mC	P	Inorganic ion transport	38	0.0815	0.6265843854252023
T3vsT1	4mC	Q	Secondary metabolism	0		
T3vsT1	4mC	R	General function	187	-0.0825	0.2616682646023408
T3vsT1	4mC	T	Signal transduction	25	-0.0154	0.941814892951957
T3vsT1	4mC	U	Secretion	14	0.0989	0.7365853699253173
T3vsT1	4mC	V	Defense	12	0.3706	0.23562100351264567
T3vsT1	6mA	C	Energy production	48	-0.2033	0.16583548480827623
T3vsT1	6mA	D	Cell division	2		
T3vsT1	6mA	E	Amino acid metabolism	27	-0.1001	0.619270989423611
T3vsT1	6mA	F	Nucleotide metabolism	2		
T3vsT1	6mA	G	Carbohydrate metabolism	19	0.0912	0.7103145534384595
T3vsT1	6mA	H	Coenzyme metabolism	14	-0.1868	0.5225040123791592
T3vsT1	6mA	I	Lipid metabolism	6		
T3vsT1	6mA	J	Translation	18	-0.0186	0.9416499030366527
T3vsT1	6mA	K	Transcription	72	0.1539	0.1969323028204821
T3vsT1	6mA	L	Replication/Repair	11	-0.4636	0.1509014992924859
T3vsT1	6mA	M	Cell wall	9		
T3vsT1	6mA	N	Motility	0		
T3vsT1	6mA	O	Chaperones/PTM	19	-0.2421	0.31797476682653436
T3vsT1	6mA	P	Inorganic ion transport	40	0.2096	0.19433344843468764
T3vsT1	6mA	Q	Secondary metabolism	0		
T3vsT1	6mA	R	General function	218	-0.1469	0.030094251316374113
T3vsT1	6mA	T	Signal transduction	29	-0.0759	0.6957055205756081
T3vsT1	6mA	U	Secretion	12	0.1189	0.712884219214772
T3vsT1	6mA	V	Defense	13	0.4396	0.1328602441569298
T3vsT1	4mC	ALL	All genes	542	-0.0034	0.9371932294845063
T3vsT1	6mA	ALL	All genes	662	-0.0932	0.016450062390375702
T3vsT2	4mC	C	Energy production	52	-0.0312	0.8259423740881917
T3vsT2	4mC	D	Cell division	1		
T3vsT2	4mC	E	Amino acid metabolism	26	-0.1494	0.46634449815034823
T3vsT2	4mC	F	Nucleotide metabolism	2		
T3vsT2	4mC	G	Carbohydrate metabolism	12	-0.0699	0.8290236405313092
T3vsT2	4mC	H	Coenzyme metabolism	13	0.3444	0.24925541316444078
T3vsT2	4mC	I	Lipid metabolism	5		
T3vsT2	4mC	J	Translation	11	0.0091	0.9788365001441937
T3vsT2	4mC	K	Transcription	53	0.0111	0.9369703680464987
T3vsT2	4mC	L	Replication/Repair	5		
T3vsT2	4mC	M	Cell wall	4		
T3vsT2	4mC	N	Motility	0		
T3vsT2	4mC	O	Chaperones/PTM	18	-0.4985	0.03525363586497097
T3vsT2	4mC	P	Inorganic ion transport	39	0.1785	0.27682130542912387
T3vsT2	4mC	Q	Secondary metabolism	0		
T3vsT2	4mC	R	General function	211	-0.0638	0.35635698067391103
T3vsT2	4mC	T	Signal transduction	25	0.1577	0.45155541117112846
T3vsT2	4mC	U	Secretion	15	-0.0893	0.7516725173502768
T3vsT2	4mC	V	Defense	18	0.0733	0.7725164788805138
T3vsT2	6mA	C	Energy production	47	0.0604	0.6869120522884777
T3vsT2	6mA	D	Cell division	2		
T3vsT2	6mA	E	Amino acid metabolism	25	-0.5038	0.010231357533068988
T3vsT2	6mA	F	Nucleotide metabolism	3		
T3vsT2	6mA	G	Carbohydrate metabolism	19	-0.1789	0.46355363606350397
T3vsT2	6mA	H	Coenzyme metabolism	14	-0.1516	0.6047905984521367
T3vsT2	6mA	I	Lipid metabolism	6		
T3vsT2	6mA	J	Translation	21	-0.2871	0.20698695157748934
T3vsT2	6mA	K	Transcription	76	-0.0689	0.55425189131324
T3vsT2	6mA	L	Replication/Repair	9		
T3vsT2	6mA	M	Cell wall	9		
T3vsT2	6mA	N	Motility	0		
T3vsT2	6mA	O	Chaperones/PTM	19	0.1123	0.6472068934597526
T3vsT2	6mA	P	Inorganic ion transport	37	0.073	0.6675630513058113
T3vsT2	6mA	Q	Secondary metabolism	0		
T3vsT2	6mA	R	General function	217	-0.1012	0.13712865681245476
T3vsT2	6mA	T	Signal transduction	25	-0.1677	0.4229966250282896
T3vsT2	6mA	U	Secretion	13	-0.6319	0.020516042572872473
T3vsT2	6mA	V	Defense	13	0.1868	0.541123523509894
T3vsT2	4mC	ALL	All genes	600	-0.0297	0.46782812849301303
T3vsT2	6mA	ALL	All genes	667	-0.0917	0.01787542847309806
