gene_id	4mC_change_T2_vs_T1	4mC_change_T3_vs_T1	4mC_change_T3_vs_T2	6mA_change_T2_vs_T1	6mA_change_T3_vs_T1	6mA_change_T3_vs_T2
SC_RS04810	-1.0300000000000011	-1.3700000000000043	-0.3400000000000034	-55.64	-55.64	0.0
SC_RS04820	1.2000000000000028	-95.56	-96.76	0.0	0.0	0.0
SC_RS11045	0.0	0.0	0.0	60.45	64.08	3.629999999999995
SC_RS15835	-17.03000000000001	-80.34	-63.309999999999995	0.0	0.0	0.0
SC_RS15855	0.0	0.0	0.0	1.1700000000000017	15.059999999999995	13.889999999999992
SC_RS18320	0.0	0.0	0.0	1.3599999999999994	-55.72	-57.08
SC_RS18855	-14.86999999999999	-82.55	-67.68	0.0	0.0	0.0
SC_RS35070	0.0	0.0	0.0	53.37	50.55	-2.8200000000000003
