tf_family	n_genes	concordant_derep_T2	concordant_derep_T3	concordant_repr_T2	concordant_repr_T3	discordant_T2	discordant_T3
HTH (other)	11	1	2	1	1	4	4
Other regulatory	10	0	1	2	1	3	4
TetR	9	1	2	0	1	4	3
Sigma factor	7	1	1	0	0	1	4
Sensor kinase	6	1	1	0	1	1	3
Response regulator	5	1	2	0	1	1	1
LysR	2	0	0	0	1	1	1
MarR	2	0	0	1	0	1	0
LacI	2	0	0	0	0	0	2
MerR	2	0	0	0	0	1	1
GntR	1	0	0	0	1	0	0
ArsR	1	0	0	0	1	0	0
DeoR	1	0	0	0	0	0	1
IclR	1	0	0	0	0	1	1
WhiB	1	1	0	0	0	0	0
ROK	1	0	0	1	0	0	0
