locus_tag	product	category	T1_expr	T2_expr	T3_expr	site_count_corr_rho	evidence_score	evidence_items	protein_id
SC_RS24685	class I SAM-dependent DNA methyltransferase	DNA MTase (unspecified)	324.80802529916514	33.84850611965863	66.10033450311492	0.5	9	DNA MTase annotation; Not Dcm-like (5mC); Strong T1 expression (325); Not RNA/protein/metabolite MTase	WP_003974444.1
SC_RS28835	BREX-2 system adenine-specific DNA-methyltransferase PglX	BREX system MTase	604.2846826714166	395.1741142939586	381.6886995982897	1.0	9	DNA-related annotation; Not Dcm-like (5mC); Strong T1 expression (604); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase; PENALTY: BREX typically m6A	WP_011030180.1
SC_RS12530	methyltransferase	MTase (general)	733.34596078884	280.0727081274294	154.1667986586658	1.0	8	Not Dcm-like (5mC); Strong T1 expression (733); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_030869367.1
SC_RS12025	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	231.3221543698286	96.05198424192037	71.12548010961567	1.0	8	Not Dcm-like (5mC); Strong T1 expression (231); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_003976818.1
SC_RS03950	class I SAM-dependent DNA methyltransferase	DNA MTase (unspecified)	130.1891357231657	160.94446498203675	102.27900256142472	0.5	8	DNA MTase annotation; Not Dcm-like (5mC); Moderate T1 expression (130); Not RNA/protein/metabolite MTase	WP_037666971.1
SC_RS07160	methyltransferase	MTase (general)	758.3032562116546	219.59406203790073	134.63194028395398	1.0	8	Not Dcm-like (5mC); Strong T1 expression (758); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_161270458.1
SC_RS10665	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	442.56494868105113	194.8727562270326	166.1180938854185	1.0	8	Not Dcm-like (5mC); Strong T1 expression (443); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_003977095.1
SC_RS25365	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	434.2209689408569	267.10968440252947	145.94498214588927	1.0	8	Not Dcm-like (5mC); Strong T1 expression (434); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_011029786.1
SC_RS12890	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	1461.6852371956973	378.94532973051105	156.57221694863685	1.0	8	Not Dcm-like (5mC); Strong T1 expression (1462); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_011028174.1
SC_RS13615	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	410.3308260004812	162.32332168254433	92.81511544718155	1.0	8	Not Dcm-like (5mC); Strong T1 expression (410); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_003976496.1
SC_RS29545	glycine cleavage system aminomethyltransferase GcvT	MTase (general)	2738.3605360731544	1194.6243464863726	307.53342534237623	1.0	8	Not Dcm-like (5mC); Strong T1 expression (2738); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_003973526.1
SC_RS19080	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	369.1419980928493	198.6698126843655	136.2318842279316	1.0	8	Not Dcm-like (5mC); Strong T1 expression (369); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_011028950.1
SC_RS16160	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	77.8491274873461	76.55993652161946	60.32686218623667	1.0	7	Not Dcm-like (5mC); Moderate T1 expression (78); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_003975986.1
SC_RS38280	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	100.83605998980131	82.8029226883644	50.88508564286318	1.0	7	Not Dcm-like (5mC); Moderate T1 expression (101); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_011031514.1
SC_RS36625	DNA-methyltransferase	DNA MTase (unspecified)	2.7178861011108766	3.948058393401344	45.995400720688	-1.0	7	DNA MTase annotation; Not Dcm-like (5mC); Low T1 expression (3); Not RNA/protein/metabolite MTase	WP_011031270.1
SC_RS19670	DNA-methyltransferase	DNA MTase (unspecified)	3.7825582139960545	2.934884828407481	48.02974459760939	-0.5	7	DNA MTase annotation; Not Dcm-like (5mC); Low T1 expression (4); Not RNA/protein/metabolite MTase	WP_011029046.1
SC_RS35335	BREX-2 system adenine-specific DNA-methyltransferase PglX	BREX system MTase	1666.2580911243465	1989.2951319815177	979.8380238270424	0.5	7	DNA-related annotation; Not Dcm-like (5mC); Strong T1 expression (1666); Not RNA/protein/metabolite MTase; PENALTY: BREX typically m6A	WP_011031053.1
SC_RS28465	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	332.8299534185339	1525.429686073751	842.2677338715035	-0.5	6	Not Dcm-like (5mC); Strong T1 expression (333); Not RNA/protein/metabolite MTase	WP_011030136.1
SC_RS17580	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	256.07310138106044	8629.613965985074	477.1860540102283	-0.5	6	Not Dcm-like (5mC); Strong T1 expression (256); Not RNA/protein/metabolite MTase	WP_011028761.1
SC_RS05450	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	1029.6134643036796	6965.213136079846	3340.4747227014627	-0.5	6	Not Dcm-like (5mC); Strong T1 expression (1030); Not RNA/protein/metabolite MTase	WP_003978157.1
SC_RS04540	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	294.73441086804587	788.4575826900697	370.66853067016456	-0.5	6	Not Dcm-like (5mC); Strong T1 expression (295); Not RNA/protein/metabolite MTase	WP_003978338.1
SC_RS38275	methyltransferase type 11	Type 11 MTase	47.20199212901562	21.717496298642704	17.96227744474513	1.0	6	Not Dcm-like (5mC); Low T1 expression (47); Strong site-count correlation (rho=1.00); Not RNA/protein/metabolite MTase	WP_134112068.1
SC_RS35230	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	428.0157541080114	1373.3988118874397	460.5366713804114	-0.5	6	Not Dcm-like (5mC); Strong T1 expression (428); Not RNA/protein/metabolite MTase	WP_016327797.1
SC_RS08195	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	371.13005467879407	408.430080628569	851.7312308381332	-1.0	6	Not Dcm-like (5mC); Strong T1 expression (371); Not RNA/protein/metabolite MTase	WP_011027667.1
