mod_type	timepoint	Promoter	5' gene body	Mid gene body	3' gene body	Intergenic
4mC	T1	23.6	16.21	43.13	14.24	2.82
4mC	T2	22.94	16.76	43.62	13.16	3.52
4mC	T3	21.98	15.85	43.66	14.27	4.25
6mA	T1	25.65	17.53	38.11	12.62	6.1
6mA	T2	24.95	17.03	38.4	13.68	5.94
6mA	T3	25.01	17.25	38.82	12.85	6.06
