mod_type	region	n_genes	spearman_rho_continuous	pval_continuous	spearman_rho_direction	pval_direction
4mC	Promoter	573	0.1393	0.0008262357810742038	0.0947	0.02338860011662474
4mC	Gene Body	1584	0.0109	0.6632785960388746	0.0093	0.7101262086076455
6mA	Promoter	675	-0.0306	0.42780817452382014	-0.0217	0.5739959456868237
6mA	Gene Body	1492	-0.0247	0.33947083911669584	-0.024	0.35329995225710353
