comparison	mod_type	hyper	hypo	total_DMG
T2vsT1	6mA	159	144	303
T2vsT1	4mC	188	96	284
T2vsT1	combined	336	237	566
T3vsT1	6mA	208	153	361
T3vsT1	4mC	79	211	290
T3vsT1	combined	281	348	619
T3vsT2	6mA	198	148	346
T3vsT2	4mC	56	275	331
T3vsT2	combined	250	411	648
