term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00230	Purine metabolism	40	71	40/645	1.467	0.0013332212613117347	SCO1234;SCO1235;SCO1236;SCO1254;SCO1461;SCO1479;SCO1514;SCO1530;SCO2015;SCO2081;SCO2470;SCO2546;SCO2612;SCO2843;SCO2902;SCO3059;SCO3060;SCO3093;SCO3123;SCO3405;SCO3629;SCO4068;SCO4071;SCO4077;SCO4078;SCO4079;SCO4086;SCO4087;SCO4723;SCO4770;SCO4771;SCO4785;SCO4813;SCO4814;SCO4917;SCO4928;SCO5225;SCO5226;SCO5805;SCO6075	0.014544231941582561
sco03410	Base excision repair	15	21	15/645	1.859	0.0020996429776115057	SCO1255;SCO1343;SCO1792;SCO2003;SCO2111;SCO2626;SCO3174;SCO3355;SCO3569;SCO4495;SCO5143;SCO5494;SCO5573;SCO6341;SCO7522	0.020996429776115055
sco03440	Homologous recombination	16	23	16/645	1.811	0.002298366824794714	SCO1475;SCO1518;SCO1519;SCO1520;SCO1827;SCO2003;SCO2064;SCO2564;SCO3541;SCO3876;SCO3878;SCO3907;SCO4067;SCO5566;SCO5769;SCO6084	0.02121569376733582
sco03018	RNA degradation	11	14	11/645	2.045	0.0025817664258112175	SCO3096;SCO3671;SCO3896;SCO4296;SCO4577;SCO4762;SCO5357;SCO5737;SCO5745;SCO5815;SCO7638	0.022129426506953292
sco00730	Thiamine metabolism	10	13	10/645	2.002	0.005399921049019462	SCO2104;SCO2107;SCO2157;SCO4723;SCO5211;SCO5486;SCO5562;SCO5563;SCO6013;SCO6149	0.0431993683921557
sco00190	Oxidative phosphorylation	36	67	36/645	1.399	0.006743503611225056	SCO1930;SCO1934;SCO2148;SCO2149;SCO2150;SCO2151;SCO2154;SCO2155;SCO2156;SCO3092;SCO3392;SCO3409;SCO3945;SCO3946;SCO4599;SCO4600;SCO4601;SCO4602;SCO4603;SCO4604;SCO4605;SCO4606;SCO4607;SCO4855;SCO4856;SCO4857;SCO4858;SCO5367;SCO5368;SCO5369;SCO5370;SCO5371;SCO5372;SCO5373;SCO5374;SCO7101	0.05057627708418792
sco03430	Mismatch repair	13	19	13/645	1.781	0.00752880714227903	SCO1827;SCO2064;SCO2564;SCO3541;SCO3878;SCO3907;SCO4067;SCO4797;SCO5055;SCO5056;SCO5494;SCO6084;SCO7522	0.05314452100432256
sco00670	One carbon pool by folate	15	23	15/645	1.698	0.008007634398596133	SCO1378;SCO2180;SCO3077;SCO3183;SCO3920;SCO4403;SCO4813;SCO4814;SCO4824;SCO4828;SCO5470;SCO5471;SCO5472;SCO5657;SCO5743	0.05338422932397422
sco00710	Carbon fixation by Calvin cycle	14	22	14/645	1.657	0.014061904911984406	SCO1464;SCO1935;SCO1936;SCO1945;SCO1946;SCO1947;SCO2627;SCO3127;SCO3649;SCO5047;SCO6662;SCO6663;SCO7040;SCO7511	0.08881203102305942
sco03020	RNA polymerase	4	4	4/645	2.603	0.021654185531210263	SCO1478;SCO4654;SCO4655;SCO4729	0.12992511318726158
