bgc_name	gene_id	old_locus_tag	gene_name	product	role	is_regulator	regulator_name	log2FoldChange_3_vs_1	padj_3_vs_1	log2FoldChange_2_vs_1	log2FoldChange_3_vs_2	key_reason
act	SC_RS27515	SCO5071	NA	nuclear transport factor 2 family protein	biosynthesis	FALSE	NA	11.33944914956524	8.522600213715649e-27	1.24633732616446	9.334074170607888	top_LFC
act	SC_RS27590	SCO5086	NA	3-oxoacyl-ACP reductase	transport	FALSE	NA	11.105699808385983	4.495349197686715e-162	1.7441447828977934	9.2277358983701	top_LFC
act	SC_RS27520	SCO5072	NA	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein	biosynthesis	FALSE	NA	10.892241142255408	2.5275461777470657e-158	1.6050095836143912	9.144022538007633	top_LFC
act	SC_RS27530	SCO5074	NA	hypothetical protein	biosynthesis	FALSE	NA	10.867722381003082	5.390511280933041e-153	1.7267121382991433	9.00840994953344	top_LFC
act	SC_RS27605	SCO5089	NA	acyl carrier protein	biosynthesis	FALSE	NA	10.16612622316572	5.945453449712093e-31	0.3301751778177041	9.450870047937403	top_LFC
act	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	transport	TRUE	NA	6.435870540124959	6.340036627731633e-136	1.9854878028690233	4.401681273271182	regulator
act	SC_RS27570	SCO5082	actII	TetR family transcriptional regulator ActII	regulator	TRUE	actII-orf4	2.5950361467035115	1.2009819406248371e-24	-0.8299871201264029	3.473700450913632	regulator
cda	SC_RS18350	SCO3247	NA	acyl-CoA dehydrogenase family protein	biosynthesis	FALSE	NA	10.800706042246915	2.4527383829803595e-66	10.848204669338962	-0.0448978152698221	top_LFC
cda	SC_RS18315	SCO3240	NA	EboA domain-containing protein	biosynthesis	FALSE	NA	9.485845914761532	3.346598965185334e-20	9.57689924646228	-0.086566410144793507	top_LFC
cda	SC_RS18225	SCO3222	NA	phospholipase	biosynthesis	FALSE	NA	9.27777137673838	1.6228180369098876e-70	9.653497819646718	-0.3565577701032947	top_LFC
cda	SC_RS18325	SCO3242	NA	SCO3242 family prenyltransferase	biosynthesis	FALSE	NA	9.161912593931287	1.032420633313416e-41	8.856620241421862	0.291093828570949	top_LFC
cda	SC_RS18295	SCO3236	asnO	L-asparagine oxygenase	biosynthesis	FALSE	NA	9.045061715120038	1.1624113705100775e-136	8.764257615512305	0.2637454912806949	top_LFC
cda	SC_RS18200	SCO3217	NA	AfsR/SARP family transcriptional regulator	biosynthesis	TRUE	NA	5.758747449978721	1.3139907498249732e-114	6.850365978212149	-1.0506068239758557	regulator
cda	SC_RS18240	SCO3225	NA	sensor histidine kinase	regulator	TRUE	absA1	2.7250091300866304	5.104086381675095e-26	2.1995931224098624	0.494241935705737	regulator
cda	SC_RS18245	SCO3226	absA2	two component system response regulator	regulator	TRUE	absA2	0.5403133470339974	0.0175229390864308	0.948799424560244	-0.39908625727976	regulator
cpk	SC_RS33660	SCO6282	NA	SDR family oxidoreductase	regulator	TRUE	cpkO/kasO	13.19233885622541	4.0633157640537934e-182	13.654867759106516	-0.4296772645794411	top_LFC
