bgc_name	n_genes	M145_1_mean	M145_2_mean	M145_3_mean
act	22	65.29479530206625	98.52487227475898	9490.559849283372
cda	40	56.67610187032505	3308.552633139487	3084.9757090528446
cpk	16	52.08096601058954	9465.09110595304	6143.724177518017
red	22	65.23091999987831	681.5727991883273	965.5253467343396
