label	r	lo	hi	n
"all genes
(raw)"	-0.1271204812469065	-0.18486680326106475	-0.06777411832162286	1019
"all genes
(region-controlled)"	-0.08978718664890387	-0.15416255625789885	-0.034365628439821744	1019
core only	-0.12305936655063551	-0.1971128887036378	-0.05030273870975391	645
arm only	-0.014925107969134986	-0.11182244152568534	0.07455289242406112	374
