occ2k	LFC_T2vsT1	region
0.0	0.7740014298969246	1
0.0	-0.217473568852473	1
0.0	-1.482151075954944	1
0.0	-1.20882726219268	1
0.0	1.9589972494364425	1
0.0	2.202280419097655	1
0.0	0.3847571846540605	1
0.0	1.3478072821107898	1
94.66	-0.0159602400374791	1
0.0	-1.0239134444181497	1
167.7	-1.0252718400292251	1
0.0	1.148427079287908	1
92.21	-0.0185477794247903	1
92.21	2.6641822445754744	1
0.0	-1.019931959466732	1
0.0	-1.39711883038648	1
0.0	2.900028857681269	1
0.0	6.294033238583641	1
96.97	4.157236776581737	1
0.0	0.4592858867424682	1
0.0	0.3510988112785352	1
0.0	1.0526452066867726	1
0.0	0.2967320614247226	1
94.12	-1.1172802415794452	1
186.28	-0.2353378035035249	1
0.0	-0.6120267926735176	1
78.89	0.4008340214024673	1
78.89	0.927899550045083	1
0.0	0.1814637166824383	1
0.0	-0.5011124574904358	1
0.0	0.2007804528858386	1
0.0	0.6109724139132588	1
0.0	-1.23324135449965	1
0.0	-0.6869007709146461	1
0.0	2.162880179285506	1
0.0	0.4745124893283499	1
89.1	1.023956203688079	1
0.0	0.1690309381069101	1
0.0	1.0536515073234405	1
93.52	0.1255201918906925	1
0.0	-0.0282199003568821	1
0.0	-0.2679594837506325	1
0.0	0.3444890370297744	1
0.0	-0.4994119004344529	1
94.66	0.1447372583235094	1
0.0	-0.4006589053837667	1
98.67	1.3036844920565769	1
0.0	0.2039989649477898	1
0.0	1.1598787194855855	1
81.94	1.2908158424842628	1
0.0	-0.8348028269753959	1
0.0	-1.2501528217472195	1
0.0	-0.9067181621287422	1
0.0	-0.9442129281634142	1
97.78	0.4360018885227191	1
0.0	0.656849840565568	1
87.22	1.1733093432665949	1
0.0	-1.166480643873066	1
0.0	0.2509990949013399	1
0.0	-2.455410432554957	1
0.0	0.8710166541982379	1
0.0	0.7449652467363138	1
0.0	-0.7267519064625878	1
0.0	0.1443584186641425	1
0.0	-0.6728136108943864	1
0.0	0.2372264926792688	1
83.33	0.3429021036098957	1
0.0	-0.3724140861521582	1
0.0	4.716805818310592	1
0.0	-1.010102468201226	1
0.0	-0.9180429434867632	1
0.0	6.976372241992684	1
0.0	1.054127544087963	1
0.0	0.6196643888560709	1
0.0	-1.2591318297701912	1
88.37	-0.0460695847428328	1
88.37	1.4874595631570964	1
0.0	-1.79525130114843	1
95.24	0.2702113151748363	1
95.24	-1.3668292078247744	1
0.0	-1.2179066283951665	1
0.0	-0.1773167519469067	1
0.0	-0.6111934284105836	1
0.0	-0.5435455538211246	1
0.0	-1.1509878752879124	1
0.0	1.029551486704538	1
96.97	1.2538408848742586	1
92.59	-0.9458116142359604	1
0.0	-0.5006499103865119	1
0.0	-1.5374159449617275	1
0.0	0.4305057981057131	1
0.0	-0.1737691216983287	1
173.59	-0.1727301002487664	1
0.0	1.403719300924047	1
0.0	0.1109692802517742	1
66.11	2.2586565372129304	1
0.0	-0.6405149842391521	1
0.0	-0.0560957848551432	1
0.0	0.1570544064447543	1
88.82	0.8584381514538014	1
0.0	0.0545551845118072	1
0.0	-0.119034485166896	1
0.0	-1.3298006901673476	1
0.0	0.6238096514337876	1
0.0	-0.0049563235360248	1
171.17000000000002	3.659845684433634	1
90.28	5.905664010847805	1
0.0	-1.2349348467967949	1
0.0	-1.1384621811153084	1
0.0	1.4434302376472552	1
0.0	1.688781934919955	1
0.0	1.744038012178177	1
0.0	3.0313495229464373	1
0.0	1.8513213168351164	1
0.0	0.2939809405267505	1
0.0	0.7719533111121496	1
0.0	0.4854039204411557	1
0.0	0.8034364456318976	1
0.0	0.007604094758719	1
0.0	0.105748774574396	1
0.0	1.031289671131722	1
0.0	0.1192077013375205	1
0.0	1.5069504137270713	1
0.0	-1.8426515587496184	1
0.0	-0.4677664194222722	1
86.57	-0.0997928656008628	1
0.0	3.3232589075481034	1
0.0	1.075371051480272	1
183.32	0.1164734698130901	1
183.32	-1.263941082403715	1
0.0	0.9149011866957036	1
0.0	-1.5092560605737335	1
77.04	-0.3767031095001331	1
87.55	0.5631196363635875	1
87.55	-0.8010754312122149	1
269.35	0.3469446698179995	1
0.0	-0.3581513157215901	1
54.29	-0.3715703654838271	1
81.11	1.3089483590641795	1
0.0	0.8094142650653717	1
0.0	-0.566215545018939	1
0.0	-1.4536073413690946	1
0.0	0.0258307180240285	1
0.0	-1.0576162161470033	1
93.75	-0.8251659163488642	1
0.0	-0.9587805541847187	1
0.0	0.4849380573690511	1
0.0	-1.2286683147129265	1
0.0	-1.8153785651929175	1
0.0	-0.214480792072109	1
0.0	-0.0180939979031007	1
57.67	-1.3523461847775713	1
57.67	-1.1916448239528148	1
0.0	-2.2093926846049423	1
0.0	6.811744535398193	1
0.0	-0.2629738932683965	1
0.0	-0.205246152755252	1
93.02	-0.7473344152774578	1
0.0	-2.8247283435391974	1
0.0	-0.6833446797731827	1
0.0	0.2647908756922827	1
0.0	2.425670168641166	1
94.26	-1.2241958779201516	1
0.0	-0.1407520079624841	1
96.08	-0.1934556509338861	1
96.08	1.4546795036848732	1
0.0	4.584810932372193	1
0.0	1.0992593010195535	1
0.0	-0.7431294343976119	1
0.0	-0.4494711008514079	1
0.0	-0.3436851068784765	1
0.0	1.0165282503315765	1
0.0	0.3876920590452278	1
0.0	0.8379967993056319	1
0.0	2.1282375869249344	1
179.17000000000002	0.0994077549945447	1
97.22	-1.1035380512535544	1
91.83	-0.5306665012862575	1
0.0	-0.8869992434892832	1
89.09	-0.5196568516919353	1
190.48000000000002	2.42716860395486	1
100.0	0.1790808084234603	1
0.0	-0.938217183543405	1
90.0	-0.2001500627830274	1
0.0	0.4642671817574481	1
166.76999999999998	-0.884305093752802	1
0.0	-1.825771016749667	1
96.1	0.1370891249302437	1
96.1	0.3175114960226742	1
0.0	2.003471141904424	1
0.0	0.8808278556898363	1
0.0	-0.9279968590528116	1
77.5	-1.665351574649326	0
0.0	-0.3201712877947654	0
75.93	-1.082069046600477	0
0.0	0.028506265703805	0
188.04000000000002	-1.865642161634753	0
76.31	-2.674697000425491	0
0.0	1.826385974679796	0
0.0	3.873766306591509	0
70.72	-2.693065455553428	0
70.72	-1.05479477317521	0
70.72	-1.8852822743135569	0
0.0	-0.1665697526983641	0
94.07	1.3124556091783328	0
0.0	3.559311712441188	0
193.61	-2.4728275383525715	0
0.0	-0.6179024211187185	0
0.0	-1.6517194609883254	0
0.0	-0.6615646052706855	0
184.98000000000002	-0.5599309695917009	0
92.96	-2.332742571167738	0
0.0	0.7134181602977548	0
88.68	10.4971485185914	0
0.0	0.7996486375081046	0
0.0	0.5538707549857117	0
0.0	0.7892349412930391	0
0.0	-0.1286752955156062	0
0.0	0.2105562944714867	0
0.0	-0.1332324471539547	0
83.33	-0.3236418329942345	0
75.2	1.7289097130718962	0
0.0	-0.2695784113731092	0
0.0	0.6242426317153026	0
0.0	-0.9197404305181168	0
0.0	-0.0403495157874718	0
0.0	0.4200450762205345	0
83.41	-0.525619438019548	0
83.41	-0.2723150489539294	0
0.0	0.2966461996982341	0
91.9	0.4500686343813912	0
183.60000000000002	0.5894379158580678	0
0.0	0.3167615741544625	0
82.08	-0.9249908601902612	0
95.06	0.2936678654421161	0
95.06	0.7624098181580469	0
100.0	0.2587737584567641	0
0.0	-0.5252530335273791	0
0.0	-2.4002125545368926	0
51.03	-0.0407721930778691	0
51.03	-0.3567567096233709	0
89.47	-2.4417335587764044	0
84.57	4.5598935667318585	0
92.07	-1.594216831330721	0
265.62	-1.2152711716445304	0
0.0	-0.5863080449661612	0
185.44	1.3069071437293096	0
187.7	-0.7167714466850531	0
78.14	0.9621694831733594	0
0.0	1.1983431369128177	0
0.0	0.5176991416206476	0
0.0	0.3931407418762849	0
0.0	-0.3149523524804227	0
0.0	-0.1586380844724247	0
0.0	-0.3773227941484326	0
170.07999999999998	2.342123461012669	0
0.0	-0.3758406132605544	0
97.78	-0.504119817838419	0
93.83	0.1501744106888396	0
93.87	-1.5903492218499955	0
0.0	0.7157076226672633	0
0.0	1.1709623200672856	0
0.0	-0.319994432494782	0
58.61	-0.4512524135328378	0
58.61	-1.082981617867327	0
80.25	-1.259521699072848	0
89.7	0.4956689769917444	0
160.57	-0.281185503180341	0
151.03	0.0859218504176399	0
97.78	2.1935946969463735	0
151.07999999999998	-0.1917678736915759	0
151.07999999999998	0.3624581058940449	0
97.92	0.1300448292815365	0
92.15	-0.8803507852391097	0
0.0	1.1184701124315022	0
0.0	-1.0196349081247655	0
162.31	-1.176980209290797	0
79.62	3.2391391537497167	0
0.0	0.1740463422357375	0
0.0	0.7026718820417603	0
0.0	1.0679047821279013	0
0.0	-2.60408418536578	0
73.49	-2.6587528765760107	0
94.97	-2.2129166190388716	0
0.0	3.3663418540859613	0
156.32	0.0608048760213377	0
100.0	-0.3773673343662351	0
0.0	-1.0387231218797262	0
0.0	-0.9623696723215917	0
75.22	0.6234817397491822	0
75.22	0.9337403745589276	0
260.89	0.4613973102298433	0
0.0	-0.2386412437147756	0
81.19	-3.676026147414828	0
0.0	-0.5369601164110699	0
0.0	-0.3417068151357726	0
162.54	0.2954205177531505	0
92.82	0.1551476631430388	0
501.11	-0.003092793300663	0
81.57	2.0981626733944214	0
0.0	1.9329857117297928	0
55.56	-1.3457214719384083	0
0.0	0.2031974271377919	0
179.57999999999998	3.9154492499711857	0
0.0	-0.8787910467248727	0
0.0	-0.9839733105279588	0
159.60000000000002	0.1926478495523862	0
0.0	-0.7841611672419613	0
194.57999999999998	-0.3237729340935993	0
0.0	3.990337584269753	0
0.0	0.2172356621312726	0
86.39	1.2367478968388692	0
0.0	0.2684753890373882	0
0.0	6.092668182947945	0
0.0	3.933775298413101	0
0.0	3.270367719518872	0
0.0	-0.7616220063997272	0
0.0	0.8666976645231068	0
173.62	-0.1518813967867011	0
66.67	-1.044164842858697	0
0.0	-2.0105519076520997	0
69.31	-1.063467177593841	0
0.0	-1.718484135527773	0
86.6	-1.919461075886158	0
65.39	-1.77383748861616	0
87.66	-1.5646365908289377	0
171.27	-1.5708917691090083	0
149.18	-1.633740595502153	0
81.14	-0.3940206184391142	0
0.0	-1.5827249334929254	0
0.0	0.0320726027281723	0
0.0	0.4154366638885007	0
0.0	0.3350555672221927	0
0.0	-1.3714511419142328	0
215.62	-0.8557136270428685	0
0.0	-0.8118953385157253	0
0.0	1.7200093967983034	0
72.11	-1.4558761315398885	0
0.0	0.2855693917650436	0
172.31	-0.6934597498605036	0
241.64	1.111192488293643	0
166.69	1.2286063475604352	0
74.71	-0.4866504761710769	0
55.71	-1.4534602602806237	0
60.99	2.6017573397032967	0
92.31	0.5941385457150125	0
70.35	-2.5904476267344374	0
0.0	-1.7020606949795536	0
91.11	-0.6129902178245757	0
0.0	-1.7412503091118272	0
67.18	-0.6378221525205899	0
0.0	0.5907186038342439	0
172.63	0.0504358950090346	0
0.0	0.2048375575204512	0
0.0	-0.1668985992533252	0
0.0	-1.2149716852184476	0
96.26	-0.6863898799164236	0
0.0	-1.6542997259922183	0
53.89	1.1926883458951565	0
53.89	1.954392305951057	0
130.36	-2.146393632076846	0
173.62	-0.8971773783586984	0
0.0	-2.853029374803972	0
157.43	-1.7096121261829431	0
157.43	1.6024025720841717	0
0.0	-0.6702161985629062	0
0.0	-0.0965430792290759	0
0.0	-0.9947476890892744	0
93.84	0.1362981801614192	0
0.0	0.4668719232189372	0
0.0	-1.1881778751323795	0
99.38	-1.4515547738902486	0
86.12	-0.3256079258555034	0
89.3	-0.2092175350437949	0
0.0	0.0348474503330646	0
81.08	-0.4338245961618631	0
81.08	3.4047840224669184	0
81.91	-0.0452965010931839	0
85.1	-0.3144440925299834	0
0.0	-0.4257906660143592	0
177.63	-1.5446593892137368	0
241.1	-1.5471123392376651	0
97.18	-0.1982441960944395	0
97.18	-1.2092650223112538	0
0.0	-0.6381178726586845	0
0.0	0.2915230515511615	0
156.33999999999997	-1.127065767506869	0
156.33999999999997	4.7963227842598135	0
70.6	0.6988407597444776	0
174.86	6.850365978212149	0
0.0	2.1995931224098624	0
83.43	0.948799424560244	0
68.65	-3.282248030374895	0
68.65	-1.0870193703686224	0
0.0	-3.57844566475654	0
0.0	-1.4069118601785828	0
93.29	0.3644117025229381	0
264.36	-1.7460465080733083	0
0.0	-1.2911238825427258	0
51.57	-0.421051085181412	0
146.51999999999998	-1.2898718884289853	0
52.91	7.549826853336102	0
0.0	5.484559091854776	0
255.90999999999997	-0.5954602567225753	0
82.55	1.1010267550070598	0
94.31	0.3591860452126257	0
94.31	-0.3648355164938173	0
94.31	0.0451649567879807	0
0.0	-0.2949793504757966	0
185.51	3.4195676917640645	0
163.03	-0.9212782130876302	0
91.85	0.2403384542806878	0
0.0	-1.5728990615356164	0
0.0	-1.1111273204111014	0
174.82999999999998	-0.1544535667081392	0
174.82999999999998	-1.3306434253857695	0
78.78	0.4448143000849645	0
0.0	1.1801475153188778	0
250.23000000000002	-1.419044769100312	0
83.47	-0.732229725117746	0
0.0	0.8470235862176384	0
0.0	0.621248879121303	0
0.0	0.6765043857035247	0
0.0	-0.7857429667648392	0
0.0	-0.694963350336834	0
91.53	0.4986107728304443	0
0.0	1.1751529934212015	0
0.0	1.5339730549690782	0
190.15	-0.2213786192614913	0
218.82	6.323592911041734	0
85.57	-1.0793810864781923	0
263.37	0.1746499633235921	0
245.70999999999998	-2.032137929466868	0
337.66999999999996	-2.4053899511022783	0
0.0	-1.6504081941574402	0
159.3	-1.1236099230951204	0
152.44	1.0080131247304975	0
171.63	-1.6809730341213878	0
89.44	-1.625217624879505	0
0.0	-1.2524629578867557	0
0.0	0.1557142212481874	0
0.0	-0.6399045673304289	0
86.64	-0.0262766559413957	0
86.64	-0.9538057450057424	0
0.0	1.650608526384457	0
0.0	0.3177727482673137	0
0.0	-0.2724179528703817	0
0.0	-0.5131452242756813	0
0.0	-0.5837037988911257	0
0.0	-1.4457422544664116	0
0.0	0.1730965240564884	0
73.73	-0.1477601729984013	0
323.20000000000005	0.3906674110010656	0
93.22	-1.3193271179997217	0
0.0	-0.6460354809781391	0
60.23	-0.8141699729322092	0
0.0	-0.6967113135206181	0
0.0	-1.7310833361649274	0
0.0	-0.6926134733220327	0
0.0	-0.7563037005233212	0
71.98	-0.5785954048483916	0
0.0	-0.9535991194438737	0
0.0	-1.073051022488214	0
