sample	mod	n_motif	mean_motif	n_bg	mean_bg	motif_ge50	bg_ge50
1-1	4mC	10694	2.85	2139570	0.019	344	180
1-1	5mC	10694	0.002	2139570	0.001	0	0
1-2	4mC	30415	3.118	6169497	0.02	1098	601
1-2	5mC	30415	0.002	6169497	0.001	0	0
1-3	4mC	31019	4.238	6211502	0.024	1535	843
1-3	5mC	31019	0.002	6211502	0.001	0	0
