region_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes
core_regulatory	-4900.0	0.3683385579937304	0.2507836990595611	0.5015673981191222	638
core_regulatory	-4700.0	0.5407523510971787	0.3996865203761755	0.689655172413793	638
core_regulatory	-4500.0	0.48589341692789967	0.3448275862068965	0.6191222570532915	638
core_regulatory	-4300.0	0.4075235109717868	0.2899686520376175	0.5250783699059561	638
core_regulatory	-4100.0	0.5015673981191222	0.3605015673981191	0.6426332288401253	638
core_regulatory	-3900.0	0.5094043887147335	0.37617554858934166	0.6661442006269592	638
core_regulatory	-3700.0	0.6112852664576802	0.47021943573667707	0.7523510971786833	638
core_regulatory	-3500.0	0.41536050156739807	0.3134796238244514	0.5329153605015674	638
core_regulatory	-3300.0	0.47805642633228834	0.3526645768025078	0.6114811912225703	638
core_regulatory	-3100.0	0.5407523510971787	0.39184952978056425	0.7053291536050156	638
core_regulatory	-2900.0	0.49373040752351094	0.3605015673981191	0.634796238244514	638
core_regulatory	-2700.0	0.47021943573667707	0.3448275862068965	0.6112852664576802	638
core_regulatory	-2500.0	0.6112852664576802	0.4623824451410658	0.7680250783699059	638
core_regulatory	-2300.0	0.4075235109717868	0.2899686520376175	0.5250783699059561	638
core_regulatory	-2100.0	0.5329153605015674	0.38401253918495293	0.6974921630094043	638
core_regulatory	-1900.0	0.5172413793103448	0.37617554858934166	0.6739811912225705	638
core_regulatory	-1700.0	0.38401253918495293	0.2664576802507837	0.5094043887147335	638
core_regulatory	-1500.0	0.47805642633228834	0.3526645768025078	0.603644200626959	638
core_regulatory	-1300.0	0.48589341692789967	0.3526645768025078	0.6269592476489028	638
core_regulatory	-1100.0	0.5250783699059561	0.3683385579937304	0.7053291536050156	638
core_regulatory	-900.0	0.4623824451410658	0.329153605015674	0.6193181818181815	638
core_regulatory	-700.0	0.5015673981191222	0.3683385579937304	0.6428291536050154	638
core_regulatory	-500.0	0.45454545454545453	0.329153605015674	0.5877742946708464	638
core_regulatory	-300.0	0.48589341692789967	0.3681426332288401	0.6191222570532915	638
core_regulatory	-100.0	0.48589341692789967	0.3524686520376175	0.6269592476489028	638
core_regulatory	100.0	0.3605015673981191	0.23510971786833854	0.5015673981191222	638
core_regulatory	300.0	0.3134796238244514	0.21943573667711597	0.4075235109717868	638
core_regulatory	500.0	0.3683385579937304	0.2664576802507837	0.48589341692789967	638
core_regulatory	700.0	0.5094043887147335	0.37617554858934166	0.6661442006269592	638
core_regulatory	900.0	0.5172413793103448	0.38401253918495293	0.658307210031348	638
core_regulatory	1100.0	0.43887147335423193	0.329153605015674	0.5564263322884012	638
core_regulatory	1300.0	0.5642633228840125	0.43103448275862066	0.713362068965517	638
core_regulatory	1500.0	0.4231974921630094	0.30544670846394983	0.54858934169279	638
core_regulatory	1700.0	0.579937304075235	0.43867554858934166	0.7525470219435734	638
core_regulatory	1900.0	0.47805642633228834	0.3526645768025078	0.6112852664576802	638
core_regulatory	2100.0	0.6191222570532915	0.47805642633228834	0.7601880877742946	638
core_regulatory	2300.0	0.49373040752351094	0.3681426332288401	0.634796238244514	638
core_regulatory	2500.0	0.5956112852664577	0.45454545454545453	0.7680250783699059	638
