site_type	timepoint	gene_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes	n_sites
All_methylation	T1	all	-4900.0	0.4502251125562781	0.4152076038019009	0.4908704352176088	7996	3918
All_methylation	T1	all	-4700.0	0.4389694847423712	0.40270135067533763	0.4740026263131566	7996	3918
All_methylation	T1	all	-4500.0	0.41833416708354176	0.3826913456728364	0.45272636318159076	7996	3918
All_methylation	T1	all	-4300.0	0.43584292146073034	0.40332666333166584	0.47214232116058025	7996	3918
All_methylation	T1	all	-4100.0	0.4408454227113557	0.4064375937968984	0.4771135567783892	7996	3918
All_methylation	T1	all	-3900.0	0.4439719859929965	0.40893884442221107	0.4808810655327664	7996	3918
All_methylation	T1	all	-3700.0	0.43646823411705854	0.40520260130065033	0.4721110555277639	7996	3918
All_methylation	T1	all	-3500.0	0.4402201100550275	0.4039363431715858	0.4771135567783892	7996	3918
All_methylation	T1	all	-3300.0	0.4302151075537769	0.393306028014007	0.46585792896448225	7996	3918
All_methylation	T1	all	-3100.0	0.4539769884942471	0.41644259629814906	0.49274637318659326	7996	3918
All_methylation	T1	all	-2900.0	0.403951975987994	0.36516695847923963	0.4396260630315157	7996	3918
All_methylation	T1	all	-2700.0	0.43584292146073034	0.40143509254627313	0.47273636818409204	7996	3918
All_methylation	T1	all	-2500.0	0.4389694847423712	0.4020760380190095	0.4721266883441721	7996	3918
All_methylation	T1	all	-2300.0	0.45522761380690346	0.4158329164582291	0.4921366933466733	7996	3918
All_methylation	T1	all	-2100.0	0.4102051025512756	0.3770478989494747	0.4445972986493246	7996	3918
All_methylation	T1	all	-1900.0	0.49462231115557775	0.45522761380690346	0.5333916958479239	7996	3918
All_methylation	T1	all	-1700.0	0.43209104552276134	0.3989338419209605	0.46335667833916955	7996	3918
All_methylation	T1	all	-1500.0	0.442096048024012	0.403951975987994	0.48024012006003003	7996	3918
All_methylation	T1	all	-1300.0	0.4208354177088544	0.3895385192596298	0.45835417708854426	7996	3918
All_methylation	T1	all	-1100.0	0.45522761380690346	0.4170679089544772	0.49149574787393696	7996	3918
All_methylation	T1	all	-900.0	0.43584292146073034	0.39768321660830414	0.47086043021510754	7996	3918
All_methylation	T1	all	-700.0	0.42583791895947976	0.3914457228614307	0.46335667833916955	7996	3918
All_methylation	T1	all	-500.0	0.403951975987994	0.37018509254627313	0.4402357428714357	7996	3918
All_methylation	T1	all	-300.0	0.4264632316158079	0.39269634817408705	0.4627313656828414	7996	3918
All_methylation	T1	all	-100.0	0.40145072536268134	0.3695441470735368	0.4352332416208104	7996	3918
All_methylation	T1	all	100.0	0.40270135067533763	0.3670428964482241	0.4389694847423712	7996	3918
All_methylation	T1	all	300.0	0.445847923961981	0.4064375937968984	0.48150637818909453	7996	3918
All_methylation	T1	all	500.0	0.42208604302151076	0.3864432216108054	0.4571035517758879	7996	3918
All_methylation	T1	all	700.0	0.45335167583791897	0.41644259629814906	0.49274637318659326	7996	3918
All_methylation	T1	all	900.0	0.4608554277138569	0.42708854427213605	0.4977645072536268	7996	3918
All_methylation	T1	all	1100.0	0.4646073036518259	0.4264632316158079	0.5002501250625313	7996	3918
All_methylation	T1	all	1300.0	0.4571035517758879	0.4208197848924462	0.4939969984992496	7996	3918
All_methylation	T1	all	1500.0	0.4502251125562781	0.4139413456728364	0.4864932466233116	7996	3918
All_methylation	T1	all	1700.0	0.46585792896448225	0.42708854427213605	0.5046429464732366	7996	3918
All_methylation	T1	all	1900.0	0.4389694847423712	0.4058279139569785	0.47586293146573283	7996	3918
All_methylation	T1	all	2100.0	0.4577288644322161	0.42396198099049526	0.49337168584292146	7996	3918
All_methylation	T1	all	2300.0	0.4158329164582291	0.38328539269634815	0.452132316158079	7996	3918
All_methylation	T1	all	2500.0	0.45335167583791897	0.41458229114557277	0.49149574787393696	7996	3918
All_methylation	T1	all	2700.0	0.44147073536768383	0.4051713356678339	0.47836418209104553	7996	3918
All_methylation	T1	all	2900.0	0.4333416708354177	0.3970735367683842	0.4696254377188594	7996	3918
All_methylation	T1	all	3100.0	0.42896448224112055	0.39455665332666334	0.46585792896448225	7996	3918
All_methylation	T1	all	3300.0	0.4539769884942471	0.4189438469234617	0.4927776388194096	7996	3918
All_methylation	T1	all	3500.0	0.4283391695847924	0.393306028014007	0.4640288894447223	7996	3918
All_methylation	T1	all	3700.0	0.43646823411705854	0.403951975987994	0.47461230615307654	7996	3918
