site_type	n_reg_genes	n_nonreg_genes	n_sites	protection_zone_start_bp	protection_zone_end_bp	protection_zone_width_bp	protection_zone_center_bp	min_ratio_reg_vs_nonreg	min_ratio_position_bp	AUC_diff_2kb	mean_reg_density_1kb	mean_nonreg_density_1kb	mean_reg_density_5kb	mean_nonreg_density_5kb
All_methylation	1033	6963	3918	-1300.0	700.0	2200.0	-300.0	0.5412875121006776	300.0	-0.17351527135756575	0.35737334624072276	0.4259418832878548	0.4239109390125847	0.4416917995117047
All_4mC	1033	6963	1987			0.0		0.5953808239759849	300.0	-0.08927634228717442	0.17344304614391737	0.21542438604049974	0.21045498547918684	0.22128392934080132
All_6mA	1033	6963	1934	-300.0	700.0	1200.0	200.0	0.4912945678893878	300.0	-0.082877285677761	0.18393030009680536	0.21063717746182198	0.213649564375605	0.22072382593709602
GCCGGC_4mC	1033	6963	1289	-100.0	500.0	800.0	200.0	0.6435711957658573	100.0	-0.03239193085176118	0.11858664085188769	0.13787160706591986	0.1386253630203291	0.14334338647134856
AAGCCCG_6mA	1033	6963	260			0.0		0.0	300.0	-0.010572130743903018	0.021781219748305904	0.03195461726267413	0.025363020329138425	0.03059026281775097
