reg_subtype	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes
sigma_factor	-4900.0	0.19736842105263155	0.0	0.4605263157894737	76
sigma_factor	-4700.0	0.5921052631578947	0.2631578947368421	0.9868421052631579	76
sigma_factor	-4500.0	0.3289473684210526	0.06578947368421052	0.7236842105263157	76
sigma_factor	-4300.0	0.19736842105263155	0.0	0.4605263157894737	76
sigma_factor	-4100.0	0.6578947368421052	0.19736842105263155	1.25	76
sigma_factor	-3900.0	0.8552631578947368	0.2631578947368421	1.5789473684210524	76
sigma_factor	-3700.0	0.9868421052631579	0.5263157894736842	1.4473684210526314	76
sigma_factor	-3500.0	0.5921052631578947	0.19736842105263155	1.0526315789473684	76
sigma_factor	-3300.0	0.3289473684210526	0.06578947368421052	0.6578947368421052	76
sigma_factor	-3100.0	0.3289473684210526	0.06578947368421052	0.7236842105263157	76
sigma_factor	-2900.0	0.3947368421052631	0.06578947368421052	0.7894736842105262	76
sigma_factor	-2700.0	0.3947368421052631	0.13157894736842105	0.7236842105263157	76
sigma_factor	-2500.0	0.5263157894736842	0.06578947368421052	1.1200657894736825	76
sigma_factor	-2300.0	0.5921052631578947	0.19736842105263155	1.0526315789473684	76
sigma_factor	-2100.0	0.06578947368421052	0.0	0.19736842105263155	76
sigma_factor	-1900.0	0.5921052631578947	0.19736842105263155	1.0526315789473684	76
sigma_factor	-1700.0	0.4605263157894737	0.13157894736842105	0.8552631578947368	76
sigma_factor	-1500.0	0.3289473684210526	0.06578947368421052	0.6578947368421052	76
sigma_factor	-1300.0	0.4605263157894737	0.13157894736842105	0.8552631578947368	76
sigma_factor	-1100.0	0.19736842105263155	0.0	0.3947368421052631	76
sigma_factor	-900.0	0.5921052631578947	0.19736842105263155	1.1184210526315788	76
sigma_factor	-700.0	0.3289473684210526	0.0	0.7236842105263157	76
sigma_factor	-500.0	0.5263157894736842	0.19736842105263155	0.9210526315789473	76
sigma_factor	-300.0	0.4605263157894737	0.13157894736842105	0.9210526315789473	76
sigma_factor	-100.0	0.7236842105263157	0.26151315789473695	1.3832236842105248	76
sigma_factor	100.0	0.5263157894736842	0.13157894736842105	0.9868421052631579	76
sigma_factor	300.0	0.13157894736842105	0.0	0.3289473684210526	76
sigma_factor	500.0	0.0	0.0	0.0	76
sigma_factor	700.0	0.6578947368421052	0.2631578947368421	1.1842105263157894	76
sigma_factor	900.0	0.7894736842105262	0.3289473684210526	1.3832236842105248	76
sigma_factor	1100.0	0.19736842105263155	0.0	0.4605263157894737	76
sigma_factor	1300.0	0.19736842105263155	0.0	0.4605263157894737	76
sigma_factor	1500.0	0.3289473684210526	0.06578947368421052	0.7236842105263157	76
sigma_factor	1700.0	0.3947368421052631	0.13157894736842105	0.7236842105263157	76
sigma_factor	1900.0	0.2631578947368421	0.06578947368421052	0.5263157894736842	76
sigma_factor	2100.0	0.5921052631578947	0.19736842105263155	1.0526315789473684	76
sigma_factor	2300.0	0.13157894736842105	0.0	0.3289473684210526	76
sigma_factor	2500.0	0.2631578947368421	0.06578947368421052	0.5263157894736842	76
sigma_factor	2700.0	0.4605263157894737	0.13157894736842105	0.79111842105263	76
sigma_factor	2900.0	0.3289473684210526	0.06578947368421052	0.7236842105263157	76
sigma_factor	3100.0	0.6578947368421052	0.2631578947368421	1.1184210526315788	76
sigma_factor	3300.0	0.3947368421052631	0.13157894736842105	0.7236842105263157	76
sigma_factor	3500.0	0.2631578947368421	0.06578947368421052	0.5263157894736842	76
sigma_factor	3700.0	0.9210526315789473	0.2631578947368421	2.039473684210526	76
