module_id	n_members	mean_rho	locus_tags	old_locus_tags	tf_families	coordination_T2	coordination_T3	regions
1	33	0.5309	SC_RS02455, SC_RS03250, SC_RS04270, SC_RS05075, SC_RS05485, SC_RS06310, SC_RS06430, SC_RS07215, SC_RS07750, SC_RS08090, SC_RS09315, SC_RS09835, SC_RS10435, SC_RS11515, SC_RS17795, SC_RS22135, SC_RS26855, SC_RS29350, SC_RS31385, SC_RS33895, SC_RS34060, SC_RS35525, SC_RS35610, SC_RS36220, SC_RS36820, SC_RS37675, SC_RS38475, SC_RS38610, SC_RS38785, SC_RS39850, SC_RS40040, SC_RS40435, SC_RS40740	SCO0089, SCO0266, SCO0471, SCO0632, SCO0712, SCO0877, SCO0897, SCO1052, SCO1160, SCO1227, SCO1468, SCO1564, SCO1684, SCO1897, SCO3134, SCO4005, SCO4938, SCO5433, SCO5828, SCO6334, SCO6369, SCO6668, SCO6685, , SCO6924, SCO7089, SCO7252, SCO7279, SCO7314, SCO7530, SCO7568, SCO7648, SCO7711	DeoR, HTH (other), LysR, MerR, Other regulatory, ROK, Response regulator, Sensor kinase, Sigma factor, TetR	ambiguous, concordant_derepression, concordant_repression, discordant_gain_up, methyl_change_no_expr_change	ambiguous, concordant_derepression, discordant_gain_up, methyl_change_no_expr_change	core, left_arm, right_arm
2	23	0.6004	SC_RS06045, SC_RS07000, SC_RS07910, SC_RS13145, SC_RS13965, SC_RS15270, SC_RS16855, SC_RS17670, SC_RS21680, SC_RS22780, SC_RS22980, SC_RS23710, SC_RS24635, SC_RS25370, SC_RS25990, SC_RS27105, SC_RS27300, SC_RS28630, SC_RS29355, SC_RS30140, SC_RS32025, SC_RS33745, SC_RS35195	SCO0823, SCO1008, SCO1191, SCO2223, SCO2386, SCO2639, SCO2950, SCO3109, SCO3907, SCO4122, SCO4158, SCO4305, SCO4495, SCO4639, SCO4766, SCO4989, SCO5027, SCO5289, SCO5434, SCO5584, SCO5956, SCO6299, SCO6599	ArsR, GntR, HTH (other), IclR, LacI, LysR, MarR, Other regulatory, Response regulator, Sensor kinase, Sigma factor, TetR	ambiguous, concordant_repression, discordant_loss_down, methyl_change_no_expr_change	ambiguous, concordant_repression, discordant_loss_down, methyl_change_no_expr_change	core, left_arm, right_arm
