module_id	source	n_members	locus_tags	old_locus_tags	tf_families	span_bp	is_proximal	mean_coexpression	is_coexpressed	dominant_coordination_T3	coordination_coherence_T3	dominant_coordination_T2	coordination_coherence_T2	evidence_score	region
1	proximity_50k	2	SC_RS35525, SC_RS35610	SCO6668, SCO6685	Response regulator, Sensor kinase	17628.5	True	0.6103	True	N/A	1.0	N/A	1.0	3.0	right_arm
2	proximity_50k	3	SC_RS38475, SC_RS38610, SC_RS38785	SCO7252, SCO7279, SCO7314	HTH (other), Other regulatory, Sigma factor	58101.5	False	0.7889	True	N/A	1.0	N/A	1.0	2.0	right_arm
3	proximity_50k	2	SC_RS06310, SC_RS06430	SCO0877, SCO0897	HTH (other), Other regulatory	19611.0	True	0.4333	False	N/A	1.0	N/A	1.0	2.0	left_arm
4	proximity_50k	2	SC_RS07000, SC_RS07215	SCO1008, SCO1052	ArsR, HTH (other)	45091.5	True	-0.5356	False	N/A	1.0	N/A	1.0	2.0	left_arm
5	proximity_50k	2	SC_RS17670, SC_RS17795	SCO3109, SCO3134	Other regulatory, Response regulator	28838.5	True	-0.6333	False	N/A	1.0	N/A	1.0	2.0	core
6	proximity_50k	2	SC_RS22780, SC_RS22980	SCO4122, SCO4158	LacI, MarR	45881.0	True	-0.0167	False	N/A	1.0	N/A	1.0	2.0	core
7	proximity_50k	2	SC_RS27105, SC_RS27300	SCO4989, SCO5027	HTH (other), IclR	32805.5	True	0.4167	False	N/A	1.0	N/A	1.0	2.0	core
8	proximity_50k	2	SC_RS29350, SC_RS29355	SCO5433, SCO5434	Other regulatory, Response regulator	1373.5	True	-0.4167	False	N/A	1.0	N/A	1.0	2.0	core
9	proximity_50k	2	SC_RS39850, SC_RS40040	SCO7530, SCO7568	MerR, ROK	42295.5	True	0.4	False	N/A	1.0	N/A	1.0	2.0	right_arm
10	coexpression_06	23	SC_RS06045, SC_RS07000, SC_RS07910, SC_RS13145, SC_RS13965, SC_RS15270, SC_RS16855, SC_RS17670, SC_RS21680, SC_RS22780, SC_RS22980, SC_RS23710, SC_RS24635, SC_RS25370, SC_RS25990, SC_RS27105, SC_RS27300, SC_RS28630, SC_RS29355, SC_RS30140, SC_RS32025, SC_RS33745, SC_RS35195	SCO0823, SCO1008, SCO1191, SCO2223, SCO2386, SCO2639, SCO2950, SCO3109, SCO3907, SCO4122, SCO4158, SCO4305, SCO4495, SCO4639, SCO4766, SCO4989, SCO5027, SCO5289, SCO5434, SCO5584, SCO5956, SCO6299, SCO6599	ArsR, GntR, HTH (other), IclR, LacI, LysR, MarR, Other regulatory, Response regulator, Sensor kinase, Sigma factor, TetR	6447106.5	False	0.6004	True	N/A	1.0	N/A	1.0	2.0	core, left_arm, right_arm
11	proximity_50k	3	SC_RS07750, SC_RS07910, SC_RS08090	SCO1160, SCO1191, SCO1227	HTH (other), MarR, Sensor kinase	81427.5	False	-0.3222	False	N/A	1.0	N/A	1.0	1.0	left_arm
12	proximity_50k	3	SC_RS33745, SC_RS33895, SC_RS34060	SCO6299, SCO6334, SCO6369	Other regulatory, Sensor kinase, TetR	71593.5	False	-0.0944	False	N/A	1.0	N/A	1.0	1.0	core
13	coexpression_06	34	SC_RS02455, SC_RS03250, SC_RS04270, SC_RS05075, SC_RS05485, SC_RS06310, SC_RS06430, SC_RS07215, SC_RS07750, SC_RS08090, SC_RS09315, SC_RS09835, SC_RS10435, SC_RS11515, SC_RS15485, SC_RS17795, SC_RS22135, SC_RS26855, SC_RS29350, SC_RS31385, SC_RS33895, SC_RS34060, SC_RS35525, SC_RS35610, SC_RS36220, SC_RS36820, SC_RS37675, SC_RS38475, SC_RS38610, SC_RS38785, SC_RS39850, SC_RS40040, SC_RS40435, SC_RS40740	SCO0089, SCO0266, SCO0471, SCO0632, SCO0712, SCO0877, SCO0897, SCO1052, SCO1160, SCO1227, SCO1468, SCO1564, SCO1684, SCO1897, SCO2681, SCO3134, SCO4005, SCO4938, SCO5433, SCO5828, SCO6334, SCO6369, SCO6668, SCO6685, , SCO6924, SCO7089, SCO7252, SCO7279, SCO7314, SCO7530, SCO7568, SCO7648, SCO7711	DeoR, HTH (other), LysR, MerR, Other regulatory, ROK, Response regulator, Sensor kinase, Sigma factor, TetR	8471146.0	False	0.5234	False	N/A	1.0	N/A	1.0	1.0	core, left_arm, right_arm
