comparison	coordinated_median	coordinated_mean	coordinated_sd	noncoordinated_median	noncoordinated_mean	noncoordinated_sd	stat	p_value	test	bootstrap_mean_diff	bootstrap_ci_low	bootstrap_ci_high
Nearest methylation site distance	113.5	132.24193548387098	87.23563068933623	762.0	992.2104733131923	880.8642149231257	5247.5	5.300797217741319e-28	Mann-Whitney U	-859.9685378293213	-919.543919939577	-801.9754503297274
Sites within 2kb of TSS	3.0	3.532258064516129	1.8617613899999517	2.0	2.476334340382679	1.9244013147890666	41126.5	6.297011131574108e-06	Mann-Whitney U			
Delta methylation sites T2-T1 (2kb)	0.0	0.4838709677419355	1.2511232393840812	0.0	0.3363544813695871	1.0538225366409741	32889.5	0.3275094264912065	Mann-Whitney U			
Protection zone width	0.0	0.0		1200.0	1200.0				Profile-based estimate			
Protection zone depth	0.0	0.0		0.4425612052730697	0.4425612052730697				Profile-based estimate			
Geographic (arm fraction)	0.43548387096774194	0.43548387096774194		0.3796576032225579	0.3796576032225579		1.2604774535809018	0.41966626659400996	Fisher's exact (OR)			
