bin_center_bp	density_coordinated	density_noncoordinated	density_all	ci_low_coordinated	ci_high_coordinated	ci_low_noncoordinated	ci_high_noncoordinated	obs_diff	perm_pval
-4900.0	0.4838709677419355	0.5840886203423967	0.5781990521327014	0.08064516129032258	0.967741935483871	0.46827794561933533	0.7099697885196374	-0.10021765260046123	0.748
-4700.0	0.24193548387096775	0.6696878147029205	0.6445497630331753	0.0	0.5645161290322581	0.5438066465256798	0.8006042296072508	-0.42775233083195274	0.131
-4500.0	0.24193548387096775	0.5840886203423967	0.5639810426540285	0.0	0.5645161290322581	0.473313192346425	0.7000251762336354	-0.342153136471429	0.213
-4300.0	0.16129032258064516	0.5740181268882175	0.5497630331753555	0.0	0.4032258064516129	0.45317220543806647	0.6798841893252768	-0.4127278043075724	0.105
-4100.0	0.7258064516129032	0.7804632426988922	0.7772511848341233	0.24193548387096775	1.2903225806451613	0.6344410876132931	0.9264853977844915	-0.054656791085988976	0.898
-3900.0	0.8870967741935484	0.7552870090634441	0.7630331753554502	0.3225806451612903	1.6129032258064515	0.6143001007049346	0.9013091641490433	0.13180976513010423	0.678
-3700.0	0.967741935483871	0.6596173212487412	0.6777251184834123	0.4838709677419355	1.532258064516129	0.5337361530715005	0.7854984894259819	0.3081246142351298	0.234
-3500.0	0.8870967741935484	0.6243705941591138	0.6398104265402843	0.4032258064516129	1.532258064516129	0.5035246727089627	0.7552870090634441	0.2627261800344346	0.345
-3300.0	0.5645161290322581	0.7452165156092648	0.7345971563981043	0.24193548387096775	0.967741935483871	0.6092648539778449	0.9013091641490433	-0.1807003865770067	0.579
-3100.0	0.4838709677419355	0.7049345417925479	0.6919431279620853	0.16129032258064516	0.8870967741935484	0.5639476334340383	0.8660624370594159	-0.2210635740506124	0.492
-2900.0	0.6451612903225806	0.6193353474320241	0.6208530805687204	0.08064516129032258	1.3709677419354838	0.5035246727089627	0.7502517623363545	0.025825942890556508	1.0
-2700.0	0.6451612903225806	0.5438066465256798	0.5497630331753555	0.24193548387096775	1.1290322580645162	0.43303121852970794	0.6596173212487412	0.10135464379690085	0.729
-2500.0	0.4032258064516129	0.7099697885196374	0.6919431279620853	0.08064516129032258	0.7258064516129032	0.5790533736153072	0.8410120845921449	-0.30674398206802456	0.311
-2300.0	0.8870967741935484	0.594159113796576	0.6113744075829384	0.3225806451612903	1.532258064516129	0.4783484390735146	0.7150050352467271	0.29293766039697233	0.303
-2100.0	0.4838709677419355	0.730110775427996	0.7156398104265402	0.08064516129032258	0.967741935483871	0.5891238670694864	0.8762588116817723	-0.24623980768606046	0.506
-1900.0	0.4838709677419355	0.6193353474320241	0.6113744075829384	0.16129032258064516	0.8870967741935484	0.5033987915407855	0.7502517623363545	-0.13546437969008862	0.638
-1700.0	0.7258064516129032	0.7049345417925479	0.7061611374407583	0.24193548387096775	1.2903225806451613	0.5839627391742195	0.850956696878147	0.02087190982035536	1.0
-1500.0	0.7258064516129032	0.7099697885196374	0.7109004739336493	0.3225806451612903	1.2096774193548387	0.5839627391742195	0.8459214501510574	0.015836663093265813	1.0
-1300.0	0.24193548387096775	0.649546827794562	0.6255924170616114	0.0	0.5645161290322581	0.513595166163142	0.7956948640483382	-0.4076113439235942	0.158
-1100.0	0.3225806451612903	0.6545820745216515	0.6350710900473934	0.08064516129032258	0.6451612903225806	0.5186304128902316	0.7854984894259819	-0.3320014293603612	0.29
-900.0	0.3225806451612903	0.67472306143001	0.6540284360189573	0.08064516129032258	0.6471774193548369	0.553877139979859	0.81067472306143	-0.3521424162687197	0.209
-700.0	0.4032258064516129	0.5991943605236657	0.5876777251184834	0.0	0.967741935483871	0.48338368580060426	0.7351460221550856	-0.19596855407205283	0.51
-500.0	0.5645161290322581	0.6696878147029205	0.6635071090047393	0.24193548387096775	1.0483870967741935	0.5488418932527693	0.8006042296072508	-0.10517168567066237	0.77
-300.0	2.2580645161290325	0.5589123867069486	0.6587677725118484	1.532258064516129	2.9838709677419355	0.44813695871097686	0.67472306143001	1.699152129422084	0.0
-100.0	3.1451612903225805	0.3726082578046324	0.5355450236966824	2.2580645161290325	4.193548387096774	0.28197381671701915	0.46827794561933533	2.772553032517948	0.0
100.0	1.7741935483870968	0.48841893252769386	0.5639810426540285	1.0483870967741935	2.5	0.3826787512588117	0.6042296072507553	1.285774615859403	0.0
300.0	0.5645161290322581	0.5186304128902316	0.5213270142180095	0.24193548387096775	0.967741935483871	0.4179254783484391	0.6394763343403826	0.04588571614202652	0.839
500.0	0.8064516129032258	0.6092648539778449	0.6208530805687204	0.3225806451612903	1.3709677419354838	0.48338368580060426	0.7502517623363545	0.19718675892538085	0.555
700.0	0.4032258064516129	0.6092648539778449	0.5971563981042654	0.16129032258064516	0.8064516129032258	0.48338368580060426	0.7352719033232628	-0.20603904752623203	0.539
900.0	0.6451612903225806	0.730110775427996	0.7251184834123223	0.24193548387096775	1.2096774193548387	0.5889979859013091	0.8762588116817723	-0.08494948510541533	0.882
1100.0	0.6451612903225806	0.5840886203423967	0.5876777251184834	0.24193548387096775	1.0483870967741935	0.473313192346425	0.689954682779456	0.0610726699801839	0.848
1300.0	1.2903225806451613	0.730110775427996	0.7630331753554502	0.5645161290322581	2.1774193548387095	0.6092648539778449	0.8512084592145013	0.5602118052171653	0.046
1500.0	0.6451612903225806	0.5840886203423967	0.5876777251184834	0.16129032258064516	1.2903225806451613	0.46324269889224573	0.7099697885196374	0.0610726699801839	0.864
1700.0	0.7258064516129032	0.6344410876132931	0.6398104265402843	0.16129032258064516	1.6935483870967742	0.5035246727089627	0.7705186304128901	0.09136536399961015	0.781
1900.0	0.967741935483871	0.6797583081570997	0.6966824644549763	0.3225806451612903	1.8548387096774193	0.553877139979859	0.8157099697885196	0.2879836273267713	0.375
2100.0	0.16129032258064516	0.7452165156092648	0.7109004739336493	0.0	0.4032258064516129	0.6141742195367573	0.8912386706948641	-0.5839261930286197	0.04
2300.0	0.7258064516129032	0.6948640483383686	0.6966824644549763	0.24193548387096775	1.3709677419354838	0.5688569989929506	0.8207452165156093	0.03094240327453468	1.0
2500.0	1.1290322580645162	0.770392749244713	0.7914691943127962	0.4838709677419355	1.8548387096774193	0.6443856998992951	0.9115055387713997	0.3586395088198032	0.256
2700.0	1.0483870967741935	0.7049345417925479	0.7251184834123223	0.5625000000000002	1.6935483870967742	0.553877139979859	0.850956696878147	0.3434525549816456	0.255
2900.0	0.24193548387096775	0.7401812688821753	0.7109004739336493	0.0	0.5645161290322581	0.6042296072507553	0.8962739174219537	-0.49824578501120753	0.105
3100.0	0.7258064516129032	0.6042296072507553	0.6113744075829384	0.3225806451612903	1.2096774193548387	0.49345417925478346	0.730110775427996	0.121576844362148	0.723
3300.0	0.4032258064516129	0.5740181268882175	0.5639810426540285	0.08064516129032258	0.7258064516129032	0.4530463242698892	0.7049345417925479	-0.17079232043660464	0.614
3500.0	0.4838709677419355	0.7049345417925479	0.6919431279620853	0.08064516129032258	1.1290322580645162	0.5790533736153072	0.8358509566968781	-0.2210635740506124	0.447
3700.0	0.6451612903225806	0.7452165156092648	0.7393364928909952	0.2399193548387098	1.2096774193548387	0.6042296072507553	0.9115055387713997	-0.1000552252866842	0.786
3900.0	0.5645161290322581	0.7049345417925479	0.6966824644549763	0.24193548387096775	0.967741935483871	0.5839627391742195	0.8459214501510574	-0.14041841276028977	0.677
4100.0	0.3225806451612903	0.7099697885196374	0.6872037914691943	0.0	0.7258064516129032	0.5790533736153072	0.8559919436052367	-0.3873891433583471	0.216
4300.0	0.8064516129032258	0.6847935548841894	0.6919431279620853	0.24193548387096775	1.4516129032258065	0.5287009063444109	0.8408862034239678	0.1216580580190364	0.78
4500.0	0.7258064516129032	0.649546827794562	0.6540284360189573	0.08064516129032258	1.532258064516129	0.5287009063444109	0.7804632426988922	0.07625962381834128	0.878
4700.0	0.8064516129032258	0.6545820745216515	0.6635071090047393	0.3225806451612903	1.3709677419354838	0.523539778449144	0.7905337361530715	0.15186953838157424	0.623
4900.0	0.4838709677419355	0.6545820745216515	0.6445497630331753	0.16129032258064516	0.8870967741935484	0.5287009063444109	0.7804632426988922	-0.17071110677971602	0.608
