coordination_type	n_genes	median_nearest_dist	mean_nearest_dist	median_sites_2kb	mean_sites_2kb	protection_zone_width	protection_zone_depth	pz_center	baseline_density	min_density
discordant_gain_up	22	90.5	121.54545454545455	4.0	3.3181818181818183	0.0	0.0	0.0	0.5681818181818181	2.9545454545454546
concordant_derepression	12	121.5	135.5	4.0	4.166666666666667	0.0	0.0	0.0	0.7916666666666667	2.9166666666666665
concordant_repression	12	100.0	127.5	2.5	2.4166666666666665	0.0	0.0	0.0	0.39583333333333337	2.0833333333333335
discordant_loss_down	16	128.5	148.0625	4.0	4.1875	0.0	0.0	0.0	0.578125	4.375
non_coordinated	993	762.0	992.2104733131923	2.0	2.476334340382679	1200.0	0.4425612052730697	-100.0	0.668429003021148	0.3726082578046324
