gene_id	old_locus_tag	gene_name	product	regulator_name	regulator_type	known_name	is_known	corr_act	corr_red	corr_cda	corr_cpk	abs_corr_act	abs_corr_red	abs_corr_cda	abs_corr_cpk	n_high_corr	mean_abs_corr	log2FC_3_vs_1	padj_3_vs_1	mean_rlog_1	mean_rlog_2	mean_rlog_3	delta_2_vs_1	delta_3_vs_2	delta_3_vs_1	phase_preference	abs_log2FC_3_vs_1	max_abs_corr	act_specificity	mid_mean_corr	is_SARP	SARP_subtype
SC_RS02220	SCO0037	NA	RNA polymerase sigma-70 factor	NA	NA	NA	FALSE	0.8002240448569938	0.9824791532745724	0.9007390845597762	0.7557099592614763	0.8002240448569938	0.9824791532745724	0.9007390845597762	0.7557099592614763	2	0.8597880604882048	1.2469573380375325	5.7470673031810194e-8	6.804992479289101	7.571392814278181	8.003371387768311	0.76640033498908	0.43197857349013	1.19837890847921	early_mid	1.2469573380375325	0.9824791532745724	-0.18225510841757853	0.879642732365275	FALSE	NA
SC_RS02260	SCO0047	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.03449772093718	-0.2679967425580587	-0.34460750714741706	-0.4407883828453504	0.03449772093718	0.2679967425580587	0.34460750714741706	0.4407883828453504	0	0.27197258837200156	-0.03167042571026386	0.8956185470250986	6.548187208809057	6.315583802773106	6.50658736997855	-0.23260340603595075	0.19100356720544376	-0.041599838830507	stable	0.03167042571026386	0.4407883828453504	-0.4062906619081704	0.351130877516942	FALSE	NA
SC_RS02325	SCO0062	NA	LacI family DNA-binding transcriptional regulator	NA	NA	NA	FALSE	-0.11657641360882431	-0.6962777364843526	-0.8998488516157357	-0.9737339958434538	0.11657641360882431	0.6962777364843526	0.8998488516157357	0.9737339958434538	1	0.6716092493880916	-0.7226818523959183	0.00402852037065097	7.120859750303385	5.658722154157179	6.363831458684454	-1.4621375961462064	0.7051093045272756	-0.7570282916189308	early_mid	0.7226818523959183	0.9737339958434538	-0.8571575822346295	0.8566201946478474	FALSE	NA
SC_RS02455	SCO0089	NA	LysR family transcriptional regulator	NA	NA	NA	FALSE	0.17193455232009747	0.7272497667565504	0.912708420760779	0.9471263613012364	0.17193455232009747	0.7272497667565504	0.912708420760779	0.9471263613012364	2	0.6897547752846658	1.3127734931300468	9.797260265484812e-9	5.414696324107784	7.290960788917693	6.677866778965957	1.8762644648099087	-0.6130940099517357	1.263170454858173	early_mid	1.3127734931300468	0.9471263613012364	-0.7751918089811389	0.8623615162728552	FALSE	NA
SC_RS02530	SCO0110	NA	helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.37721130798724223	0.8035777595841542	0.9077131056382656	0.8699751415125535	0.37721130798724223	0.8035777595841542	0.9077131056382656	0.8699751415125535	1	0.7396193286805538	2.0121067697696162	1.9538620894274815e-11	4.44827087160143	6.50315757880112	6.334712802315157	2.0548867071996897	-0.16844477648596268	1.886441930713727	early_mid	2.0121067697696162	0.9077131056382656	-0.5305017976510233	0.8604220022449911	FALSE	NA
SC_RS02550	SCO0116	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.7035475936331129	-0.2349158381370248	0.09306853935505131	0.298239231188571	0.7035475936331129	0.2349158381370248	0.09306853935505131	0.298239231188571	0	0.33244280057844	-0.2053992778906588	0.449691388886592	5.905646241057312	6.283247253128437	5.68310152789367	0.3776010120711248	-0.6001457252347668	-0.222544713163642	late	0.2053992778906588	0.7035475936331129	0.40530836244454194	0.20874120289354903	FALSE	NA
SC_RS02625	SCO0132	NA	helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.775151317697913	0.9343156013002069	0.8582623594841001	0.6966511348456308	0.775151317697913	0.9343156013002069	0.8582623594841001	0.6966511348456308	1	0.8160951033319627	2.3289489134330177	3.2852234500057124e-25	6.311614206076659	7.642209697815923	8.58162738210424	1.3305954917392633	0.9394176842883182	2.2700131760275815	both	2.3289489134330177	0.9343156013002069	-0.15916428360229384	0.8297430318766459	FALSE	NA
SC_RS02660	SCO0140	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	0.8926592160562073	0.6596010809093513	0.3996184480369052	0.14799102130383146	0.8926592160562073	0.6596010809093513	0.3996184480369052	0.14799102130383146	0	0.5249674415765738	2.8105590650100676	5.283350980040883e-13	3.4893798795535216	3.4825335913533944	6.109740781258165	-0.00684628820012722	2.627207189904771	2.6203609017046436	late	2.8105590650100676	0.8926592160562073	0.23305813514685603	0.40240351675002933	FALSE	NA
SC_RS02680	SCO0143	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	0.5000499823909921	-0.07179875143379778	-0.33776834474270906	-0.5655407048261105	0.5000499823909921	0.07179875143379778	0.33776834474270906	0.5655407048261105	0	0.36878944584840234	0.40384023115246503	0.23205640395508123	4.8563890708514466	3.8360134091691727	5.224043059233758	-1.020375661682274	1.3880296500645857	0.3676539883823118	both	0.40384023115246503	0.5655407048261105	-0.06549072243511844	0.3250359336675391	FALSE	NA
SC_RS02735	SCO0155	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.1875990043712028	0.4528589061524839	0.7098728778869077	0.8667741481457012	0.1875990043712028	0.4528589061524839	0.7098728778869077	0.8667741481457012	0	0.5542762341390739	0.28899637475935214	0.18109069379599332	6.425638843587376	7.534890805420951	6.710594857171116	1.109251961833575	-0.8242959482498353	0.2849560135837397	both	0.28899637475935214	0.8667741481457012	-0.6791751437744984	0.676501977395031	FALSE	NA
