tf_name,tf_locus,tf_tier,tf_methyl_T1,tf_methyl_T2,tf_methyl_status,tf_log2fc,tf_padj,target_name,target_locus,target_methyl_T1,target_methyl_T2,target_log2fc,target_padj,regulation_type
redZ,SC_RS27300,3,2.0,2.0,Stable methylation,-2.2543700120671244,1.2788777406186013e-17,redD,SC_RS27225,0,0,4.765825121668314,4.026305883724346e-51,activation
redD,SC_RS27225,3,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,redL,,0,0,,,activation
redD,SC_RS27225,3,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,redK,,0,0,,,activation
redD,SC_RS27225,3,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,redM,,0,0,,,activation
redD,SC_RS27225,3,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,redN,,0,0,,,activation
redD,SC_RS27225,3,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,redO,,0,0,,,activation
redD,SC_RS27225,3,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,redP,,0,0,,,activation
redD,SC_RS27225,3,0.0,0.0,Unmethylated,4.765825121668314,4.026305883724346e-51,redQ,,0,0,,,activation
actII-ORF4,SC_RS27570,3,0.0,0.0,Unmethylated,-0.8299871201264029,0.0013098396526155,actI,,0,0,,,activation
actII-ORF4,SC_RS27570,3,0.0,0.0,Unmethylated,-0.8299871201264029,0.0013098396526155,actVI,,0,0,,,activation
actII-ORF4,SC_RS27570,3,0.0,0.0,Unmethylated,-0.8299871201264029,0.0013098396526155,actVII,,0,0,,,activation
actII-ORF4,SC_RS27570,3,0.0,0.0,Unmethylated,-0.8299871201264029,0.0013098396526155,actVA,,0,0,,,activation
actII-ORF4,SC_RS27570,3,0.0,0.0,Unmethylated,-0.8299871201264029,0.0013098396526155,actVB,,0,0,,,activation
absA2,SC_RS02970,2,0.0,0.0,Unmethylated,6.294033238583641,1.7557265487615575e-81,actII-ORF4,SC_RS27570,0,0,-0.8299871201264029,0.0013098396526155,repression
absA2,SC_RS02970,2,0.0,0.0,Unmethylated,6.294033238583641,1.7557265487615575e-81,redD,SC_RS27225,0,0,4.765825121668314,4.026305883724346e-51,repression
absA2,SC_RS02970,2,0.0,0.0,Unmethylated,6.294033238583641,1.7557265487615575e-81,cdaR,SC_RS17785,0,0,-0.1333645403346229,0.6632159436493483,repression
absA2,SC_RS02970,2,0.0,0.0,Unmethylated,6.294033238583641,1.7557265487615575e-81,cpkO,,0,0,,,repression
afsR,SC_RS24295,1,1.0,1.0,Stable methylation,-0.2613866005478055,0.1043531541894939,actII-ORF4,SC_RS27570,0,0,-0.8299871201264029,0.0013098396526155,activation
afsR,SC_RS24295,1,1.0,1.0,Stable methylation,-0.2613866005478055,0.1043531541894939,redD,SC_RS27225,0,0,4.765825121668314,4.026305883724346e-51,activation
afsR,SC_RS24295,1,1.0,1.0,Stable methylation,-0.2613866005478055,0.1043531541894939,afsS,,0,0,,,activation
bldD,SC_RS25165,1,0.0,0.0,Unmethylated,-0.8175837466022913,3.4412646201797785e-06,actII-ORF4,SC_RS27570,0,0,-0.8299871201264029,0.0013098396526155,activation
bldD,SC_RS25165,1,0.0,0.0,Unmethylated,-0.8175837466022913,3.4412646201797785e-06,redD,SC_RS27225,0,0,4.765825121668314,4.026305883724346e-51,activation
bldD,SC_RS25165,1,0.0,0.0,Unmethylated,-0.8175837466022913,3.4412646201797785e-06,cdaR,SC_RS17785,0,0,-0.1333645403346229,0.6632159436493483,activation
