group	n_genes	median_LFC_T2vsT1	mean_LFC_T2vsT1	std_LFC_T2vsT1	median_LFC_T3vsT1	mean_LFC_T3vsT1	std_LFC_T3vsT1	n_DEG_T2vsT1	DEG_rate_T2vsT1	n_DEG_T3vsT1	DEG_rate_T3vsT1	n_up_T2	n_down_T2	up_ratio_T2	n_up_T3	n_down_T3	up_ratio_T3
AAGCCCG-only	438	0.0759908844981414	0.4747014817016899	2.298735259762963	0.49928152401176584	0.8401865205554535	2.422810788311938	233	0.5319634703196348	287	0.6552511415525114	134	99	0.575107296137339	181	106	0.6306620209059234
GCCGGC-only	3106	-0.14762652151536737	0.2825777215464731	2.329712596204727	0.0425657987925996	0.5347631936414464	2.4914006009258944	1654	0.5325177076625885	1999	0.6435930457179653	800	854	0.4836759371221282	1095	904	0.5477738869434717
Dual-targeted	443	-0.1254358197797395	0.34743366557291977	2.46111235698734	-0.2476668643142208	0.36006140111947704	2.6139210479790287	235	0.5304740406320542	294	0.6636568848758465	113	122	0.4808510638297872	139	155	0.47278911564625853
Background	3387	0.1240083276019081	0.485775807167711	2.208590227239619	0.4021801767697	0.7802228691928091	2.4127438723173187	1718	0.5072335400059049	2094	0.6182462356067316	991	727	0.5768335273573924	1312	782	0.626552053486151
