gene_id	baseMean	LFC_T2vsT1	padj_T2vsT1	LFC_T3vsT1	padj_T3vsT1	category	exclusive_group	temporal_class
SC_RS01870	9.823497660306224	0.5185355233399698	0.378128188900152	2.6892668287438273	7.879373132792654e-05	Other	Background	T3-up (late)
SC_RS02085	40.77520225192981	9.797658072037509	3.622175734227865e-13	7.565212028915419	1.1231728071951178e-08	DNA/RNA metabolism	AAGCCCG-only	Sustained up
SC_RS02090	30.20285836990259	9.356523884592107	4.15720789888308e-12	6.746252387472939	3.0167917466582137e-07	Other	AAGCCCG-only	Sustained up
SC_RS02110	8.053677038950177	6.50627240487201	3.095556062906036e-06	5.81605871132983	1.735624270114447e-05	Hypothetical	Background	Sustained up
SC_RS02160	13.409838354617236	-0.3554767287041233	0.4992557610972377	1.255093109641895	0.0089852631755222	Hypothetical	Background	T3-up (late)
SC_RS02180	75.55465116010159	-0.0160495545559278	0.9532938354642284	-1.0091220739810969	3.84451327633828e-05	Hypothetical	Background	T3-down (late)
SC_RS02195	43.2405012052146	-1.3450147386605509	1.5958824135875163e-05	-0.9746756691508552	0.0006310410543460297	Hypothetical	Background	T2-down (transient)
SC_RS02200	467.37379820049006	10.248694443820142	4.347993237518537e-23	9.22972484901	3.4239190553487574e-19	Other	Background	Sustained up
SC_RS02220	161.00286278634633	0.7383722095029924	0.0026828005021089	1.3972205812030356	3.626733918275091e-09		Background	T3-up (late)
SC_RS02230	11.239780052831472	0.3060038779918684	0.5524169544175488	5.988649669546553	9.676873523994425e-07	Primary metabolism	AAGCCCG-only	T3-up (late)
SC_RS02240	9.265619004680206	1.0938621797041352	0.1170990988538876	5.606486893542312	3.055051697680919e-06	Hypothetical	Background	T3-up (late)
SC_RS02245	27.567143193566892	1.3939142064011016	0.00041838462701511496	1.5070487047000234	8.115982798736663e-05	Primary metabolism	Background	Monotonic increasing
SC_RS02250	11.183163406566951	-1.3011779188293895	0.0336470435230398	0.621619140031893	0.1966861762269474	Primary metabolism	Background	T2-down (transient)
SC_RS02260	78.91827473959422	-0.0396725491618001	0.8879144090156479	-0.0088258603491554	0.9705532606375336	Regulatory/TF	Background	Constitutive
SC_RS02270	9.441122829299918	0.6635844080179997	0.2541399719799866	2.4222516906588	0.00013682507029757934	Other	Background	T3-up (late)
SC_RS02280	14.218147167337136	0.1358328058557721	0.8216393565592722	3.374791723116758	2.653287597385927e-07		Background	T3-up (late)
SC_RS02285	26.25355201417	0.5407498162626789	0.2162982500964488	1.280806116239175	0.0021396795776675	Other	Background	T3-up (late)
SC_RS02290	167.7634724090298	1.2033068472790018	3.5030113392187886e-10	-0.0026906576604932	0.989447660235849	Primary metabolism	Background	T2-up (transient)
SC_RS02300	51.82180563032006	-0.5977951948859072	0.039622973744394	-1.551171489980964	1.654655800507324e-07		Background	T3-down (late)
SC_RS02305	37.173309477045	-0.1701055844425835	0.6360379772727562	-1.1350960249627269	0.0009572445282500464	Hypothetical	Background	T3-down (late)
