gene_id	baseMean	LFC_T2vsT1	padj_T2vsT1	LFC_T3vsT1	padj_T3vsT1	category	product	temporal_class
SC_RS02495	58.809764570908065	0.4101520608130865	0.1373519509366085	-0.0995374782941428	0.7160748974752517	Other	DUF2625 domain-containing protein	Constitutive
SC_RS02640	74.1049625139156	2.180086955095829	1.96571986901715e-14	1.810586678786823	1.448528069274931e-10	Transport	PTS ascorbate transporter subunit IIC	Sustained up
SC_RS02875	189.04580130207663	-1.1487964856930295	6.296905407393743e-06	-1.933192568618131	4.584445221311718e-14	Primary metabolism	polyprenyl synthetase family protein	Monotonic decreasing
SC_RS02880	156.55542416043102	-1.217934491637645	1.6526844507655146e-05	-1.662266800520963	3.505100803813966e-09	Other	phytoene desaturase family protein	Monotonic decreasing
SC_RS03170	100.02949338003188	-1.4824697642708051	4.705691198393519e-08	-1.1916510501287676	4.052778703842207e-06	Other	monooxygenase	Sustained down
SC_RS03175	77.37114707341257	-1.1502773779241664	5.859463141721366e-06	-0.9004489594518529	0.0001632138856367363	Regulatory/TF	TetR/AcrR family transcriptional regulator	T2-down (transient)
SC_RS03180	48.51326938602588	-0.1185156850766345	0.7306336721862928	-0.014512819845289	0.9619325618282462	Other	FAD-dependent monooxygenase	Constitutive
SC_RS03185	55.91172765179926	-0.4971417508530264	0.0901212041885733	-0.8126685634555164	0.0037975116963761	Regulatory/TF	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	Constitutive
SC_RS03520	139.44491425473535	0.6508072786907501	0.0452940840096481	4.166650451945418	1.127658496978093e-46	Primary metabolism	carboxylesterase/lipase family protein	T3-up (late)
SC_RS03525	34.854014541589905	0.2533975861167979	0.547659873008085	1.533346480834357	6.739210051642391e-05	Translation	TlrC/CarA/OleB/SrmB family ABC-F type ribosomal protection protein	T3-up (late)
SC_RS04270	41.14534304658805	1.526311821195577	1.2402162782138632e-05	2.150294020513286	1.7432049136714117e-10	Other	helix-turn-helix domain-containing protein	Monotonic increasing
SC_RS04275	16.91003159329163	-0.3659577519869151	0.5143445043327115	2.4017889089896856	5.642693864231846e-06	Stress/Defense	zinc metallochaperone AztD	T3-up (late)
SC_RS04765	32.35697697789414	1.9180348993024785	9.890742095896278e-07	1.639754153795556	1.8272390223668076e-05	Hypothetical	hypothetical protein	Sustained up
SC_RS04955	14.924683874585432	0.605640525822098	0.2427479697085283	2.367255841293205	5.2353601702364755e-06	Hypothetical	hypothetical protein	T3-up (late)
SC_RS04960	924.551110217076	2.640794924770042	5.8572135124036615e-24	2.6552774100389116	2.396954280028431e-24	Other	SCO0607 family lipoprotein	Monotonic increasing
SC_RS04965	1025.0745481825527	1.465586265258923	4.030445902904505e-09	1.1751163244240108	1.9605124047517703e-06	Other	gamma-butyrolactone-binding regulator SlbR	Sustained up
SC_RS04970	195.3821043460385	-0.0522449689916331	0.8404843416085787	-0.4599293008770745	0.0439539041596239	Transport	DMT family transporter	Constitutive
SC_RS06520	34.93827484581071	0.6292233048640508	0.1354123281510307	1.32310147909482	0.0011215940815102	Other	extracellular solute-binding protein	T3-up (late)
SC_RS06525	28.05971489532064	1.4990220396602894	0.0005122499549914504	2.55154237492811	1.0695411314904714e-09	Other	dodecin	Monotonic increasing
