feature	AUC	AUC_CI_lo	AUC_CI_hi	direction	optimal_threshold	sensitivity	specificity	PPV	NPV	Youden_J	n_valid
nearest_methyl_distance	0.9166	0.8953	0.935	lower_exposed	293.0	1.0	0.8063	0.251	1.0	0.8063	1017
n_methyl_sites_2kb	0.6679	0.6036	0.7336	higher_exposed	4.0	0.4839	0.7623	0.1167	0.9579	0.2462	1017
LFC_T3vsT1	0.5651	0.4691	0.6505	higher_exposed	1.0524	0.5323	0.7916	0.1422	0.9631	0.3239	1017
n_FIMO_hits	0.5594	0.4872	0.6385	higher_exposed	6.0	0.371	0.7257	0.0807	0.9467	0.0966	1017
gene_length	0.5563	0.4702	0.631	higher_exposed	1194.0	0.2742	0.8607	0.1133	0.9481	0.1349	1017
baseMean	0.547	0.4716	0.6157	lower_exposed	80.8842	0.4677	0.6576	0.0815	0.9501	0.1253	1017
log2_baseMean_p1	0.547	0.4707	0.6245	lower_exposed	6.3555	0.4677	0.6576	0.0815	0.9501	0.1253	1017
region	0.5366	0.47	0.5995	higher_exposed	1.0	0.4355	0.6377	0.0724	0.9457	0.0732	1017
LFC_T2vsT1	0.5335	0.4429	0.6234	higher_exposed	1.0401	0.3871	0.8157	0.12	0.9535	0.2028	1017
