locus_tag	old_locus_tag	gene_name	product	tf_family	region_label	tss	nearest_GCCGGC_T1	nearest_GCCGGC_T2	nearest_GCCGGC_T3	baseMean	LFC_T2vsT1	LFC_T3vsT1	class
SC_RS22135	SCO4005		SigE family RNA polymerase sigma factor	Sigma factor	core	4397767	52	52	52	473.0	0.27	3.23	Exposed
SC_RS25990	SCO4766		LysR family transcriptional regulator	LysR	core	5178021	250	250	250	179.0	-0.56	-1.19	Exposed
SC_RS22805	SCO4124		sensor histidine kinase	Sensor kinase	core	4537801	90	90	90	63.6	-1.73	0.32	Exposed
SC_RS26280	SCO4824		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	TetR	core	5253981	208	208	3577	1112.2	-1.04	-2.65	Exposed
SC_RS29905	SCO5544		sensor histidine kinase	Sensor kinase	core	6044567	195	195	195	5945.3	-1.31	-3.05	Exposed
SC_RS27290	SCO5025		MerR family transcriptional regulator	MerR	core	5458994	96	96	96	117.5	0.28	-0.37	Exposed
SC_RS29370	SCO5437		MerR family transcriptional regulator	MerR	core	5911410	288	288	288	65.8	0.17	-0.21	Exposed
SC_RS29770	SCO5517		TetR/AcrR family transcriptional regulator	TetR	core	6010146	273	273	273	208.4	-1.26	-1.7	Exposed
SC_RS21185	SCO3812		GntR family transcriptional regulator	GntR	core	4190999	52	52	52	42.0	-1.44	-1.32	Exposed
SC_RS30140	SCO5584		P-II family nitrogen regulator	Other regulatory	core	6087374	130	130	130	61.1	-0.58	-1.44	Exposed
SC_RS30370	SCO5629	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	core	6131020	91	91	91	343.4	2.65	2.65	Exposed
SC_RS31160	SCO5784		HAMP domain-containing sensor histidine kinase	Sensor kinase	core	6321291	220	220	220	180.6	-0.88	-0.3	Exposed
SC_RS32970	SCO6144		TetR-like C-terminal domain-containing protein	TetR	core	6744770	183	183	183	158.1	-0.37	-0.66	Exposed
SC_RS33790	SCO6309		LysR family transcriptional regulator	LysR	core	6968600	274	274	274	39.9	-1.25	0.77	Exposed
SC_RS33960	SCO6349		LacI family DNA-binding transcriptional regulator	LacI	core	7011086	139	139	140	152.0	0.69	0.03	Exposed
SC_RS27250	SCO5017		AraC-like ligand-binding domain-containing protein	AraC	core	5452583	134	134	134	60.4	1.84	3.05	Exposed
SC_RS20985	SCO3773		LysR family transcriptional regulator	LysR	core	4147062	179	179	179	85.0	-2.69	-0.88	Exposed
SC_RS20250	SCO3623		GntR family transcriptional regulator	GntR	core	4003147	85	85	85	94.3	-1.68	-1.33	Exposed
SC_RS20345	SCO3641		sensor histidine kinase	Sensor kinase	core	4019882	112	112	112	142.1	-0.95	-0.7	Exposed
SC_RS09425	SCO1490	nusB	transcription antitermination factor NusB	Other regulatory	core	1593516	113	113	113	1895.3	-1.89	-3.19	Exposed
SC_RS10090	SCO1616		LysR family transcriptional regulator	LysR	core	1729404	130	130	130	298.7	-2.33	-2.14	Exposed
SC_RS10160	SCO1630		sensor histidine kinase	Sensor kinase	core	1744680	66	66	66	5659.6	10.5	8.03	Exposed
SC_RS11090	SCO1813		FadR/GntR family transcriptional regulator	GntR	core	1942957	241	241	241	242.8	-2.44	-2.84	Exposed
SC_RS12650	SCO2121	macS	MacS family sensor histidine kinase	Sensor kinase	core	2282674	258	258	3247	500.1	-1.08	-1.95	Exposed
SC_RS12760	SCO2143		response regulator transcription factor	Response regulator	core	2303726	268	268	1161	42.3	0.09	-0.02	Exposed
SC_RS13830	SCO2359		sensor histidine kinase	Sensor kinase	core	2527841	96	96	96	241.2	0.16	-0.68	Exposed
SC_RS13905	SCO2374		TetR family transcriptional regulator	TetR	core	2544733	10	10	10	173.4	-0.0	-1.04	Exposed
SC_RS14425	SCO2475		LysR family transcriptional regulator	LysR	core	2666940	178	178	178	273.4	-0.32	-0.97	Exposed
SC_RS15140	SCO2614	folC	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	TetR	core	2838671	228	228	9011	1801.0	-1.06	-1.88	Exposed
SC_RS15850	SCO2753		LacI family DNA-binding transcriptional regulator	LacI	core	2999879	235	856	856	186.0	-0.86	-1.23	Exposed
SC_RS16060	SCO2794		LacI family DNA-binding transcriptional regulator	LacI	core	3050892	37	37	37	548.9	-0.69	-1.64	Exposed
SC_RS20630	SCO3699		ArsR/SmtB family transcription factor	ArsR	core	4078997	244	409	409	13.3	0.39	0.84	Exposed
SC_RS16090	SCO2800		sensor histidine kinase	Sensor kinase	core	3059226	200	200	7889	162.4	1.11	0.75	Exposed
SC_RS16475	SCO2875		MerR family transcriptional regulator	MerR	core	3129646	128	128	129	107.0	0.05	-0.26	Exposed
SC_RS16870	SCO2953	rsuA	anti-sigma U factor RsuA	Anti-sigma	core	3212094	141	10690	10690	401.4	1.19	1.57	Exposed
SC_RS16920	SCO2964	stgR	LysR family transcriptional regulator StgR	LysR	core	3225055	195	195	1360	49.0	-2.15	0.4	Exposed
SC_RS17670	SCO3109	mfd	transcription-repair coupling factor	Other regulatory	core	3408313	131	131	3773	715.5	-0.33	-1.08	Exposed
SC_RS17975	SCO3173		MerR family transcriptional regulator	MerR	core	3477824	46	46	46	98.7	-1.54	-1.09	Exposed
SC_RS18030	SCO3183		5-formyltetrahydrofolate cyclo-ligase	TetR	core	3487555	166	166	166	173.5	-1.55	-1.92	Exposed
SC_RS18470			helix-turn-helix domain-containing protein	HTH (other)	core	3617878	93	93	93	18.0	0.36	0.97	Exposed
SC_RS18680	SCO3315		TetR/AcrR family transcriptional regulator	TetR	core	3666265	207	2084	4662	68.2	-0.42	-0.54	Exposed
SC_RS18945	SCO3365		helix-turn-helix domain-containing protein	HTH (other)	core	3723256	236	236	236	235.2	3.42	3.74	Exposed
SC_RS19190	SCO3413		MerR family transcriptional regulator	MerR	core	3779675	27	27	27	353.7	-0.15	0.18	Exposed
SC_RS20135	SCO3600		helix-turn-helix domain-containing protein	HTH (other)	core	3976873	116	116	116	54.5	-2.03	-0.66	Exposed
SC_RS18375	SCO3251		helix-turn-helix domain-containing protein	HTH (other)	core	3604107	121	121	2009				Exposed
SC_RS16420	SCO2865		helix-turn-helix domain-containing protein	HTH (other)	core	3122091	159	7426	159	127.5	-0.64	-0.88	Exposed
SC_RS28915	SCO5348		helix-turn-helix transcriptional regulator	HTH (other)	core	5816431	128	128	128				Exposed
