quintile	n_genes	n_exposed	frac_exposed	mean_baseMean	median_baseMean	mean_nearest_methyl_distance	median_nearest_methyl_distance	mean_n_methyl_sites_2kb
1	204	14	0.0686	33.0	34.1	899.0	716.5	2.59
2	203	16	0.0788	71.8	71.5	871.0	636.0	2.62
3	203	10	0.0493	127.5	124.3	886.5	638.0	2.51
4	203	9	0.0443	266.0	241.2	989.1	674.0	2.5
5	204	13	0.0637	1737.7	994.9	1068.3	846.0	2.47
