feature	coefficient	std_error	z_value	p_value	odds_ratio	OR_CI_lo	OR_CI_hi	standardized_coef
intercept	-2.9270902830484067	0.6279901432565443	-4.661044945497882	3.1460800512813915e-06	0.053552634673401704	0.015639924887322264	0.18336946635770196	
log2_baseMean_p1	-0.11490236357703365	0.08238790536413888	-1.3946508661579275	0.1631211481545708	0.8914531779574533	0.7585248711229835	1.0476766138385407	-0.21720241987172884
gene_length	0.000645912004311205	0.000195639617585327	3.3015399042553053	0.0009615565612041444	1.0006461206503898	1.0002624998469516	1.0010298885801283	0.33708836575562623
region	0.17400047629515533	0.2822560432815313	0.6164632447624926	0.5375888230759607	1.1900561326381982	0.6844010498763418	2.0693036620643284	0.08385458882482408
n_FIMO_hits	0.07558156855490517	0.0454274345740755	1.6637868561927995	0.0961550315567046	1.0785111967300163	0.9866355409932775	1.1789423278843119	0.20264999184127874
