timepoint	core_sites	arm_sites	core_density_per_Mb	arm_density_per_Mb	core_arm_ratio
T1	1070	219	188.8	73.0	2.59
T2	74	333	13.06	111.0	0.12
T3	8	13	1.41	4.33	0.33
