group	n_genes	median_LFC	mean_LFC	CI_lower	CI_upper	n_DEG	frac_DEG	n_up	frac_up	n_down	frac_down
Lost	836	-0.019284029860018752	0.37210336151784096	0.2185598583687398	0.5256468646669421	583	0.6973684210526315	285	0.3409090909090909	298	0.35645933014354064
Gained	191	-0.1300751797956355	0.2086634070266678	-0.08124937089317064	0.49857618494650624	136	0.7120418848167539	60	0.31413612565445026	76	0.39790575916230364
Both	71	-0.0303653592620559	0.13553803025746922	-0.22533424209285938	0.49641030260779784	44	0.6197183098591549	22	0.30985915492957744	22	0.30985915492957744
Never	6397	-0.0233343919893928	0.3233001197923753	0.2714079771205323	0.3751922624642183	4398	0.6875097702047835	2148	0.33578239799906207	2250	0.3517273722057214
