metric	AAGCCCG	GCCGGC
T1_sites	260.0	1289.0
T2_sites	64.0	376.0
T1_core_pct	68.8	17.0
T2_core_pct	64.1	82.0
geo_shift_pp	4.7	65.0
Lost_n	836.0	3226.0
Never_n	6397.0	2949.0
Lost_median_LFC	-0.019284029860018752	-0.2529321159923681
Never_median_LFC	-0.0233343919893928	0.0061786348308289
LostvsNever_p	0.9076929846136158	1.3865612382968168e-08
LostvsNever_rb	0.0024622785950052517	0.0834820171895145
