sample_id	condition	replicate	bam_path
M145_1_1	M145_1	1	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam
M145_1_2	M145_1	2	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam
M145_1_3	M145_1	3	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam
M145_2_1	M145_2	1	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam
M145_2_3	M145_2	3	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam
M145_2_4	M145_2	4	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam
M145_3_2	M145_3	2	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam
M145_3_3	M145_3	3	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam
M145_3_4	M145_3	4	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam
