gene_id	old_locus_tag	gene_name	product	target_BGC	role	is_known	known_name	comment
SC_RS27570	SCO5082	actII	TetR family transcriptional regulator ActII	act	CSR_activator	TRUE	actII-orf4	Known act CSR; corr_act=0.954, highly act-specific (act_specificity=0.382)
SC_RS37190	SCO6993	NA	LuxR family transcriptional regulator AbsR2	act	candidate_act_activator	FALSE	NA	Novel; corr_act=0.946, act_specificity=0.139, phase=late
SC_RS36895	SCO6937	NA	LuxR C-terminal-related transcriptional regulator	act	candidate_act_activator	FALSE	NA	Novel; corr_act=0.938, act_specificity=0.241, phase=late
SC_RS31650	SCO5881	NA	response regulator transcription factor	red/cda/cpk	global_activator	TRUE	redZ	Known red CSR; corr_red=0.953, corr_cda=0.976, corr_cpk=0.918
SC_RS21215	SCO3818	NA	response regulator	red/cda/cpk	candidate_global_activator	FALSE	NA	Novel response regulator; 3 BGC positive corr >=0.93; phase=early_mid
SC_RS29775	SCO5518	NA	PucR family transcriptional regulator	red/cda/cpk	candidate_global_repressor	FALSE	NA	Novel PucR family; 3 BGC negative corr; KO may enhance secondary metabolism; phase=early_mid
SC_RS28860	SCO5337	NA	XRE family transcriptional regulator	red/cda/cpk	candidate_global_repressor	FALSE	NA	Novel XRE family; 3 BGC negative corr; phase=early_mid
SC_RS26000	SCO4768	NA	response regulator transcription factor	red/cda/cpk	candidate_mid_activator	FALSE	NA	Novel mid-phase; mid_mean_corr=0.934; phase=early_mid
SC_RS16870	SCO2953	rsuA	anti-sigma U factor RsuA	act/red/cda/cpk	candidate_global_activator	FALSE	NA	Novel; mean_abs_corr=0.871; n_high_090=2; phase=early_mid
