Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
M145_1_1_1	(1, 0.0842131299277991)	(2, 0.28706500743415875)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0010259749118632093)	(8, 0.00026342599088379696)	(9, 0.0)	(10, 5.545810334395726e-06)	(15, 0.00018301174103505896)	(20, 0.0)	(25, 0.01671229944270152)	(30, 8.318715501593589e-06)	(35, 0.03387380952248909)	(40, 0.0006876804814650699)	(45, 0.03394313215166904)	(50, 0.0007070908176354551)	(55, 0.018234624379493147)	(60, 2.2183241337582904e-05)	(65, 2.2183241337582904e-05)	(70, 0.03505506712371539)	(75, 0.01693413185607735)	(80, 0.0677337545191422)	(85, 0.00026342599088379696)	(90, 0.00028006342188698416)	(95, 8.596006018313374e-05)	(100, 4.436648267516581e-05)	(105, 0.0008762380328345247)	(110, 0.0005850829902787491)	(115, 0.0)	(120, 5.545810334395726e-06)	(125, 0.00227100933193505)	(130, 0.0)	(135, 0.0001275536376911017)	(140, 0.000424254490581273)	(145, 0.0004020712492436901)	(150, 0.00018023883586786108)
M145_1_1_2	(1, 0.10789374005566883)	(2, 0.314003781133486)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.010952975410431559)	(9, 0.0)	(10, 0.0)	(15, 0.03446166541793504)	(20, 4.159357750796794e-05)	(25, 0.00017192012036626748)	(30, 3.050195683917649e-05)	(35, 0.05119060229163974)	(40, 1.941033617038504e-05)	(45, 0.0)	(50, 2.2183241337582904e-05)	(55, 1.3864525835989314e-05)	(60, 0.0)	(65, 1.6637431003187177e-05)	(70, 0.0006349952832883105)	(75, 0.00028283632705418204)	(80, 8.041424984873803e-05)	(85, 0.05153444253237228)	(90, 0.0004298003009156687)	(95, 0.017610720716873626)	(100, 0.017006227390424494)	(105, 1.3864525835989314e-05)	(110, 0.00024124274954621407)	(115, 0.052039111272802294)	(120, 0.001236715704570247)	(125, 0.05311777138284226)	(130, 0.017649541389214398)	(135, 1.1091620668791452e-05)	(140, 0.0016471056693155306)	(145, 0.00030224666322456706)	(150, 9.70516808519252e-05)
M145_1_2_1	(1, 0.0839674434591726)	(2, 0.29263814381303854)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0009924884677948438)	(8, 0.0004816488152533801)	(9, 0.0)	(10, 8.757251186425093e-06)	(15, 0.0001547114376268433)	(20, 0.0)	(25, 0.016924847459630896)	(30, 2.3352669830466913e-05)	(35, 0.034483136088413205)	(40, 0.0007034991786428158)	(45, 0.03452692234434533)	(50, 0.0007414472671173246)	(55, 0.018218001551493)	(60, 8.757251186425093e-06)	(65, 8.757251186425093e-06)	(70, 0.03396062010095651)	(75, 0.01757288404742635)	(80, 0.06901881568394497)	(85, 0.00024812211694871095)	(90, 0.00029774654033845317)	(95, 9.632976305067601e-05)	(100, 1.7514502372850187e-05)	(105, 0.0008377770301680006)	(110, 0.0005808976620328644)	(115, 0.0)	(120, 8.757251186425093e-06)	(125, 0.002446192164741409)	(130, 0.0)	(135, 0.0001313587677963764)	(140, 0.0004437007267788714)	(145, 0.0004145098894907877)	(150, 7.29770932202091e-05)
M145_1_2_2	(1, 0.11139223509132717)	(2, 0.32231062991637555)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.011632548659301332)	(9, 0.0)	(10, 0.0)	(15, 0.034693310116887414)	(20, 4.3786255932125465e-05)	(25, 0.00020433586101658552)	(30, 3.2109921016892005e-05)	(35, 0.05101390724465498)	(40, 4.3786255932125465e-05)	(45, 0.0)	(50, 8.757251186425093e-06)	(55, 5.838167457616728e-06)	(60, 0.0)	(65, 1.1676334915233457e-05)	(70, 0.0006363602528802235)	(75, 0.0002276885308470524)	(80, 8.17343444066342e-05)	(85, 0.05183416977245013)	(90, 0.00040283355457555427)	(95, 0.017108749734545823)	(100, 0.017356871851494534)	(105, 1.4595418644041822e-05)	(110, 0.0002422839494910942)	(115, 0.051372954543298405)	(120, 0.001307749510506147)	(125, 0.052663189551431705)	(130, 0.01752617870776542)	(135, 5.838167457616728e-06)	(140, 0.0017923174094883357)	(145, 0.0003094228752536866)	(150, 2.9190837288083643e-05)
M145_1_3_1	(1, 0.0)	(2, 0.21054269397039038)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0002910367400303126)	(8, 0.0012536967262844236)	(9, 0.0)	(10, 0.00016342832324779091)	(15, 0.05077471741451915)	(20, 0.0)	(25, 8.954976616317311e-06)	(30, 0.0)	(35, 0.0)	(40, 0.018565905269779866)	(45, 0.0)	(50, 0.0003156629257251852)	(55, 7.163981293053849e-05)	(60, 0.017558470400444167)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0011842956575079642)	(90, 0.0)	(95, 0.03522216177613006)	(100, 0.00010298223108764907)	(105, 0.00186487388034808)	(110, 0.0007701279890032888)	(115, 0.0)	(120, 6.49235804683005e-05)	(125, 0.0008193803603930339)	(130, 0.017439816960277965)	(135, 5.1491115543824534e-05)	(140, 0.0006895331994564329)	(145, 0.0003402891114200578)	(150, 0.0)
M145_1_3_2	(1, 0.03931234734563299)	(2, 0.07777397191271584)	(3, 5.596860385198319e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.005910284566769425)	(9, 7.835604539277647e-05)	(10, 0.00027312678679767795)	(15, 0.03735792369912174)	(20, 0.06776902428813533)	(25, 0.06772648814920783)	(30, 0.06800185368015958)	(35, 0.06790558768153417)	(40, 0.0847521374409811)	(45, 0.08469169134882096)	(50, 0.06772648814920783)	(55, 0.034031149886159864)	(60, 0.06772648814920783)	(65, 0.06779141172967612)	(70, 0.08537898580412331)	(75, 0.10264865820869126)	(80, 0.08466034893066385)	(85, 0.067816037915371)	(90, 0.0694279337063081)	(95, 0.06774215935828637)	(100, 0.0847096013020536)	(105, 0.08475661492928926)	(110, 0.06824363804880015)	(115, 0.08480362855652493)	(120, 0.10259716709314744)	(125, 0.08639985313838348)	(130, 0.10216956695971828)	(135, 0.06781379917121692)	(140, 0.08780354572299123)	(145, 0.051446340660742954)	(150, 0.08471407879036176)
M145_2_1_1	(1, 0.0)	(2, 0.20998806227719272)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0004364556311108748)	(8, 0.0013225928215481054)	(9, 0.0)	(10, 0.00015077558165648404)	(15, 0.051747766735891175)	(20, 0.0)	(25, 7.935556929288632e-06)	(30, 0.0)	(35, 0.0)	(40, 0.019460630776258824)	(45, 0.0)	(50, 0.0002645185643096211)	(55, 8.200075493598253e-05)	(60, 0.017468805987007376)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0011347846408882745)	(90, 0.0)	(95, 0.03436096150381978)	(100, 0.00015606595294267645)	(105, 0.0018410492075949627)	(110, 0.0007618134652117087)	(115, 0.0)	(120, 6.348445543430906e-05)	(125, 0.0007194904949221694)	(130, 0.017140802967263447)	(135, 6.877482672050148e-05)	(140, 0.0006480704825585717)	(145, 0.00039942303210752783)	(150, 0.0)
M145_2_1_2	(1, 0.038672614102066606)	(2, 0.0776361986248738)	(3, 5.290371286192422e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.005330049070838865)	(9, 2.645185643096211e-05)	(10, 0.0002909704207405832)	(15, 0.03552484318678211)	(20, 0.0640954933178643)	(25, 0.06406639627579024)	(30, 0.06437588299603249)	(35, 0.06430710816931198)	(40, 0.08018615758481853)	(45, 0.08012796350067042)	(50, 0.06406639627579024)	(55, 0.032215715947268755)	(60, 0.06406639627579024)	(65, 0.06412723554558145)	(70, 0.08080248583965996)	(75, 0.09789038509406148)	(80, 0.08008564053038088)	(85, 0.06416162295894169)	(90, 0.06578312175815967)	(95, 0.0640902029465781)	(100, 0.08013060868631351)	(105, 0.0802178998125357)	(110, 0.06451872302075967)	(115, 0.08024435166896665)	(120, 0.09866806967313176)	(125, 0.0817494622998884)	(130, 0.09802528956185938)	(135, 0.06418013925844337)	(140, 0.08340534851246663)	(145, 0.04876928770176484)	(150, 0.0801491249858152)
M145_2_3_1	(1, 0.0)	(2, 0.21061515239391165)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00024308898029034545)	(8, 0.0010867507354156622)	(9, 0.0)	(10, 0.00016587248066870632)	(15, 0.05169501656150924)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.019335583479329715)	(45, 0.0)	(50, 0.0002688278134975585)	(55, 8.007636997799615e-05)	(60, 0.017333674229879813)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0011868461978881573)	(90, 0.0)	(95, 0.0340038585370848)	(100, 0.0001429935178178503)	(105, 0.0018188775466430557)	(110, 0.0007121077187328944)	(115, 0.0)	(120, 5.433753677078311e-05)	(125, 0.0007235472001583225)	(130, 0.017159222138142034)	(135, 6.577701819621113e-05)	(140, 0.0005862734230531862)	(145, 0.00036034366490098274)	(150, 0.0)
M145_2_3_2	(1, 0.03900863166070956)	(2, 0.07970458683166974)	(3, 4.2898055345355084e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.005848434878750077)	(9, 0.00012869416603606524)	(10, 0.0003231653502683416)	(15, 0.03690090720807444)	(20, 0.06656062267385295)	(25, 0.06653202397028937)	(30, 0.06682087087628144)	(35, 0.06674079450630344)	(40, 0.08325368594390879)	(45, 0.0831936286664253)	(50, 0.06653202397028937)	(55, 0.03341758511403161)	(60, 0.06653202397028937)	(65, 0.06658064176634744)	(70, 0.08380850079304204)	(75, 0.10052444302594875)	(80, 0.08316788983321807)	(85, 0.0666235398216928)	(90, 0.0682536659248163)	(95, 0.06655490293314023)	(100, 0.0832193674996325)	(105, 0.08327084516604694)	(110, 0.06704394076407728)	(115, 0.08330802348067957)	(120, 0.10114217502292186)	(125, 0.08492671010237764)	(130, 0.10111071644900192)	(135, 0.06662925956240552)	(140, 0.0865053585390867)	(145, 0.05050531049326472)	(150, 0.08322222736998887)
