Sample	Unique Reads	Duplicate Reads
M145_1_1_1	2804649.0	4408003.0
M145_1_1_2	2212797.0	4999855.0
M145_1_2_1	2697711.0	4153754.0
M145_1_2_2	2115586.0	4735879.0
M145_1_3_1	3184085.0	5749495.0
M145_1_3_2	2470612.0	6462968.0
M145_2_1_1	2791070.0	4769836.0
M145_2_1_2	2179163.0	5381743.0
M145_2_3_1	2460248.0	4533076.0
M145_2_3_2	1946828.0	5046496.0
M145_2_4_1	2585135.0	4928175.0
M145_2_4_2	2056576.0	5456734.0
M145_3_2_1	3118558.0	4773772.0
M145_3_2_2	2692365.0	5199965.0
M145_3_3_1	2331910.0	5090370.0
M145_3_3_2	1917470.0	5504810.0
M145_3_4_1	2729720.0	4564472.0
M145_3_4_2	2357055.0	4937137.0
