Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
M145_1_1_1	0.6064482245920086	2.775303730167489
M145_1_1_2	0.7197907233012213	2.8963826342931838
M145_1_2_1	0.5912750046887782	2.612098288468233
M145_1_2_2	0.7105633612665321	2.8586003139474556
M145_1_3_1	0.6103712061681879	2.810060468479602
M145_1_3_2	0.7622588033016998	3.129663583915966
M145_2_1_1	1.478354578141826	8.468297317808211
M145_2_1_2	1.5262985679229446	11.251760040397274
M145_2_3_1	1.5589868280091128	9.591661990778634
M145_2_3_2	1.706427444231098	12.360988851653376
M145_2_4_1	1.743665574826541	8.237008721854949
M145_2_4_2	1.4841660998947201	10.83510463430898
M145_3_2_1	1.6383121334257438	11.256878513696211
M145_3_2_2	2.040867525813036	14.17472406754405
M145_3_3_1	2.041744585221792	16.36992945563897
M145_3_3_2	2.492468621501749	20.204478947169868
M145_3_4_1	1.9342375413205466	15.200203120510126
M145_3_4_2	2.4976584109658755	19.27920186361972
