Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M145_1_1_1	61.11487229738483	68.0	150.0	150	18.181818181818183	7.212651999999999
M145_1_1_2	69.3206215969421	68.0	150.0	150	18.181818181818183	7.212651999999999
M145_1_2_1	60.625790149252566	68.0	150.0	150	18.181818181818183	6.851464999999999
M145_1_2_2	69.12214416244421	68.0	150.0	150	18.181818181818183	6.851464999999999
M145_1_3_1	64.35824437248974	68.0	150.0	150	9.090909090909092	8.93358
M145_1_3_2	72.34466618141013	68.0	150.0	150	18.181818181818183	8.93358
M145_2_1_1	63.08550927066672	68.0	150.0	150	36.36363636363637	7.560905999999999
M145_2_1_2	71.1785488832463	68.0	150.0	150	27.27272727272727	7.560905999999999
M145_2_3_1	64.82005072733426	68.0	150.0	150	36.36363636363637	6.993323999999999
M145_2_3_2	72.16162532707129	68.0	150.0	150	36.36363636363637	6.993323999999999
M145_2_4_1	65.59259862498716	68.0	150.0	150	27.27272727272727	7.51331
M145_2_4_2	72.62757592453713	68.0	150.0	150	27.27272727272727	7.51331
M145_3_2_1	60.486224136895835	68.0	150.0	150	27.27272727272727	7.892329999999999
M145_3_2_2	65.88631809780759	67.0	150.0	150	36.36363636363637	7.892329999999999
M145_3_3_1	68.58229731130756	67.0	150.0	150	36.36363636363637	7.42228
M145_3_3_2	74.16602562469296	67.0	150.0	150	36.36363636363637	7.42228
M145_3_4_1	62.576811841658184	67.0	150.0	150	36.36363636363637	7.294192
M145_3_4_2	67.68587824442818	67.0	150.0	150	36.36363636363637	7.294192
