Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
M145_1_3_1 - illumina_universal_adapter	(1, 6.716232462237983e-05)	(2, 6.716232462237983e-05)	(3, 0.00010074348693356974)	(4, 0.00017909953232634623)	(5, 0.00023506813617832942)	(6, 0.0003805865061934857)	(7, 0.00040297394773427896)	(8, 0.00048132999312705543)	(9, 0.000559686038519832)	(10, 0.0006772201066089967)	(12, 0.0008395290577797479)	(14, 0.0010466128920320857)	(16, 0.0012201155639732335)	(18, 0.0013936182359143815)	(20, 0.0015391366059295379)	(22, 0.0016846549759446943)	(24, 0.001841367066730247)	(26, 0.002003676017900998)	(28, 0.0022163567125385343)	(30, 0.0025185871733392436)	(32, 0.002809623913369556)	(34, 0.003100660653399869)	(36, 0.0033637130915041896)	(38, 0.0036155718088381143)	(40, 0.003956980292335211)	(42, 0.004315179356987903)	(44, 0.004690169002796191)	(46, 0.005149111554382454)	(48, 0.005669619570205897)	(50, 0.006285274212577713)	(52, 0.006912122575719925)	(54, 0.007410243150002575)	(56, 0.008098656977381968)	(58, 0.00869192417821299)	(60, 0.00941951602828877)	(62, 0.01022546392375733)	(64, 0.011120961585389059)	(66, 0.012010862386635592)	(68, 0.012990312954045298)	(70, 0.014244009680329722)	(72, 0.01558725617277732)	(74, 0.016969680687921304)	(76, 0.018687916826177188)	(78, 0.020551671334448227)	(80, 0.022476991306956448)	(82, 0.02455342650986503)	(84, 0.02693768903395951)	(86, 0.02967455376232149)	(88, 0.03265208348724699)	(90, 0.03606616832221797)	(92, 0.039692933851826484)	(94, 0.04415922843921474)	(96, 0.049095659298959655)	(98, 0.05432872375912008)	(100, 0.060188636582422725)	(102, 0.0672686649696986)	(104, 0.07544008113208814)	(106, 0.08422155507646431)	(108, 0.09305340076430725)	(110, 0.10316692748036062)	(112, 0.11439982627345364)	(114, 0.1275076732955881)	(116, 0.14227219099174127)	(118, 0.1584862955276608)	(120, 0.17566306004983445)	(122, 0.19528565256033975)	(124, 0.217051842598376)	(126, 0.24189630584827138)	(128, 0.269628749056929)	(130, 0.299739857929296)	(132, 0.3325934283904101)	(134, 0.3691017486830588)	(136, 0.40998681379693247)	(138, 0.45590905325748465)
M145_1_3_1 - polya	(1, 0.10664257777956877)	(2, 0.1075828503242821)	(3, 0.10832163589512826)	(4, 0.10876938472594413)	(5, 0.10927310216061198)	(6, 0.10972085099142785)	(7, 0.11014621238070292)	(8, 0.11098574143848267)	(9, 0.11189243282088479)	(10, 0.11306217664139123)	(12, 0.11395207744263777)	(14, 0.11438863255268325)	(16, 0.11465728185117277)	(18, 0.11501548091582546)	(20, 0.11518898358776661)	(22, 0.11534009881816695)	(24, 0.11547442346741171)	(26, 0.11558076381473048)	(28, 0.11572628218474565)	(30, 0.11582142881129401)	(32, 0.11595575346053877)	(34, 0.11610686869093914)	(36, 0.11628596822326548)	(38, 0.11638671171019904)	(40, 0.11649864891790301)	(42, 0.11666095786907377)	(44, 0.1168568479825557)	(46, 0.11704154437526725)	(48, 0.1172374344887492)	(50, 0.11733817797568276)	(52, 0.11750048692685351)	(54, 0.11769637704033545)	(56, 0.1178754765726618)	(58, 0.11807696354652894)	(60, 0.1181944976146181)	(62, 0.11827285366001089)	(64, 0.11837919400732964)	(66, 0.1185247123773448)	(68, 0.11867582760774517)	(70, 0.11883253969853072)	(72, 0.11896686434777548)	(74, 0.11915156074048702)	(76, 0.11933066027281336)	(78, 0.11944259748051733)	(80, 0.11958251899014728)	(82, 0.11967766561669566)	(84, 0.11980639340555521)	(86, 0.11995191177557038)	(88, 0.12013660816828192)	(90, 0.12027652967791189)	(92, 0.12040525746677144)	(94, 0.12055637269717179)	(96, 0.12068510048603136)	(98, 0.12077465025219453)	(100, 0.12092016862220968)	(102, 0.12104889641106925)	(104, 0.12116643047915841)	(106, 0.12131754570955877)	(108, 0.12144627349841833)	(110, 0.12159179186843348)	(112, 0.12176529454037463)	(114, 0.12193320035193059)	(116, 0.12203954069924935)	(118, 0.12218505906926451)	(120, 0.12232498057889446)	(122, 0.12245930522813922)	(124, 0.12258243615661359)	(126, 0.12273914824739914)	(128, 0.1228622791758735)	(130, 0.12302458812704425)	(132, 0.12320368765937059)	(134, 0.12344435265593413)	(136, 0.12374098625634963)	(138, 0.12398165125291316)
M145_1_3_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00019029325309674285)	(4, 0.0005372985969790386)	(5, 0.0012872778885956134)	(6, 0.0028655925172215396)	(7, 0.004802106210500158)	(8, 0.006548326650682034)	(9, 0.010331804271076097)	(10, 0.014042522706462583)	(12, 0.017003261850232494)	(14, 0.019465880419719753)	(16, 0.021659849690717495)	(18, 0.024049709075197177)	(20, 0.02647874648237325)	(22, 0.029014124236868086)	(24, 0.03147114594597015)	(26, 0.03376585870390146)	(28, 0.03653630459457463)	(30, 0.03968733699144128)	(32, 0.0426312855540556)	(34, 0.04549128121089194)	(36, 0.048692685351225375)	(38, 0.05182692716693643)	(40, 0.0552633994434482)	(42, 0.05852077218763363)	(44, 0.06163262656180389)	(46, 0.06499633965330809)	(48, 0.06882459215678373)	(50, 0.07231143617676228)	(52, 0.07546246857362893)	(54, 0.07876461620089595)	(56, 0.0825872718439864)	(58, 0.08621403737359491)	(60, 0.08958894418586949)	(62, 0.09361868366321228)	(64, 0.09748611418938433)	(66, 0.10051961251816181)	(68, 0.10365385433387286)	(70, 0.1069336145195991)	(72, 0.11011822807877693)	(74, 0.11334201966065116)	(76, 0.11658260182368099)	(78, 0.12086420001835771)	(80, 0.1248547614730041)	(82, 0.12824645886643427)	(84, 0.1319179992791244)	(86, 0.1354720056237253)	(88, 0.13941779219529013)	(90, 0.14292702365680948)	(92, 0.14606686233290572)	(94, 0.14971041844366983)	(96, 0.15301256607093683)	(98, 0.15661134729861936)	(100, 0.16022691910745748)	(102, 0.1634563075497169)	(104, 0.16722859144934057)	(106, 0.17066506372585236)	(108, 0.17452689739163918)	(110, 0.17827679384972206)	(112, 0.1821554180966645)	(114, 0.186487388034808)	(116, 0.1904723526290692)	(118, 0.19425583024946325)	(120, 0.19825758542488006)	(122, 0.20205225676604452)	(124, 0.20661929484036634)	(126, 0.2111079768692954)	(128, 0.21552389971321687)	(130, 0.21973833558327122)	(132, 0.22463558842031972)	(134, 0.2301205115978141)	(136, 0.2357285657037828)	(138, 0.24152131620246306)
M145_1_3_2 - illumina_universal_adapter	(1, 6.716232462237983e-05)	(2, 6.716232462237983e-05)	(3, 0.00010074348693356974)	(4, 0.00017909953232634623)	(5, 0.00023506813617832942)	(6, 0.00036939278542308905)	(7, 0.00039178022696388236)	(8, 0.0004589425515862622)	(9, 0.0005372985969790386)	(10, 0.0006548326650682034)	(12, 0.0008171416162389546)	(14, 0.0010466128920320855)	(16, 0.0012313092847436302)	(18, 0.0014271993982255715)	(20, 0.001595105209781521)	(22, 0.0018245764855746522)	(24, 0.00206524148213818)	(26, 0.0023003096183165095)	(28, 0.0025521683356504333)	(30, 0.0029103674003031262)	(32, 0.0032685664649558183)	(34, 0.003609974948452916)	(36, 0.004018545756572393)	(38, 0.0044103259835362755)	(40, 0.004936430859744918)	(42, 0.005423357713257171)	(44, 0.005910284566769425)	(46, 0.0065427297902968355)	(48, 0.007113609549587063)	(50, 0.007880379422359234)	(52, 0.008647149295131402)	(54, 0.009296385099814407)	(56, 0.010074348693356973)	(58, 0.010785149962277162)	(60, 0.011630275880442107)	(62, 0.012637710749777804)	(64, 0.013734695385276675)	(66, 0.014708549092301182)	(68, 0.01576075884471847)	(70, 0.01711519905793646)	(72, 0.018570382758088026)	(74, 0.020025566458239587)	(76, 0.021900514687281023)	(78, 0.023915384425952417)	(80, 0.026053385093098177)	(82, 0.028286532386792303)	(84, 0.03083870072244274)	(86, 0.03377145556428666)	(88, 0.036883309938456926)	(90, 0.04049888174729503)	(92, 0.044209600182681524)	(94, 0.04881581627969974)	(96, 0.053953734113311794)	(98, 0.05930992950194659)	(100, 0.06543849162373874)	(102, 0.07269761954334097)	(104, 0.081221637909998)	(106, 0.09021019568862651)	(108, 0.09931628753534417)	(110, 0.10951936401756071)	(112, 0.12092576548259489)	(114, 0.1341287591312777)	(116, 0.14903319833706086)	(118, 0.16530886833721756)	(120, 0.18256958576516918)	(122, 0.2021530002529781)	(124, 0.22417104900834828)	(126, 0.24925617725480714)	(128, 0.27716771999579115)	(130, 0.3071668916604542)	(132, 0.33987494375155314)	(134, 0.3765343792746021)	(136, 0.41762093136234296)	(138, 0.4639293541894739)
M145_1_3_2 - polyg	(1, 0.20317722570346938)	(2, 0.21113596117122138)	(3, 0.2121210085990163)	(4, 0.2138000667145758)	(5, 0.215781355290936)	(6, 0.21993422569675314)	(7, 0.22399754633640712)	(8, 0.22806086697606112)	(9, 0.23427338200363124)	(10, 0.24125826376435874)	(12, 0.24813120831738228)	(14, 0.2536161314948766)	(16, 0.2582671224749764)	(18, 0.2624255897411788)	(20, 0.26614190503695045)	(22, 0.269684717660781)	(24, 0.2728637343595737)	(26, 0.2757964892014176)	(28, 0.27842141672207554)	(30, 0.28111350656735595)	(32, 0.28354254397453205)	(34, 0.2859603876609377)	(36, 0.28817114751309103)	(38, 0.290342729342548)	(40, 0.292402373964301)	(42, 0.29424374103103124)	(44, 0.29623062646777665)	(46, 0.29815034957989967)	(48, 0.3000197009485559)	(50, 0.3020009895249161)	(52, 0.30373601624432756)	(54, 0.30534231517487953)	(56, 0.3070437607319798)	(58, 0.30879557803254687)	(60, 0.3105529921934992)	(62, 0.3123048094940662)	(64, 0.314162967141952)	(66, 0.31593157502367475)	(68, 0.31757145511653784)	(70, 0.3190770105601562)	(72, 0.32096874937035325)	(74, 0.32299481282979503)	(76, 0.3249872951269256)	(78, 0.3268286621936558)	(80, 0.32880435390963086)	(82, 0.33056176807058313)	(84, 0.3325318629261729)	(86, 0.33484896312564505)	(88, 0.3369533826304796)	(90, 0.33891788062568423)	(92, 0.3413245305913195)	(94, 0.34402781415737027)	(96, 0.34610424936027884)	(98, 0.3481359096801059)	(100, 0.3502179417433996)	(102, 0.3525070576409457)	(104, 0.3545834928438543)	(106, 0.3571188705983491)	(108, 0.35952552056398446)	(110, 0.36170829611421174)	(112, 0.3641933021252398)	(114, 0.36676785790243105)	(116, 0.3692808482153851)	(118, 0.3718833882945023)	(120, 0.37416131047127804)	(122, 0.37638326404420175)	(124, 0.37899699784408936)	(126, 0.3815603599005102)	(128, 0.3843084183496426)	(130, 0.387056476798775)	(132, 0.3898157289686777)	(134, 0.39258057799896573)	(136, 0.395043196568453)	(138, 0.3978975953649041)
M145_2_1_1 - illumina_universal_adapter	(1, 5.290371286192422e-05)	(2, 5.290371286192422e-05)	(3, 6.612964107740528e-05)	(4, 0.00010580742572384844)	(5, 0.0001719370668012537)	(6, 0.00022484077966317793)	(7, 0.00027774449252510215)	(8, 0.00030419634895606425)	(9, 0.00033064820538702635)	(10, 0.00037032599003346956)	(12, 0.00042322970289539375)	(14, 0.0004959723080805395)	(16, 0.0005554889850502042)	(18, 0.0006414575184508311)	(20, 0.000839846441683047)	(22, 0.0010580742572384844)	(24, 0.0011374298265313708)	(26, 0.001276302072793922)	(28, 0.001454852103702916)	(30, 0.0016598539910428725)	(32, 0.0019045336630292718)	(34, 0.002116148514476969)	(36, 0.0023740541146788493)	(38, 0.002585668966126546)	(40, 0.002909704207405832)	(42, 0.003220513520469637)	(44, 0.003557774689964404)	(46, 0.0038751969671359486)	(48, 0.0042587488853849)	(50, 0.004602623018987407)	(52, 0.005184563860468574)	(54, 0.005852473235350366)	(56, 0.006487317789693458)	(58, 0.007168453092790732)	(60, 0.007995073606258299)	(62, 0.008861371904372306)	(64, 0.009701218346055352)	(66, 0.010706388890431913)	(68, 0.011559461260330441)	(70, 0.012703504050969552)	(72, 0.01418480801110343)	(74, 0.015613208258375384)	(76, 0.016982091828677673)	(78, 0.018714688424905694)	(80, 0.02066551283668915)	(82, 0.02292053359742867)	(84, 0.025149102501737224)	(86, 0.02795299928341921)	(88, 0.030882542383148262)	(90, 0.034559350427051994)	(92, 0.038513902963480826)	(94, 0.04334797972623916)	(96, 0.04838705837633744)	(98, 0.05401469083202463)	(100, 0.060144908559900095)	(102, 0.06700916530373477)	(104, 0.07540762972056522)	(106, 0.08446739054816976)	(108, 0.09446619227907344)	(110, 0.10562226272883171)	(112, 0.11855060755946444)	(114, 0.1325568655396589)	(116, 0.1471516773254422)	(118, 0.16339311717405294)	(120, 0.18048762939256222)	(122, 0.1998900660846729)	(124, 0.22149461982466123)	(126, 0.2460617814849173)	(128, 0.2749538216716356)	(130, 0.30375328036084565)	(132, 0.3344903375336236)	(134, 0.3698167917971735)	(136, 0.40809924101688344)	(138, 0.4540461156374646)
M145_2_1_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001719370668012537)	(4, 0.0007406519800669391)	(5, 0.0012961409651171434)	(6, 0.0026980893559581352)	(7, 0.004205845172522976)	(8, 0.005978119553397437)	(9, 0.008953953401880673)	(10, 0.011704946470700733)	(12, 0.014092226513595065)	(14, 0.016109180566455925)	(16, 0.01813274758342453)	(18, 0.020103410887531203)	(20, 0.022285689043085574)	(22, 0.024487806090963175)	(24, 0.027443801047123188)	(26, 0.029936888515741368)	(28, 0.03223820002523507)	(30, 0.034896611596546764)	(32, 0.03706566382388565)	(34, 0.03932729754873292)	(36, 0.04156247941714922)	(38, 0.043929920567720326)	(40, 0.04627752282596821)	(42, 0.048889643648525716)	(44, 0.051323214440174236)	(46, 0.05416017604239492)	(48, 0.05726165620892523)	(50, 0.06005232706239173)	(52, 0.06338526097269295)	(54, 0.06591802622595758)	(56, 0.06862272854602344)	(58, 0.07136710865073578)	(60, 0.07407842393490938)	(62, 0.07692199850123782)	(64, 0.07938202114931729)	(66, 0.08241075871066245)	(68, 0.08495674989214255)	(70, 0.08785984113544065)	(72, 0.09068357680944586)	(74, 0.09308408278055566)	(76, 0.09570942953132866)	(78, 0.09840090592317904)	(80, 0.10125109345361522)	(82, 0.10406160319940494)	(84, 0.10703743704788818)	(86, 0.10985455975778563)	(88, 0.11300233067307014)	(90, 0.11592526080869145)	(92, 0.11835883160033997)	(94, 0.12140079508990059)	(96, 0.1246477604668012)	(98, 0.12753762578188382)	(100, 0.13045394295339738)	(102, 0.1335884879404664)	(104, 0.13732481266133978)	(106, 0.14134549483884604)	(108, 0.1448503658159485)	(110, 0.1481237830492801)	(112, 0.1518138170213993)	(114, 0.1556493362038888)	(116, 0.1594848553863783)	(118, 0.16310875971742012)	(120, 0.16665992144327677)	(122, 0.1707268943695372)	(124, 0.17514435439350787)	(126, 0.17938326438656954)	(128, 0.1838337892310789)	(130, 0.18840334742952763)	(132, 0.1933300056897943)	(134, 0.19894441221726603)	(136, 0.20453236688830678)	(138, 0.21020629009274816)
M145_2_1_2 - illumina_universal_adapter	(1, 5.290371286192422e-05)	(2, 5.290371286192422e-05)	(3, 6.612964107740528e-05)	(4, 0.00010580742572384844)	(5, 0.0001719370668012537)	(6, 0.00022484077966317793)	(7, 0.00027774449252510215)	(8, 0.00030419634895606425)	(9, 0.00033064820538702635)	(10, 0.00037032599003346956)	(12, 0.0004364556311108748)	(14, 0.0005356500927269827)	(16, 0.0006282315902353501)	(18, 0.0007340390159591985)	(20, 0.0009588797956223764)	(22, 0.0012498502163629595)	(24, 0.0014217872831642133)	(26, 0.0016532410269351318)	(28, 0.0018913077348137908)	(30, 0.0021888911196621145)	(32, 0.002552604145587844)	(34, 0.0028634134586516483)	(36, 0.0032403524127928582)	(38, 0.0035908395105031066)	(40, 0.003961165500536576)	(42, 0.00438439520343197)	(44, 0.004801011942219623)	(46, 0.00527714535797694)	(48, 0.005852473235350366)	(50, 0.006335219615215425)	(52, 0.007003128990097219)	(54, 0.007757006898379638)	(56, 0.008457981093800134)	(58, 0.009165568253328371)	(60, 0.010071544336088823)	(62, 0.010997359311172497)	(64, 0.011943013178579393)	(66, 0.013053991148679802)	(68, 0.014085613549487324)	(70, 0.01528256005298836)	(72, 0.016869671438846087)	(74, 0.018377427255410923)	(76, 0.019885183071975766)	(78, 0.021756651914466338)	(80, 0.02384634857251234)	(82, 0.026114595261467345)	(84, 0.028435745663284266)	(86, 0.031312385050151395)	(88, 0.03446015596543589)	(90, 0.038289062183817654)	(92, 0.04225022768435423)	(94, 0.04701156184192741)	(96, 0.051918381209870884)	(98, 0.057592304414312255)	(100, 0.06376219992683417)	(102, 0.0707521029887159)	(104, 0.0792034711184083)	(106, 0.08833597455119796)	(108, 0.0982620336769165)	(110, 0.1093255226291664)	(112, 0.1220224137160282)	(114, 0.1358897994499601)	(116, 0.150266383420188)	(118, 0.1664218547353981)	(120, 0.18331136506656742)	(122, 0.20281960918440198)	(124, 0.2241662573241884)	(126, 0.2488061615896296)	(128, 0.2774733609966848)	(130, 0.30585620294710714)	(132, 0.33622954709395936)	(134, 0.37160229210626344)	(136, 0.4098715153977579)	(138, 0.45566629184386104)
M145_2_1_2 - polyg	(1, 0.15931953128368478)	(2, 0.16597217317607177)	(3, 0.16688476222293994)	(4, 0.16791638462374747)	(5, 0.16941091451209683)	(6, 0.17218835943734787)	(7, 0.17560064891694196)	(8, 0.1787880976168729)	(9, 0.183959435549126)	(10, 0.18895883641457784)	(12, 0.19397146320824515)	(14, 0.19826327691416876)	(16, 0.2018144386400254)	(18, 0.20481011138083188)	(20, 0.20781901004985381)	(22, 0.21062290683153578)	(24, 0.2131358331924772)	(26, 0.21568843733806503)	(28, 0.21775829510378783)	(30, 0.21993396029523446)	(32, 0.22208317363025012)	(34, 0.22371657576486204)	(36, 0.22525739640196557)	(38, 0.22714870413677937)	(40, 0.22887468776889966)	(42, 0.2304816380470806)	(44, 0.23224068649973958)	(46, 0.23382118492148957)	(48, 0.23545458705610148)	(50, 0.23726653922162239)	(52, 0.2390784913871433)	(54, 0.24065237684478552)	(56, 0.24214029376902715)	(58, 0.24377369590363906)	(60, 0.24517564429448008)	(62, 0.24662388343407524)	(64, 0.24823083371225618)	(66, 0.2495732654261275)	(68, 0.25102811752983045)	(70, 0.252542486310503)	(72, 0.2543147606913775)	(74, 0.25604074432349777)	(76, 0.2578460835249109)	(78, 0.2596911005109705)	(80, 0.26161547306632305)	(82, 0.26379775122187743)	(84, 0.2657287367413376)	(86, 0.2677985945070604)	(88, 0.26947828739042645)	(90, 0.27105878581217646)	(92, 0.2727318657314348)	(94, 0.274715754963757)	(96, 0.2767393219807256)	(98, 0.27882901863877163)	(100, 0.2808724245480634)	(102, 0.2828232489598469)	(104, 0.28502536600772443)	(106, 0.28753167940455815)	(108, 0.2895883112420654)	(110, 0.2915589745461721)	(112, 0.29376109159404973)	(114, 0.2962409531344524)	(116, 0.2986414591055622)	(118, 0.30110809471774946)	(120, 0.3032506950886574)	(122, 0.3055189417776124)	(124, 0.30770121993316674)	(126, 0.31010172590427654)	(128, 0.31219803552643033)	(130, 0.3147241878155872)	(132, 0.31736937345868343)	(134, 0.3201931091326886)	(136, 0.32318216890938734)	(138, 0.3260257434757157)
M145_2_3_1 - illumina_universal_adapter	(1, 1.4299351781785029e-05)	(2, 1.4299351781785029e-05)	(3, 5.7197407127140114e-05)	(4, 0.00010009546247249519)	(5, 0.0001429935178178503)	(6, 0.00025738833207213053)	(7, 0.00034318444276284067)	(8, 0.0004432799052353359)	(9, 0.00048617796058069096)	(10, 0.0006005727748349712)	(12, 0.0006577701819621112)	(14, 0.000750715968543714)	(16, 0.0009151585140342417)	(18, 0.0010581520318520923)	(20, 0.0012297442532335123)	(22, 0.0014299351781785028)	(24, 0.0016444254549052783)	(26, 0.002030507953013474)	(28, 0.0022878962850856046)	(30, 0.0024594885064670247)	(32, 0.002688278134975585)	(34, 0.002938516791156823)	(36, 0.0031887554473380613)	(38, 0.003510490862428224)	(40, 0.00378217854628214)	(42, 0.004075315257808733)	(44, 0.004447098404135144)	(46, 0.00483318090224334)	(48, 0.0052621614556968895)	(50, 0.005734040064495796)	(52, 0.006391810246457907)	(54, 0.007178274594456084)	(56, 0.007986187970126938)	(58, 0.008543862689616554)	(60, 0.009080088381433492)	(62, 0.009837954025868099)	(64, 0.010645867401538955)	(66, 0.011675420729827475)	(68, 0.012526232160843684)	(70, 0.01387752090422237)	(72, 0.01510011548156499)	(74, 0.016508601632070817)	(76, 0.01800288389326735)	(78, 0.01966160869995441)	(80, 0.021534823783368254)	(82, 0.023443787246236553)	(84, 0.025846078345576437)	(86, 0.028770295784951477)	(88, 0.031594417761854024)	(90, 0.03488326867166457)	(92, 0.03850100467245619)	(94, 0.04248337414368332)	(96, 0.04692332287192757)	(98, 0.051849449560752506)	(100, 0.05746909481099403)	(102, 0.06386805473334282)	(104, 0.07118217316972586)	(106, 0.07950439590672476)	(108, 0.08813405470703202)	(110, 0.09776466813206423)	(112, 0.10919699988160136)	(114, 0.12097251607390133)	(116, 0.13386338170518053)	(118, 0.1478552974236572)	(120, 0.16447114419409137)	(122, 0.18126573286179792)	(124, 0.19956890314248277)	(126, 0.22067474637239745)	(128, 0.2464207292555014)	(130, 0.27360379699267473)	(132, 0.301323090421665)	(134, 0.3315662194401403)	(136, 0.3659990585306787)	(138, 0.40763162124334584)
M145_2_3_1 - polya	(1, 0.09586285434508683)	(2, 0.09710689795010212)	(3, 0.09786476359453673)	(4, 0.09832234285155385)	(5, 0.09877992210857098)	(6, 0.09928039942093345)	(7, 0.09983807414042306)	(8, 0.10082472941336623)	(9, 0.10175418727918226)	(10, 0.102769441255689)	(12, 0.1037203481491777)	(14, 0.10419937643386751)	(16, 0.10456400990430302)	(18, 0.10480709888459336)	(20, 0.10507878656844728)	(22, 0.10527182781750138)	(24, 0.10533617490051941)	(26, 0.105429120687101)	(28, 0.1055363658254644)	(30, 0.10560071290848244)	(32, 0.10567935934328225)	(34, 0.10578660448164563)	(36, 0.10580805350931832)	(38, 0.10587240059233635)	(40, 0.10599394508248153)	(42, 0.10613693860029938)	(44, 0.10626563276633544)	(46, 0.10647297336717132)	(48, 0.10662311656088005)	(50, 0.10674466105102523)	(52, 0.1067804094304797)	(54, 0.1068662055411704)	(56, 0.10700204938309736)	(58, 0.10715219257680611)	(60, 0.10728088674284217)	(62, 0.10733093447407843)	(64, 0.10746677831600537)	(66, 0.10755972410258699)	(68, 0.10765981956505948)	(70, 0.10778851373109555)	(72, 0.10799585433193143)	(74, 0.10819604525687641)	(76, 0.10828899104345802)	(78, 0.10836763747825784)	(80, 0.1084820322925121)	(82, 0.1085821277549846)	(84, 0.10867507354156622)	(86, 0.10873227094869337)	(88, 0.10883236641116585)	(90, 0.10899680895665638)	(92, 0.10912550312269245)	(94, 0.10928279599229207)	(96, 0.10949728626901886)	(98, 0.10969747719396385)	(100, 0.10987621909123615)	(102, 0.11005496098850848)	(104, 0.11019080483043542)	(106, 0.11034809770003506)	(108, 0.11052683959730739)	(110, 0.1106984318186888)	(112, 0.11083427566061575)	(114, 0.11102016723377896)	(116, 0.11114171172392413)	(118, 0.11124180718639662)	(120, 0.11143484843545072)	(122, 0.11157784195326857)	(124, 0.11181378125766803)	(126, 0.11204257088617658)	(128, 0.11227851019057605)	(130, 0.11247155143963014)	(132, 0.11266459268868423)	(134, 0.11293628037253815)	(136, 0.11328661449119189)	(138, 0.11357260152682758)
M145_2_3_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00021449027672677543)	(4, 0.0007149675890892514)	(5, 0.001515731288869213)	(6, 0.0033317489651559116)	(7, 0.00529076015926046)	(8, 0.007092478483765374)	(9, 0.010667316429211631)	(10, 0.013956167339022187)	(12, 0.016701642881124912)	(14, 0.01876789921359285)	(16, 0.02093425100853328)	(18, 0.022764568036601766)	(20, 0.024837974044960593)	(22, 0.0271258703300462)	(24, 0.029978591010512312)	(26, 0.03280986266330575)	(28, 0.035140657003736704)	(30, 0.03747860102005856)	(32, 0.039594905083762746)	(34, 0.04217593808037494)	(36, 0.044613977559169286)	(38, 0.047144962824545236)	(40, 0.049790342904175465)	(42, 0.0525286687703873)	(44, 0.055159749498235745)	(46, 0.05815546369651971)	(48, 0.06154441006880276)	(50, 0.06469741713668636)	(52, 0.067714580362643)	(54, 0.07066739650558161)	(56, 0.07370600875921093)	(58, 0.0769805603172397)	(60, 0.08021936349581402)	(62, 0.08322222736998887)	(64, 0.08616074416114569)	(66, 0.08940669701561088)	(68, 0.09234521380676772)	(70, 0.09534092800505167)	(72, 0.09786476359453673)	(74, 0.10085332811692979)	(76, 0.10388479069466823)	(78, 0.10699489970720646)	(80, 0.11013360742330829)	(82, 0.11362264925806384)	(84, 0.11704734400980135)	(86, 0.12020750075357584)	(88, 0.12351780069105908)	(90, 0.12669225678661536)	(92, 0.12945203168049985)	(94, 0.1326622361555106)	(96, 0.1362656728045204)	(98, 0.13986195977763938)	(100, 0.14283622494825066)	(102, 0.14636101516246064)	(104, 0.15030763625423332)	(106, 0.15350354137746228)	(108, 0.15742156376567137)	(110, 0.16144683129224385)	(112, 0.16506456729303548)	(114, 0.16896114065357187)	(116, 0.1731580004015258)	(118, 0.1771689685763165)	(120, 0.18068660911463563)	(122, 0.18446163798502685)	(124, 0.18852265389105383)	(126, 0.19300550067464342)	(128, 0.19765993967961443)	(130, 0.20271476053447546)	(132, 0.20814851421155378)	(134, 0.213853955572486)	(136, 0.21903032091749217)	(138, 0.22461421778827922)
M145_2_3_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 4.2898055345355084e-05)	(4, 8.579611069071017e-05)	(5, 0.00012869416603606527)	(6, 0.00024308898029034548)	(7, 0.00032888509098105565)	(8, 0.0004575792570171209)	(9, 0.000500477312362476)	(10, 0.0006005727748349712)	(12, 0.0006577701819621112)	(14, 0.000765015320325499)	(16, 0.0009580565693795968)	(18, 0.0011224991148701246)	(20, 0.001294091336251545)	(22, 0.0015443299924327832)	(24, 0.0017588202691595585)	(26, 0.0021806511467222164)	(28, 0.00244518915468524)	(30, 0.002631080727848445)	(32, 0.002931367115265931)	(34, 0.0032459528544652016)	(36, 0.003646334704355182)	(38, 0.004003818498899808)	(40, 0.0043899009970080035)	(42, 0.004833180902243339)	(44, 0.005247862103915105)	(46, 0.005755489092168473)	(48, 0.006263116080421842)	(50, 0.0068207907999114584)	(52, 0.007578656444346065)	(54, 0.008479515606598521)	(56, 0.009387524444741871)	(58, 0.01006674365437666)	(60, 0.010681615780993416)	(62, 0.011553876239682303)	(64, 0.012533381836734577)	(66, 0.013727377710513626)	(68, 0.014749781362911257)	(70, 0.016315560383016715)	(72, 0.01763110074694094)	(74, 0.019061035925119443)	(76, 0.020576767213988656)	(78, 0.022256941048348397)	(80, 0.024330347056707224)	(82, 0.026425202092738735)	(84, 0.02898478606167825)	(86, 0.03188755447338061)	(88, 0.03475457450562851)	(90, 0.038093473146675313)	(92, 0.042004345858993514)	(94, 0.04612255917214761)	(96, 0.050776998177118636)	(98, 0.055953363522124815)	(100, 0.06175890034552954)	(102, 0.06835805119282333)	(104, 0.07595815666484207)	(106, 0.08447342065089505)	(108, 0.09333186907971089)	(110, 0.1032413198644879)	(112, 0.11494533929787895)	(114, 0.12662076002770645)	(116, 0.13961887079734903)	(118, 0.15399686901393386)	(120, 0.17091300217178557)	(122, 0.18807937398581848)	(124, 0.20616805398977656)	(126, 0.22764568036601765)	(128, 0.25387069153381137)	(130, 0.2809536638085122)	(132, 0.3088659984865566)	(134, 0.3392235223192862)	(136, 0.37367781043749726)	(138, 0.4162326813400895)
