Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
M145_1_1_1 - illumina_universal_adapter	(1, 6.932262917994657e-05)	(2, 6.932262917994657e-05)	(3, 9.70516808519252e-05)	(4, 0.00018023883586786108)	(5, 0.0003743421975717115)	(6, 0.0005545810334395726)	(7, 0.0006239036626195191)	(8, 0.0007209553434714443)	(9, 0.0007625489209794122)	(10, 0.0008110747614053749)	(12, 0.0009427877568472734)	(14, 0.0010606362264531826)	(16, 0.0013032654285829955)	(18, 0.0014904365273688512)	(20, 0.001615217259892755)	(22, 0.001781591569924627)	(24, 0.0019271690912025146)	(26, 0.0020866111383163917)	(28, 0.002266849974184253)	(30, 0.00253027596506805)	(32, 0.002745176115525884)	(34, 0.0030016698434916864)	(36, 0.003251231308539494)	(38, 0.00354238635109527)	(40, 0.003715692924045136)	(42, 0.004041509281190885)	(44, 0.0042772062204027034)	(46, 0.004609954840466447)	(48, 0.005053619667218105)	(50, 0.0056151329635756725)	(52, 0.006204375311605218)	(54, 0.0067104305046188275)	(56, 0.007251147012222412)	(58, 0.00788891520067792)	(60, 0.008547480177887413)	(62, 0.009254570995522866)	(64, 0.010072578019846238)	(66, 0.0108975173070876)	(68, 0.01177098243475493)	(70, 0.012873212238716078)	(72, 0.014218071244807041)	(74, 0.015722372298011884)	(76, 0.017171215247872768)	(78, 0.01871017761566758)	(80, 0.020443243345166243)	(82, 0.0221901736005009)	(84, 0.024436226785931166)	(86, 0.02675160260054138)	(88, 0.029157097833085528)	(90, 0.03229741293493711)	(92, 0.03550011840305064)	(94, 0.03938218563712764)	(96, 0.04374257901254629)	(98, 0.04901109883022223)	(100, 0.05446678974668402)	(102, 0.06026909380904555)	(104, 0.06684781131822248)	(106, 0.07450102957968857)	(108, 0.08268109982292227)	(110, 0.09242092922270476)	(112, 0.10286091717720472)	(114, 0.11472201902989358)	(116, 0.1283023220862451)	(118, 0.14320668735993364)	(120, 0.16012140887984058)	(122, 0.17806903757452874)	(124, 0.19789530951999346)	(126, 0.2199191088104625)	(128, 0.2456239397103867)	(130, 0.272528052095124)	(132, 0.30432634209996545)	(134, 0.33861331449236703)	(136, 0.37625550213707804)	(138, 0.4181956927909457)
M145_1_1_1 - polya	(1, 0.12514121019563956)	(2, 0.12641674657255056)	(3, 0.12722088907103796)	(4, 0.1277754701044775)	(5, 0.12826072850873715)	(6, 0.1289816838522086)	(7, 0.12945307773063222)	(8, 0.1300076587640718)	(9, 0.13121387251180286)	(10, 0.132350763630354)	(12, 0.13341139985680717)	(14, 0.1340214389935907)	(16, 0.13434032308781846)	(18, 0.13463841039329222)	(20, 0.13487410733250405)	(22, 0.1350820752200439)	(24, 0.13529697537050173)	(26, 0.13544948515469762)	(28, 0.13562279172764746)	(30, 0.13576836924892538)	(32, 0.13587928545561329)	(34, 0.13602486297689115)	(36, 0.1361149823948251)	(38, 0.13633681480820092)	(40, 0.13646852780364283)	(42, 0.13669036021701864)	(44, 0.1368844635787225)	(46, 0.13712709278085233)	(48, 0.13741824782340809)	(50, 0.13770940286596386)	(52, 0.1379104384905857)	(54, 0.13807681280061757)	(56, 0.13825705163648544)	(58, 0.1384650195240253)	(60, 0.1386729874115651)	(62, 0.13892254887661293)	(64, 0.1390819909237268)	(66, 0.13926222975959468)	(68, 0.13953258801339646)	(70, 0.1396019106425764)	(72, 0.13968509779759233)	(74, 0.13976135268969028)	(76, 0.13993465926264015)	(78, 0.14012876262434398)	(80, 0.14028127240853988)	(82, 0.14046151124440776)	(84, 0.1406278855544396)	(86, 0.1407803953386355)	(88, 0.14096756643742137)	(90, 0.14108541490702725)	(92, 0.14121019563955117)	(94, 0.14134884089791105)	(96, 0.1415568087854509)	(98, 0.14173011535840074)	(100, 0.14186876061676068)	(102, 0.14204206718971052)	(104, 0.14222923828849637)	(106, 0.14238174807269227)	(108, 0.14252732559397013)	(110, 0.14265903858941203)	(112, 0.14279768384777194)	(114, 0.1429709904207218)	(116, 0.1431304324678357)	(118, 0.14329680677786755)	(120, 0.14342158751039147)	(122, 0.14356716503166936)	(124, 0.14371274255294725)	(126, 0.14392764270340508)	(128, 0.14405935569884698)	(130, 0.1442742558493048)	(132, 0.14450995278851664)	(134, 0.14479417556815438)	(136, 0.14500214345569423)	(138, 0.145314095287004)
M145_1_1_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00036047767173572217)	(4, 0.00101211038602722)	(5, 0.0022321886595942798)	(6, 0.0050605519301361)	(7, 0.007417521322254283)	(8, 0.00989927144689637)	(9, 0.015001416954540438)	(10, 0.019521252377072956)	(12, 0.023181487197774134)	(14, 0.025892001998710043)	(16, 0.028838213738857775)	(18, 0.031472473647695745)	(20, 0.03439788859908949)	(22, 0.03725398092130329)	(24, 0.03997836024807519)	(26, 0.042529433001897224)	(28, 0.045884648254206635)	(30, 0.04908735372232017)	(32, 0.05227619466459771)	(34, 0.055319458085597364)	(36, 0.058549892605382875)	(38, 0.06223785647775604)	(40, 0.06602287203098112)	(42, 0.06952366480456842)	(44, 0.07267784443225599)	(46, 0.07600533063289341)	(48, 0.0797764816602825)	(50, 0.08343671648098369)	(52, 0.08733264824089669)	(54, 0.0913464284704156)	(56, 0.09540180227744247)	(58, 0.09969287302368116)	(60, 0.10374824683070805)	(62, 0.10776895932314495)	(64, 0.11210855590980959)	(66, 0.11599062314388661)	(68, 0.11965085796458778)	(70, 0.12353985746158279)	(72, 0.12684654687346625)	(74, 0.13056917206042937)	(76, 0.1344304425057524)	(78, 0.13943553633254452)	(80, 0.1441564073796989)	(82, 0.14801074556210392)	(84, 0.1515669964390352)	(86, 0.15497073753177057)	(88, 0.1584230044649319)	(90, 0.16188913592392923)	(92, 0.16529287701666462)	(94, 0.16940370892703543)	(96, 0.1729530275410487)	(98, 0.17659939783591388)	(100, 0.18065477164294078)	(102, 0.18404464820984018)	(104, 0.18816241238312897)	(106, 0.19205141188012398)	(108, 0.19657124730265652)	(110, 0.2006196888467654)	(112, 0.20479984338631615)	(114, 0.20913943997298082)	(116, 0.21393656591223312)	(118, 0.21878221769191136)	(120, 0.22335057895486987)	(122, 0.22760698838651858)	(124, 0.23245264016619682)	(126, 0.23719430800210517)	(128, 0.24178346605381765)	(130, 0.24641421768303806)	(132, 0.2515302277165181)	(134, 0.2573741253563876)	(136, 0.26360622971966485)	(138, 0.26984526634586004)
M145_1_1_2 - illumina_universal_adapter	(1, 6.932262917994657e-05)	(2, 6.932262917994657e-05)	(3, 9.70516808519252e-05)	(4, 0.00018023883586786108)	(5, 0.0003743421975717115)	(6, 0.0005684455592755618)	(7, 0.0006516327142914978)	(8, 0.0007348198693074337)	(9, 0.0007902779726513909)	(10, 0.0008388038130773534)	(12, 0.000991313597273236)	(14, 0.0011299588556331292)	(16, 0.0014003171094349206)	(18, 0.0016498785744827283)	(20, 0.001837049673268584)	(22, 0.0020103562462184506)	(24, 0.0022321886595942798)	(26, 0.0025164114392320605)	(28, 0.0028214310076238253)	(30, 0.0031680441535235585)	(32, 0.003514657299423291)	(34, 0.003875134971159013)	(36, 0.0042425449058127295)	(38, 0.004623819366302436)	(40, 0.004970432512202169)	(42, 0.0054972844939697625)	(44, 0.005878558954459469)	(46, 0.006343020569965111)	(48, 0.0069530597067486415)	(50, 0.007653218261466101)	(52, 0.008388038130773535)	(54, 0.009053535370901023)	(56, 0.009843813343552412)	(58, 0.010613294527449819)	(60, 0.011313453082167281)	(62, 0.012117595580654662)	(64, 0.01305345107458394)	(66, 0.013906119413497283)	(68, 0.01497368790286846)	(70, 0.016228427491025495)	(72, 0.017691134966722366)	(74, 0.019334081278287098)	(76, 0.020935434012343865)	(78, 0.02264077069017055)	(80, 0.02445702357468515)	(82, 0.02635646361421569)	(84, 0.028644110377153923)	(86, 0.03102880882094409)	(88, 0.03359374610060211)	(90, 0.036740993465371685)	(92, 0.0398327827267973)	(94, 0.043770308064218263)	(96, 0.048227753120488825)	(98, 0.053641850459442655)	(100, 0.05909754137590445)	(102, 0.06488598091243)	(104, 0.07154788557662287)	(106, 0.07924269741559692)	(108, 0.08735344502965067)	(110, 0.09707940990359717)	(112, 0.10763724632770305)	(114, 0.11936663518495)	(116, 0.13292614145254755)	(118, 0.1477681163599741)	(120, 0.16448873451817722)	(122, 0.1824294309499474)	(124, 0.2021586512145602)	(126, 0.22404380524666934)	(128, 0.24953373599613565)	(130, 0.2766458162684128)	(132, 0.3085688870057782)	(134, 0.3426201624589679)	(136, 0.3802692823665969)	(138, 0.42210548907669465)
M145_1_1_2 - polyg	(1, 0.18457843245452574)	(2, 0.19325762562785506)	(3, 0.19469953631479794)	(4, 0.1967098925610164)	(5, 0.19910845553064255)	(6, 0.2040719557799267)	(7, 0.20927115296842272)	(8, 0.2136939367101033)	(9, 0.22163831001412518)	(10, 0.23007487398532467)	(12, 0.2388511188395059)	(14, 0.2449515102073412)	(16, 0.25085779821347265)	(18, 0.25627189555242647)	(20, 0.2612076667500387)	(22, 0.26583841837925914)	(24, 0.26995618255254794)	(26, 0.27409474351459073)	(28, 0.27754007818483406)	(30, 0.2810686000100934)	(32, 0.28419505058610894)	(34, 0.28710660101166674)	(36, 0.2896854028171607)	(38, 0.29228500141140873)	(40, 0.29462117401477295)	(42, 0.29690188851479316)	(44, 0.2992519256439934)	(46, 0.3013801303598177)	(48, 0.30361925128233)	(50, 0.30598315293736617)	(52, 0.30831239327781235)	(54, 0.3107525498249465)	(56, 0.31292928038119683)	(58, 0.31511987546328313)	(60, 0.3169777219253057)	(62, 0.3188632974390002)	(64, 0.32094990857731664)	(66, 0.32300879066396104)	(68, 0.32506767275060544)	(70, 0.3272444033068558)	(72, 0.32949045649228603)	(74, 0.3320692582977801)	(76, 0.3344886180561602)	(78, 0.3366514840865745)	(80, 0.3388836727461688)	(82, 0.3411366581945171)	(84, 0.3432856596990954)	(86, 0.34583673245291746)	(88, 0.34858190856844334)	(90, 0.35113991358518337)	(92, 0.35375337670526735)	(94, 0.35680357238918503)	(96, 0.35932691609133505)	(98, 0.36166308869469926)	(100, 0.3639091418801295)	(102, 0.36639782426768963)	(104, 0.36885184534065973)	(106, 0.3718188538695614)	(108, 0.3742798072054495)	(110, 0.37687247353677955)	(112, 0.3796384464410594)	(114, 0.3826193194957971)	(116, 0.38553780218427286)	(118, 0.38808887493809485)	(120, 0.39073699937276885)	(122, 0.3932880721265909)	(124, 0.39630360649591856)	(126, 0.3992290214473123)	(128, 0.40200885887742815)	(130, 0.4050521222984278)	(132, 0.40810925024526346)	(134, 0.411305023450459)	(136, 0.41476422264653834)	(138, 0.41796692811465186)
M145_1_2_1 - illumina_universal_adapter	(1, 1.4595418644041822e-05)	(2, 1.4595418644041822e-05)	(3, 2.9190837288083643e-05)	(4, 7.29770932202091e-05)	(5, 0.0001313587677963764)	(6, 0.00017514502372850186)	(7, 0.0002043358610165855)	(8, 0.00023352669830466915)	(9, 0.0002773129542367946)	(10, 0.0003575877567790246)	(12, 0.000488946524575401)	(14, 0.0006203052923717774)	(16, 0.0007151755135580492)	(18, 0.0008392365720324047)	(20, 0.0009268090838966557)	(22, 0.0010946563983031366)	(24, 0.0011603357822013247)	(26, 0.0012625037127096176)	(28, 0.0014084578991500358)	(30, 0.001634686888132684)	(32, 0.0018901067144034159)	(34, 0.0021893127966062732)	(36, 0.0024739234601650886)	(38, 0.0026709616118596536)	(40, 0.002933679147452406)	(42, 0.0032401829389772843)	(44, 0.003539389021180142)	(46, 0.003896976777959166)	(48, 0.004196182860162024)	(50, 0.0047216179313475295)	(52, 0.005320030095753244)	(54, 0.005954930806769064)	(56, 0.006356304819480213)	(58, 0.0069693124025299695)	(60, 0.0077063810440540816)	(62, 0.00840696113896809)	(64, 0.009304579385576661)	(66, 0.010114625120320981)	(68, 0.01104873191353966)	(70, 0.012209067695740983)	(72, 0.013362105768620288)	(74, 0.014661098027940009)	(76, 0.016011174252513877)	(78, 0.0176239680126805)	(80, 0.019360822831321477)	(82, 0.021396883732165313)	(84, 0.02387810490165242)	(86, 0.02650528025757995)	(88, 0.029519234207574584)	(90, 0.03278860798383995)	(92, 0.03648124890078253)	(94, 0.040896363040605184)	(96, 0.045610683262630694)	(98, 0.05139046904567125)	(100, 0.05741837694566053)	(102, 0.06382576573039489)	(104, 0.0711599635990259)	(106, 0.08004127584392536)	(108, 0.08964506131170487)	(110, 0.09993483145575435)	(112, 0.11243580752437618)	(114, 0.1258416995489286)	(116, 0.14053198841415668)	(118, 0.15604691843277313)	(120, 0.1747728405530788)	(122, 0.19465180074626376)	(124, 0.21758120343605344)	(126, 0.24350996465719377)	(128, 0.27278837445714166)	(130, 0.3045480054265767)	(132, 0.3394383536951586)	(134, 0.37745212155356556)	(136, 0.4202604844365402)	(138, 0.46898728957967384)
M145_1_2_1 - polya	(1, 0.09088567189644843)	(2, 0.09193654203881943)	(3, 0.09273929006424174)	(4, 0.09308958011169874)	(5, 0.0936004197642402)	(6, 0.09403828232356146)	(7, 0.09447614488288271)	(8, 0.09533727458288117)	(9, 0.09589190049135476)	(10, 0.09672383935406514)	(12, 0.09734414464643693)	(14, 0.09768713698457192)	(16, 0.09794255681084264)	(18, 0.09824906060236752)	(20, 0.09840231249812996)	(22, 0.09865043461507868)	(24, 0.09881098422016313)	(26, 0.09899342695321366)	(28, 0.099110190302366)	(30, 0.09923425136084035)	(32, 0.09940209867524682)	(34, 0.09966481621083959)	(36, 0.09977428185066989)	(38, 0.09989834290914425)	(40, 0.1000224039676186)	(42, 0.10019754899134711)	(44, 0.1003726940150756)	(46, 0.10051135049219401)	(48, 0.10076677031846473)	(50, 0.1009638084701593)	(52, 0.10113165578456579)	(54, 0.10126301455236215)	(56, 0.10148194583202279)	(58, 0.10173736565829351)	(60, 0.10184683129812383)	(62, 0.10202927403117436)	(64, 0.10215333508964872)	(66, 0.10233577782269923)	(68, 0.10255470910235986)	(70, 0.10272255641676634)	(72, 0.10287580831252878)	(74, 0.10302906020829122)	(76, 0.10316771668540961)	(78, 0.10329907545320599)	(80, 0.10348881589557854)	(82, 0.10359828153540886)	(84, 0.10377342655913735)	(86, 0.10391938074557777)	(88, 0.10415290744388245)	(90, 0.10432805246761094)	(92, 0.10443751810744126)	(94, 0.1046637470964239)	(96, 0.10482429670150836)	(98, 0.10489727379472857)	(100, 0.10503593027184698)	(102, 0.10518188445828738)	(104, 0.10529864780743972)	(106, 0.10543730428455812)	(108, 0.10562704472693066)	(110, 0.10576570120404906)	(112, 0.1058824645532014)	(114, 0.10596273935574363)	(116, 0.10605031186760788)	(118, 0.10619626605404829)	(120, 0.10636411336845478)	(122, 0.10645898358964105)	(124, 0.10660493777608146)	(126, 0.10680197592777603)	(128, 0.10694063240489443)	(130, 0.10709388430065686)	(132, 0.10736389954557164)	(134, 0.10761931937184237)	(136, 0.10783095294218098)	(138, 0.10813745673370585)
M145_1_2_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002919083728808364)	(4, 0.0007005800949140074)	(5, 0.001298992259319722)	(6, 0.002977465403384532)	(7, 0.004962442338974219)	(8, 0.0067284879949032796)	(9, 0.010464915167777986)	(10, 0.013829159165229626)	(12, 0.016324975753360775)	(14, 0.018288059560984404)	(16, 0.020324120461828236)	(18, 0.022265311141485798)	(20, 0.024841402532159183)	(22, 0.02716937180588385)	(24, 0.02949734107960852)	(26, 0.03205883705163786)	(28, 0.035233340606716956)	(30, 0.038006470149084905)	(32, 0.04058256153975828)	(34, 0.043136759802465605)	(36, 0.04642802670669703)	(38, 0.05004039282109739)	(40, 0.05329517117871871)	(42, 0.056710499141424495)	(44, 0.05969526225413105)	(46, 0.06297193373971843)	(48, 0.06632158231852603)	(50, 0.06993394843292638)	(52, 0.07296249780156508)	(54, 0.07647269598545713)	(56, 0.0807564513574834)	(58, 0.08443449685578194)	(60, 0.08799577900492814)	(62, 0.09136002300237978)	(64, 0.09502347308203428)	(66, 0.09835122853287581)	(68, 0.10154032750659896)	(70, 0.10482429670150836)	(72, 0.10766310562777451)	(74, 0.11054570080997275)	(76, 0.11372750207437388)	(78, 0.11832505894724704)	(80, 0.12248475326079897)	(82, 0.1256738522345221)	(84, 0.1284031955209579)	(86, 0.13129308841247822)	(88, 0.1344967828048454)	(90, 0.13762750010399236)	(92, 0.14059766779805488)	(94, 0.14398380492347257)	(96, 0.14733345350228017)	(98, 0.15084365168617223)	(100, 0.1545727811497249)	(102, 0.15770349844887188)	(104, 0.16110423099293364)	(106, 0.1649282306776726)	(108, 0.1689784593513942)	(110, 0.1724740621166422)	(112, 0.17629806180138116)	(114, 0.180435862986967)	(116, 0.1843766260208583)	(118, 0.18797439671661462)	(120, 0.19137512926067637)	(122, 0.19552022815558423)	(124, 0.19958505224794987)	(126, 0.2036352809216715)	(128, 0.20799931109624)	(130, 0.21245091378267275)	(132, 0.21764688281995165)	(134, 0.22325882128858573)	(136, 0.2291480727114566)	(138, 0.23481839285466685)
M145_1_2_2 - illumina_universal_adapter	(1, 1.4595418644041822e-05)	(2, 1.4595418644041822e-05)	(3, 2.9190837288083643e-05)	(4, 7.29770932202091e-05)	(5, 0.00011676334915233457)	(6, 0.00016054960508446003)	(7, 0.0001897404423725437)	(8, 0.00021893127966062732)	(9, 0.0002627175355927528)	(10, 0.0003429923381349828)	(12, 0.0004816488152533801)	(14, 0.0006203052923717774)	(16, 0.0006932823855919865)	(18, 0.0008538319906764465)	(20, 0.0009851907584728231)	(22, 0.0011968243288114295)	(24, 0.0013281830966078057)	(26, 0.0014522441550821612)	(28, 0.0016784731440648093)	(30, 0.001948488388979583)	(32, 0.0023206715644026495)	(34, 0.0027147478677917785)	(36, 0.003086931043214845)	(38, 0.003371541706773661)	(40, 0.003692640916942581)	(42, 0.004145098894907877)	(44, 0.004575663744907111)	(46, 0.005079205688126554)	(48, 0.005582747631345997)	(50, 0.006283327726260004)	(52, 0.006954716983885928)	(54, 0.007728274172020145)	(56, 0.008282900080493732)	(58, 0.008961587047441679)	(60, 0.009822716747440147)	(62, 0.010698441866082656)	(64, 0.011690930333877499)	(66, 0.01258125087116405)	(68, 0.013595632466924957)	(70, 0.014792456795736385)	(72, 0.016062258217768022)	(74, 0.017478013826240084)	(76, 0.01890106714403416)	(78, 0.020623326544031095)	(80, 0.022484242421146425)	(82, 0.024615173543176532)	(84, 0.0270817992940196)	(86, 0.029760058615201274)	(88, 0.03277401256519591)	(90, 0.036065279469427336)	(92, 0.03978711122365801)	(94, 0.0442168207821247)	(96, 0.04902601122533648)	(98, 0.05490066722956331)	(100, 0.06103074306006088)	(102, 0.06752570435665949)	(104, 0.07505694037698507)	(106, 0.08400393200578271)	(108, 0.09344716786847776)	(110, 0.1038609990710016)	(112, 0.11636927284894544)	(114, 0.1296875923616336)	(116, 0.14442896519211584)	(118, 0.15976875018700382)	(120, 0.17842169521408924)	(122, 0.19820578518608795)	(124, 0.22123005809706392)	(126, 0.24742153685379698)	(128, 0.2769918550266257)	(130, 0.30849606616979)	(132, 0.3434374984036261)	(134, 0.38164830441372755)	(136, 0.4248434458907694)	(138, 0.4740008158839022)
M145_1_2_2 - polyg	(1, 0.18031180192849267)	(2, 0.18771167918102186)	(3, 0.18902526685898563)	(4, 0.1902366866064411)	(5, 0.19217787728609867)	(6, 0.19587051820304124)	(7, 0.19912529656066258)	(8, 0.20264279245387665)	(9, 0.20826202863183274)	(10, 0.21419506631063576)	(12, 0.2202886535945232)	(14, 0.22479134024621011)	(16, 0.22848398116315272)	(18, 0.2318774159978924)	(20, 0.23535112563517438)	(22, 0.23863509483008377)	(24, 0.2413206518605875)	(26, 0.2440572928563453)	(28, 0.24635607129278192)	(30, 0.24904892603260761)	(32, 0.2511287731893836)	(34, 0.25301158219446496)	(36, 0.25514251331649507)	(38, 0.2572369558919151)	(40, 0.25946275723513146)	(42, 0.2612871845656367)	(44, 0.26304593251224373)	(46, 0.2648484667147829)	(48, 0.26658532153342385)	(50, 0.26840245115460704)	(52, 0.2699641609495196)	(54, 0.27181777911731286)	(56, 0.273948710239343)	(58, 0.2752987864639168)	(60, 0.2768313054215412)	(62, 0.2785462671122162)	(64, 0.2803488013147553)	(66, 0.28204186987746416)	(68, 0.2839684651384777)	(70, 0.28556666348000026)	(72, 0.28716486182152284)	(74, 0.28930309065287496)	(76, 0.29141942635626106)	(78, 0.2932292582681222)	(80, 0.29514125811049174)	(82, 0.29695109002235287)	(84, 0.29880470819014615)	(86, 0.3009283416028543)	(88, 0.3028914254104779)	(90, 0.3048034252528474)	(92, 0.30703652430538575)	(94, 0.3094301729630086)	(96, 0.3118019284926654)	(98, 0.3139182641960515)	(100, 0.3160929815740138)	(102, 0.31836256917316225)	(104, 0.32078540866807315)	(106, 0.32344907257061084)	(108, 0.32584272122823366)	(110, 0.3283239423977208)	(112, 0.330841652113818)	(114, 0.3333958503765253)	(116, 0.33599383489516477)	(118, 0.33865749879770235)	(120, 0.34135765124685014)	(122, 0.3439337426375235)	(124, 0.3463492844231124)	(126, 0.34866995598751505)	(128, 0.35120226112225633)	(130, 0.35396079524598023)	(132, 0.35695285606800886)	(134, 0.3597040924824107)	(136, 0.3626377716298631)	(138, 0.3658195728942642)
