bgc_name	n_unattr_6mA	length	bgc_frac_genome	obs_frac_unattr	enrichment
cda	16	82871	0.009561111401467573	0.009557945041816009	0.9996688293317995
cpk	7	47516	0.005482083833332929	0.004181600955794504	0.7627758135271394
act	4	21282	0.00245537730745415	0.0023894862604540022	0.9731645939709092
red	2	31394	0.0036220334174521	0.0011947431302270011	0.32985425382061684
