motif_group	category	n_sites	observed	expected	fold_enrichment	odds_ratio	OR_CI_low	OR_CI_high	p_value	direction	p_bonferroni
GCCGGC_4mC_T1	Regulatory/TF	1299	77	126.7	0.61	0.583	0.458	0.742	3.938490530764812e-06	depleted	3.938490530764812e-05
GCCGGC_4mC_T1	Hypothetical	1299	97	172.9	0.56	0.526	0.423	0.653	4.86108421673312e-10	depleted	4.86108421673312e-09
GCCGGC_4mC_T1	Primary metabolism	1299	357	291.4	1.22	1.31	1.147	1.496	8.166631664957444e-05	enriched	0.0008166631664957444
GCCGGC_4mC_T1	Other	1299	404	433.8	0.93	0.9	0.794	1.022	0.10501284247567844	depleted	1.0
GCCGGC_4mC_T1	Transport	1299	157	108.0	1.45	1.516	1.26	1.823	1.8840083609441794e-05	enriched	0.00018840083609441796
GCCGGC_4mC_T1	DNA/RNA metabolism	1299	78	63.8	1.22	1.236	0.962	1.587	0.10151995586133906	enriched	1.0
GCCGGC_4mC_T1	Stress/Defense	1299	46	40.8	1.13	1.133	0.823	1.56	0.44389653847208277	enriched	1.0
GCCGGC_4mC_T1	Secondary metabolism	1299	54	34.3	1.58	1.6	1.18	2.171	0.00383956941895406	enriched	0.0383956941895406
GCCGGC_4mC_T1	Translation	1299	9	15.6	0.58	0.574	0.289	1.14	0.119670293355683	depleted	1.0
GCCGGC_4mC_T1	Membrane/Cell wall	1299	20	11.7	1.71	1.721	1.045	2.834	0.047420755059626576	enriched	0.47420755059626574
GCCGGC_4mC_T2	Regulatory/TF	413	31	40.3	0.77	0.751	0.517	1.091	0.1458556661193765	depleted	1.0
GCCGGC_4mC_T2	Hypothetical	413	35	55.0	0.64	0.603	0.424	0.858	0.003443830257234614	depleted	0.03443830257234614
GCCGGC_4mC_T2	Primary metabolism	413	118	92.7	1.27	1.383	1.11	1.723	0.004610036641237736	enriched	0.04610036641237736
GCCGGC_4mC_T2	Other	413	131	137.9	0.95	0.927	0.749	1.146	0.5206395857046103	depleted	1.0
GCCGGC_4mC_T2	Transport	413	55	34.3	1.6	1.694	1.261	2.274	0.0008025637846681113	enriched	0.008025637846681113
GCCGGC_4mC_T2	DNA/RNA metabolism	413	16	20.3	0.79	0.78	0.468	1.298	0.41077760959831955	depleted	1.0
GCCGGC_4mC_T2	Stress/Defense	413	6	13.0	0.46	0.455	0.201	1.028	0.05515185212765075	depleted	0.5515185212765075
GCCGGC_4mC_T2	Secondary metabolism	413	18	10.9	1.65	1.681	1.028	2.749	0.04310687885213384	enriched	0.43106878852133834
GCCGGC_4mC_T2	Translation	413	0	5.0	0.0	0.0	0.0	inf	0.014916465835927241	depleted	0.1491646583592724
GCCGGC_4mC_T2	Membrane/Cell wall	413	3	3.7	0.81	0.805	0.253	2.567	1.0	depleted	1.0
GCCGGC_4mC_T3	Regulatory/TF	21	3	2.0	1.46	1.542	0.453	5.246	0.4528108156708277	enriched	1.0
GCCGGC_4mC_T3	Hypothetical	21	1	2.8	0.36	0.326	0.044	2.43	0.34740735276909196	depleted	1.0
GCCGGC_4mC_T3	Primary metabolism	21	5	4.7	1.06	1.08	0.395	2.953	0.7979631773646751	enriched	1.0
GCCGGC_4mC_T3	Other	21	6	7.0	0.86	0.798	0.309	2.059	0.8176341860875243	depleted	1.0
GCCGGC_4mC_T3	Transport	21	2	1.7	1.15	1.16	0.27	4.993	0.6923963261938995	enriched	1.0
GCCGGC_4mC_T3	DNA/RNA metabolism	21	2	1.0	1.94	2.036	0.473	8.774	0.2772385099858964	enriched	1.0
GCCGGC_4mC_T3	Stress/Defense	21	0	0.7	0.0	0.0	0.0	inf	1.0	depleted	1.0
GCCGGC_4mC_T3	Secondary metabolism	21	2	0.6	3.61	3.884	0.899	16.781	0.10611171358812206	enriched	1.0
GCCGGC_4mC_T3	Translation	21	0	0.3	0.0	0.0	0.0	inf	1.0	depleted	1.0
GCCGGC_4mC_T3	Membrane/Cell wall	21	0	0.2	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T1	Regulatory/TF	101	7	9.9	0.71	0.689	0.319	1.49	0.401517361947767	depleted	1.0
CCGG_other_4mC_T1	Hypothetical	101	6	13.4	0.45	0.411	0.18	0.941	0.026166136739883994	depleted	0.26166136739883994
CCGG_other_4mC_T1	Primary metabolism	101	26	22.7	1.15	1.198	0.765	1.878	0.4038696011111158	enriched	1.0
CCGG_other_4mC_T1	Other	101	35	33.7	1.04	1.058	0.7	1.598	0.8319696302679335	enriched	1.0
CCGG_other_4mC_T1	Transport	101	3	8.4	0.36	0.337	0.107	1.067	0.06514126349407602	depleted	0.6514126349407602
CCGG_other_4mC_T1	DNA/RNA metabolism	101	14	5.0	2.82	3.113	1.755	5.524	0.0004902688713389481	enriched	0.004902688713389482
CCGG_other_4mC_T1	Stress/Defense	101	6	3.2	1.89	1.949	0.846	4.49	0.13912639202237795	enriched	1.0
CCGG_other_4mC_T1	Secondary metabolism	101	2	2.7	0.75	0.745	0.183	3.042	1.0	depleted	1.0
CCGG_other_4mC_T1	Translation	101	2	1.2	1.65	1.662	0.404	6.838	0.34642473831661313	enriched	1.0
CCGG_other_4mC_T1	Membrane/Cell wall	101	0	0.9	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T2	Regulatory/TF	39	2	3.8	0.53	0.5	0.12	2.079	0.5830094248530672	depleted	1.0
CCGG_other_4mC_T2	Hypothetical	39	5	5.2	0.96	0.958	0.374	2.455	1.0	depleted	1.0
CCGG_other_4mC_T2	Primary metabolism	39	11	8.8	1.26	1.358	0.675	2.733	0.44039299443593827	enriched	1.0
CCGG_other_4mC_T2	Other	39	10	13.0	0.77	0.688	0.335	1.414	0.3948396357884843	depleted	1.0
