site_type	timepoint	gene_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes	n_sites
All_methylation	T1	all	-4900.0	0.47052154195011336	0.4062736205593348	0.5404383975812547	2646	3918
All_methylation	T1	all	-4700.0	0.43650793650793646	0.3741024187452759	0.5045823885109598	2646	3918
All_methylation	T1	all	-4500.0	0.400604686318972	0.34386810279667424	0.4591836734693877	2646	3918
All_methylation	T1	all	-4300.0	0.4667422524565381	0.40244708994708994	0.5329270597127739	2646	3918
All_methylation	T1	all	-4100.0	0.4554043839758125	0.38359788359788355	0.5234788359788358	2646	3918
All_methylation	T1	all	-3900.0	0.4969765684051398	0.43083900226757366	0.5612244897959183	2646	3918
All_methylation	T1	all	-3700.0	0.43839758125472406	0.37981859410430835	0.5008030990173846	2646	3918
All_methylation	T1	all	-3500.0	0.4610733182161753	0.3987150415721844	0.5272108843537414	2646	3918
All_methylation	T1	all	-3300.0	0.4516250944822373	0.38737717309145875	0.5139833711262283	2646	3918
All_methylation	T1	all	-3100.0	0.47808012093726376	0.41567460317460314	0.5404383975812547	2646	3918
All_methylation	T1	all	-2900.0	0.42517006802721086	0.3684334845049131	0.48563869992441416	2646	3918
All_methylation	T1	all	-2700.0	0.4440665154950869	0.38548752834467115	0.5064720332577474	2646	3918
All_methylation	T1	all	-2500.0	0.4667422524565381	0.40433673469387754	0.5366591080876795	2646	3918
All_methylation	T1	all	-2300.0	0.48563869992441416	0.4232331821617536	0.5574924414210127	2646	3918
All_methylation	T1	all	-2100.0	0.43650793650793646	0.3778817082388511	0.4988662131519274	2646	3918
All_methylation	T1	all	-1900.0	0.48374905517762656	0.421343537414966	0.5518235071806499	2646	3918
All_methylation	T1	all	-1700.0	0.49130763416477696	0.42517006802721086	0.5536659108087679	2646	3918
All_methylation	T1	all	-1500.0	0.4572940287226001	0.3930461073318216	0.5253684807256235	2646	3918
All_methylation	T1	all	-1300.0	0.5083144368858654	0.4440192743764172	0.5744520030234316	2646	3918
All_methylation	T1	all	-1100.0	0.5309901738473166	0.4591836734693877	0.6027966742252456	2646	3918
All_methylation	T1	all	-900.0	0.4610733182161753	0.39488851095993954	0.5291477702191987	2646	3918
All_methylation	T1	all	-700.0	0.43272864701436126	0.36470143613000755	0.4969765684051398	2646	3918
All_methylation	T1	all	-500.0	0.4081632653061224	0.3476946334089191	0.4686318972033257	2646	3918
All_methylation	T1	all	-300.0	0.4516250944822373	0.38737717309145875	0.5177626606198035	2646	3918
All_methylation	T1	all	-100.0	0.37792894935752075	0.31934996220710504	0.4384448223733937	2646	3918
All_methylation	T1	all	100.0	0.3571428571428571	0.2985638699924414	0.4176587301587301	2646	3918
All_methylation	T1	all	300.0	0.43650793650793646	0.3778817082388511	0.5008030990173846	2646	3918
All_methylation	T1	all	500.0	0.42705971277399846	0.36281179138321995	0.49508692365835216	2646	3918
All_methylation	T1	all	700.0	0.48941798941798936	0.42139077853363566	0.5631141345427059	2646	3918
All_methylation	T1	all	900.0	0.5385487528344671	0.47241118669690096	0.6160714285714284	2646	3918
All_methylation	T1	all	1100.0	0.49319727891156456	0.42894935752078606	0.5631141345427059	2646	3918
All_methylation	T1	all	1300.0	0.4969765684051398	0.42894935752078606	0.5668934240362812	2646	3918
All_methylation	T1	all	1500.0	0.4686318972033257	0.4081632653061224	0.5291005291005291	2646	3918
All_methylation	T1	all	1700.0	0.5385487528344671	0.47430083144368856	0.6122921390778532	2646	3918
All_methylation	T1	all	1900.0	0.42328042328042326	0.36848072562358275	0.48752834467120176	2646	3918
All_methylation	T1	all	2100.0	0.4610733182161753	0.391156462585034	0.5348167044595614	2646	3918
All_methylation	T1	all	2300.0	0.4119425547996976	0.35520597127739983	0.470568783068783	2646	3918
All_methylation	T1	all	2500.0	0.47430083144368856	0.4043839758125472	0.5442176870748299	2646	3918
All_methylation	T1	all	2700.0	0.4459561602418745	0.37981859410430835	0.5158730158730158	2646	3918
All_methylation	T1	all	2900.0	0.3930461073318216	0.3401360544217687	0.4591836734693877	2646	3918
All_methylation	T1	all	3100.0	0.47241118669690096	0.41000566893424034	0.5366591080876795	2646	3918
All_methylation	T1	all	3300.0	0.47052154195011336	0.40811602418745274	0.5442176870748299	2646	3918
All_methylation	T1	all	3500.0	0.43650793650793646	0.37414965986394555	0.4969765684051398	2646	3918
All_methylation	T1	all	3700.0	0.43272864701436126	0.37603930461073315	0.4913548752834466	2646	3918
All_methylation	T1	all	3900.0	0.4478458049886621	0.3892668178382464	0.5102040816326531	2646	3918
All_methylation	T1	all	4100.0	0.500755857898715	0.43272864701436126	0.570719954648526	2646	3918
All_methylation	T1	all	4300.0	0.4535147392290249	0.38737717309145875	0.5367063492063491	2646	3918
All_methylation	T1	all	4500.0	0.4610733182161753	0.3987150415721844	0.5309901738473166	2646	3918
All_methylation	T1	all	4700.0	0.47619047619047616	0.41189531368102794	0.5423752834467119	2646	3918
All_methylation	T1	all	4900.0	0.4969765684051398	0.43083900226757366	0.5669406651549508	2646	3918
All_methylation	T1	regulatory	-4900.0	0.32222222222222224	0.2	0.4444444444444444	450	3918
All_methylation	T1	regulatory	-4700.0	0.4	0.26666666666666666	0.5444444444444444	450	3918
All_methylation	T1	regulatory	-4500.0	0.4	0.26666666666666666	0.5555555555555556	450	3918
All_methylation	T1	regulatory	-4300.0	0.3888888888888889	0.26666666666666666	0.5333333333333333	450	3918
All_methylation	T1	regulatory	-4100.0	0.32222222222222224	0.2	0.44472222222222196	450	3918
All_methylation	T1	regulatory	-3900.0	0.4444444444444444	0.3	0.6111111111111112	450	3918
All_methylation	T1	regulatory	-3700.0	0.43333333333333335	0.28888888888888886	0.5888888888888889	450	3918
All_methylation	T1	regulatory	-3500.0	0.2222222222222222	0.14416666666666667	0.3111111111111111	450	3918
All_methylation	T1	regulatory	-3300.0	0.4777777777777778	0.34444444444444444	0.6333333333333333	450	3918
All_methylation	T1	regulatory	-3100.0	0.43333333333333335	0.28888888888888886	0.5669444444444441	450	3918
All_methylation	T1	regulatory	-2900.0	0.3333333333333333	0.2222222222222222	0.4666666666666667	450	3918
All_methylation	T1	regulatory	-2700.0	0.35555555555555557	0.23333333333333334	0.4777777777777778	450	3918
All_methylation	T1	regulatory	-2500.0	0.4888888888888889	0.3333333333333333	0.6777777777777778	450	3918
All_methylation	T1	regulatory	-2300.0	0.4222222222222222	0.28888888888888886	0.5666666666666667	450	3918
All_methylation	T1	regulatory	-2100.0	0.3333333333333333	0.2	0.4888888888888889	450	3918
All_methylation	T1	regulatory	-1900.0	0.36666666666666664	0.2222222222222222	0.5111111111111111	450	3918
All_methylation	T1	regulatory	-1700.0	0.4	0.25555555555555554	0.5558333333333331	450	3918
All_methylation	T1	regulatory	-1500.0	0.4666666666666667	0.32222222222222224	0.6333333333333333	450	3918
All_methylation	T1	regulatory	-1300.0	0.45555555555555555	0.2997222222222222	0.6222222222222222	450	3918
All_methylation	T1	regulatory	-1100.0	0.4666666666666667	0.3	0.6777777777777778	450	3918
All_methylation	T1	regulatory	-900.0	0.4111111111111111	0.26666666666666666	0.5777777777777777	450	3918
All_methylation	T1	regulatory	-700.0	0.37777777777777777	0.24444444444444444	0.5111111111111111	450	3918
All_methylation	T1	regulatory	-500.0	0.43333333333333335	0.3	0.5888888888888889	450	3918
All_methylation	T1	regulatory	-300.0	0.43333333333333335	0.28888888888888886	0.6	450	3918
